case_id,group,is_base,fsr_strength,fr_a,fr_b,first_contact_tick,final_tick,survivors_A,survivors_B,max_outlier_persistence,persistent_unit_count,absorbing_ratio,reversible_ratio,metastable_ratio,isolation_ratio,blockage_ratio,open_path_ratio,blocked_path_ratio,avg_sector_neighbor_count,avg_nearest_k_distance_return_dir,avg_radial_density_gradient,avg_rolling_in_contact_ratio,cum_delta_move_norm,cum_delta_fsr_norm,cum_delta_projection_norm,dominant_move_count,dominant_fsr_count,dominant_projection_count,dominant_mixed_count,transition_A_CORE_to_SHELL,transition_A_SHELL_to_OUTLIER,transition_A_OUTLIER_to_SHELL,transition_B_CORE_to_SHELL,transition_B_SHELL_to_OUTLIER,transition_B_OUTLIER_to_SHELL,mechanism_label,elapsed_seconds,digest
ALPHA_ANCHOR,ALPHA,False,0.1,4.0,1.0,99,300,13,30,53,7,0.8571428571428571,0.14285714285714285,0.0,0.7190000000000003,0.07450000000000001,0.0,1.0,87.17094017094017,5.083362050821653,0.9820068951279703,0.19059829059829062,49.00000000000003,4.569167383841926,4.293723521758795,7,0,0,0,271,42,14,184,4,4,persistent_isolation_absorbing,6.998572100070305,bda8b11b33e0d84f8f11fc92c1de1164efc1100517ec8ec51d4b7f9a6d70dc27
M1_BASE,M1,True,0.0,3.0,3.0,103,300,21,23,72,4,0.25,0.75,0.0,0.6809999999999999,0.11616666666666672,0.0,1.0,33.92857142857143,6.734159616105198,0.9978432818055458,1.0,27.999999999999986,0.0,7.03727735226331,4,0,0,0,319,8,4,280,22,18,reversible_or_mixed,6.612574599916115,baa02b9932d643451dc7a8f7d2436174f288fe5c230736de3496ec226cab0700
M1_dA_plus_0p5,M1,False,0.0,3.5,3.0,102,300,22,22,29,3,0.6666666666666666,0.3333333333333333,0.0,0.6561666666666668,0.12433333333333328,0.0,1.0,31.0,7.880982054975488,1.0,1.0,20.999999999999986,0.0,10.280768490974939,3,0,0,0,297,14,9,289,14,8,persistent_isolation_absorbing,6.727854699944146,6f36e4ab20f61866aae9fa88bb7113bb51f811e3b28da23dd3ac780f4176ab5a
M1_dB_minus_0p5,M1,False,0.0,3.0,2.5,103,300,23,20,34,3,0.3333333333333333,0.6666666666666666,0.0,0.6918333333333332,0.11033333333333331,0.0,1.0,35.578947368421055,6.9597873583072145,1.0,1.0,21.000000000000004,0.0,5.820698426818866,3,0,0,0,264,10,9,264,15,11,reversible_or_mixed,6.781686500064097,c61f1e5a4a6ea851239e92b37661f43a03f34873a0406a5c25e4ff784c96b6b0
M2_BASE,M2,True,0.0,4.0,2.0,102,300,19,25,34,3,0.3333333333333333,0.6666666666666666,0.0,0.6949999999999996,0.10549999999999994,0.0,1.0,55.0,5.289893824866563,0.9906624850897293,0.7118421052631579,21.000000000000007,0.0,2.679831218940511,3,0,0,0,336,18,12,232,6,4,reversible_or_mixed,6.9501067999517545,babd8a05b8bc3a55ba2e748dcbf47936a55e8f9abc48687e6be622e86ee49736
M2_dA_plus_0p5,M2,False,0.0,4.5,2.0,102,300,21,22,40,1,1.0,0.0,0.0,0.6756666666666669,0.11066666666666665,0.0,1.0,88.33333333333333,4.0600513687660635,1.0,0.05,7.0,0.0,0.047615751543975196,1,0,0,0,315,12,5,237,3,3,persistent_isolation_absorbing,6.654827199992724,77323cbe3e9c48c22ec06fab79217ce4cdeac809569ed2c7080c611447143ecd
M2_dB_plus_0p5,M2,False,0.0,4.0,2.5,102,300,19,25,36,4,0.25,0.75,0.0,0.6700000000000003,0.12783333333333335,0.0,1.0,53.62264150943396,6.55080207171212,0.9994450610432852,0.7999999999999999,28.000000000000018,0.0,2.505580176686842,4,0,0,0,329,15,7,233,12,7,reversible_or_mixed,6.728277000016533,6cdebace87983941733cac8fa5a7ee02b4492cd5727394eee940f5c317ddc65c
M3_BASE,M3,True,0.1,3.0,2.0,99,300,20,22,64,5,0.2,0.8,0.0,0.7736666666666666,0.05016666666666669,0.0,1.0,39.093333333333334,6.080704286580265,0.9952021588303785,0.97,35.00000000000002,1.7671656137300384,5.925742972751634,5,0,0,0,249,21,7,198,22,17,reversible_or_mixed,7.089927099994384,2cb0865dc4695ba7399e22c3363bee5393b66315dbcd6198f2a86f49293fa2e9
M3_dA_plus_0p5,M3,False,0.1,3.5,2.0,98,300,17,26,141,5,1.0,0.0,0.0,0.7715000000000003,0.05416666666666669,0.0,1.0,48.637614678899084,6.622806443604729,0.9964757101061162,0.7688073394495413,34.99999999999994,1.9241388045002479,3.4114820104180237,5,0,0,0,231,25,5,215,4,2,persistent_isolation_absorbing,7.103727200068533,3b454307988e61a9e939464b1f469dc29356bebb4bcb80de1342d52e0643fb94
M3_dB_minus_0p5,M3,False,0.1,3.0,1.5,100,300,18,25,33,4,1.0,0.0,0.0,0.7685000000000003,0.048166666666666705,0.0,1.0,66.28,8.647765836530851,0.9988732394366197,0.938,28.000000000000004,1.7134178351498557,6.911143916942809,4,0,0,0,269,23,2,196,6,6,persistent_isolation_absorbing,6.940283700008877,977b6331a2eaf0e333d05d382f054ed230432c35711f42166d15d7d2930e9d71
M4_BASE,M4,True,0.2,3.0,1.0,101,300,16,26,86,3,0.3333333333333333,0.6666666666666666,0.0,0.7093333333333337,0.06283333333333338,0.0,1.0,51.707317073170735,9.017620826920885,0.9837154485926902,0.9939024390243902,21.00000000000001,1.664302012124489,7.195394949186757,3,0,0,0,261,23,8,173,1,1,reversible_or_mixed,6.905924200080335,7518607b2ea029bb3144b0c88364d5229d00cb55fa34a2935c681435060bc77e
M4_dA_plus_0p5,M4,False,0.2,3.5,1.0,100,300,12,30,49,4,1.0,0.0,0.0,0.7388333333333331,0.05650000000000004,0.0,1.0,93.15,4.3517173324921625,0.9838177164023992,0.058750000000000004,28.00000000000004,2.06339446404775,0.4343368904809958,4,0,0,0,256,43,12,195,11,11,persistent_isolation_absorbing,7.027019399916753,81ba16f3115fe7c3d6e315112fdba59a8d40a53870d5e42edf5a83aeb41bf0da
M4_dB_plus_0p5,M4,False,0.2,3.0,1.5,100,300,22,20,39,2,1.0,0.0,0.0,0.7596666666666666,0.05116666666666669,0.0,1.0,77.78787878787878,10.343119213184979,1.0,0.6606060606060604,13.999999999999986,1.214141121205964,2.434050098716553,2,0,0,0,267,25,2,209,9,9,persistent_isolation_absorbing,7.231094300048426,e4e73627d533db79d3ce2b3e70a18576836e4e53e69b08182b62df1d69c8947b
M5_BASE,M5,True,0.2,3.0,3.0,96,300,20,23,55,6,0.3333333333333333,0.6666666666666666,0.0,0.7791666666666663,0.03883333333333334,0.0,1.0,53.68852459016394,5.720140151937103,0.9964707661072595,0.8188524590163935,41.99999999999995,2.479869398605979,1.8809716379520396,6,0,0,0,278,28,11,261,35,14,reversible_or_mixed,7.051846099901013,890c692a612d6c529210ec4ecd7399480a64e27f8153f5b095e4a7fbad64ead0
M5_dA_plus_0p5,M5,False,0.2,3.5,3.0,95,300,20,22,86,10,0.9,0.1,0.0,0.7801666666666668,0.03816666666666666,0.0,1.0,62.23121387283237,5.603711088517425,0.9923185784082325,0.6020231213872833,70.00000000000003,4.082684952738628,5.35323039977641,10,0,0,0,286,29,10,250,31,9,persistent_isolation_absorbing,6.820786900003441,b9c7e120ec2fb4fa7a9a297376c7d65245234199f6b9d1372f435bcdf49448d4
M5_dB_minus_0p5,M5,False,0.2,3.0,2.5,97,300,21,22,41,6,0.6666666666666666,0.3333333333333333,0.0,0.7763333333333337,0.03616666666666666,0.0,1.0,65.0,5.870747098586347,0.998375268634561,0.9095744680851063,41.999999999999986,2.262920077138355,4.538567785955038,6,0,0,0,252,30,9,225,19,9,persistent_isolation_absorbing,6.910838400013745,6cb9a143fd174b0b03424a5507823bbaa297bffec635f4902fafdf770b59d88f
