tick,rpg_outlier_count,projection_suppression_candidate_count,movement_outward_bias_count,inward_free_and_effective_count,kappa_p50,g_p50,p_return
1,80,6,30,44,0.9771016953357314,0.33352857944539294,0.0
2,78,0,44,34,0.9999999999924636,0.3017538189276496,1.0
3,80,1,35,44,0.9999999999967261,0.2846294388461058,1.0
4,80,2,37,41,0.9992486656312516,0.341834853145186,1.0
5,82,4,34,44,0.9994266425978477,0.30157170414832574,1.0
6,80,1,38,41,0.9908228279601865,0.32619421280832406,1.0
7,78,1,42,35,1.0000000000001013,0.3624652859190058,1.0
8,79,3,30,46,0.9999999999969306,0.2703638443151979,1.0
9,79,2,41,36,0.9999999999975414,0.29084327577283564,1.0
10,79,3,36,40,0.9999999999928568,0.24538397119213218,1.0
11,80,2,37,41,0.9999999999982523,0.3350839693074695,1.0
12,79,3,36,40,0.999999999996947,0.2634226979026453,1.0
13,77,2,33,42,0.9999999999952411,0.2897687999545576,1.0
14,79,3,33,43,0.9999999999973711,0.2472204965992173,1.0
15,77,2,37,38,0.9999999999976361,0.27605904654643965,1.0
16,80,1,43,36,0.9999999999986544,0.2569253484010954,1.0
17,81,1,42,38,0.9999999999973478,0.3353461666065196,1.0
18,80,4,36,40,0.9999999999976139,0.35790604576095375,1.0
19,79,1,37,41,0.9999999999983433,0.24963620006876824,1.0
20,82,0,39,43,1.000000000001084,0.2910121492224332,1.0
21,82,2,41,39,0.9999999999979048,0.379749376459365,0.33962264150943394
22,79,2,38,39,0.9999999999974887,0.31926568079646467,0.3577981651376147
23,83,3,40,40,0.9999999999980059,0.30075789813645265,0.35454545454545455
24,84,1,39,44,0.9999999999975564,0.29464586092289713,0.36036036036036034
25,81,2,39,40,0.9999999999976771,0.28645249152267116,0.3793103448275862
26,86,2,40,44,0.9999999999956894,0.319702220158843,0.38461538461538464
27,83,1,42,40,0.9999999999980957,0.26528277591413807,0.4049586776859504
28,86,1,40,45,0.9999999999969869,0.29643603905949506,0.4049586776859504
29,84,3,41,40,0.999999999998414,0.28071255601764933,0.4146341463414634
30,84,0,38,46,0.9999999999984185,0.3192489367836139,0.424
31,84,2,42,40,0.9999999999979539,0.22742078032747037,0.4251968503937008
32,82,0,42,40,0.9999999999987236,0.3148810698798624,0.4307692307692308
33,83,0,44,39,0.9999999999986345,0.2499948242359511,0.4351145038167939
34,85,0,39,46,0.999999999998444,0.2894467490726338,0.4351145038167939
35,84,2,45,37,0.9999999999987002,0.3295709000242827,0.4393939393939394
36,83,0,40,43,0.9999999999989262,0.34696470849242644,0.44029850746268656
37,83,2,38,43,0.9999999999983068,0.3431365318956491,0.44029850746268656
38,83,2,38,43,0.9999999999983048,0.35621200946451204,0.44029850746268656
39,83,0,44,39,0.9999999999988347,0.30163540420631785,0.44029850746268656
40,83,2,41,40,0.999999999998839,0.2605748790109491,0.43703703703703706
41,83,1,37,45,0.9999999999976356,0.4302257826476925,0.2935323383084577
42,83,1,40,42,0.999999999998511,0.3856308187480121,0.297029702970297
43,85,0,40,45,0.9999999999982445,0.43974904722372166,0.2926829268292683
44,84,3,42,39,0.9999999999985332,0.3039865076014805,0.2946859903381642
45,84,1,40,43,0.9999999999982031,0.27468575593763234,0.2966507177033493
46,83,0,41,42,0.9999999999985342,0.36751365001685654,0.3004694835680751
47,83,0,43,40,1.000000000000902,0.45584675155242277,0.3023255813953488
48,83,1,43,39,1.0000000000012552,0.42502153879999843,0.3055555555555556
49,83,1,44,38,1.0000000000012326,0.3982809304108639,0.3055555555555556
50,82,1,39,42,1.000000000000901,0.3742545433091089,0.3059360730593607
51,84,2,39,43,1.0000000000009113,0.36999351032929867,0.30454545454545456
52,85,1,39,45,1.0000000000009002,0.3808384633607915,0.3031674208144796
53,84,3,40,41,1.0000000000009126,0.35853126444771166,0.30357142857142855
54,85,2,39,44,0.9999999999986163,0.3070821518543556,0.3022222222222222
55,82,1,39,42,1.0000000000009122,0.36134032195496607,0.31140350877192985
56,83,0,40,43,0.9999999999989148,0.4137081646016678,0.3130434782608696
57,83,1,40,42,0.9999999999988072,0.36157200619665375,0.31601731601731603
58,83,3,36,44,0.9999999999979902,0.30516073590148496,0.31896551724137934
59,84,0,38,46,0.9999999999985734,0.30259066043173477,0.3218884120171674
60,82,0,39,43,0.9999999999987588,0.33897189824151563,0.326271186440678
61,82,1,42,39,0.9999999999999178,0.33999343760918654,0.26174496644295303
62,80,0,40,40,0.9999999999974634,0.3239121341282384,0.2682119205298013
63,80,0,40,40,0.9999999999987901,0.3448651445748,0.2703583061889251
64,80,0,39,41,1.0000000000009304,0.32650914297413264,0.27184466019417475
65,80,0,37,43,0.9999999999986742,0.37915558878308186,0.2733118971061093
66,79,0,37,42,0.9999999999989304,0.33772386041847113,0.2761904761904762
67,77,0,37,40,0.9999999999989144,0.30786359340223757,0.2807570977917981
68,78,0,38,40,0.9999999999988257,0.30522792775167007,0.2807570977917981
69,77,1,36,40,0.9999999999987867,0.31470761434216277,0.2830188679245283
70,76,0,38,38,0.9999999999998723,0.3845512195735132,0.2857142857142857
71,76,1,42,33,0.9999999999988557,0.2788175458982839,0.2883435582822086
72,73,0,36,37,1.0000000000009917,0.2930606502236458,0.29393939393939394
73,75,0,35,40,1.0000000000009617,0.2503993270898315,0.29429429429429427
74,73,2,34,37,0.9999999999988818,0.283828483370558,0.29850746268656714
75,74,0,36,38,0.9999999999989118,0.3412180981481031,0.3005952380952381
76,77,0,37,40,0.9999999999987307,0.3327395224864915,0.2997032640949555
77,76,0,37,39,1.0000000000010663,0.28933051328551196,0.30177514792899407
78,74,0,35,39,1.0000000000009392,0.23450553043158912,0.30498533724340177
79,74,0,35,39,0.9999999999999425,0.19554726094779804,0.30701754385964913
80,73,1,34,38,1.0000000000009373,0.3004246904832826,0.3081395348837209
81,75,0,35,40,1.0000000000009392,0.292936798393334,0.26903553299492383
82,76,0,36,40,0.9999999999987859,0.28942428841293005,0.2683544303797468
83,74,0,35,39,1.0000000000009521,0.23338108248309763,0.27
84,72,0,36,36,1.0000000000009694,0.27320226186364766,0.2729528535980149
85,73,0,37,36,1.0000000000009526,0.2864969619051224,0.2716049382716049
86,73,0,36,37,1.0000000000009748,0.2958603484780584,0.2713936430317848
87,73,0,37,36,1.0000000000009759,0.2962538029820152,0.2713936430317848
88,73,0,36,37,1.0000000000009985,0.356917450341644,0.2713936430317848
89,74,0,35,39,1.0000000000009912,0.3635001369960168,0.2713936430317848
90,73,0,35,38,1.0000000000009646,0.2932062683405747,0.27184466019417475
91,74,0,34,40,1.0000000000009717,0.4098707081189181,0.27053140096618356
92,73,0,38,35,1.0000000000009732,0.35978107287934946,0.27163461538461536
93,74,0,38,36,1.0000000000009708,0.3834743820067045,0.2714285714285714
94,73,2,36,35,0.999999999998206,0.37544743878979103,0.27488151658767773
95,74,1,33,40,0.9999999999987698,0.3746421679147488,0.27423167848699764
96,74,0,36,38,0.9999999999987735,0.4034608341782454,0.27699530516431925
97,73,0,36,37,0.9999999999988592,0.42309031573270817,0.2786885245901639
98,74,1,37,36,0.9999999999988494,0.45378012249677363,0.2780373831775701
99,73,0,40,33,1.0000000000009925,0.4428075195947039,0.27906976744186046
100,75,0,38,37,1.0000000000009874,0.4464912731347905,0.27842227378190254
101,75,0,36,39,1.000000000001003,0.44325106423144117,0.25052192066805845
102,75,0,34,41,0.9999999999980529,0.4392632338954945,0.25
103,74,0,37,37,1.000000000001,0.3718963444370176,0.25
104,76,0,38,38,0.9999999999989453,0.37062385778121576,0.25102880658436216
105,77,0,36,41,0.9999999999989785,0.39978062892034416,0.25
106,76,0,37,39,0.9999999999988561,0.36212198191715794,0.2484725050916497
107,77,0,37,40,1.0000000000009632,0.40014421112616594,0.2484725050916497
108,76,0,36,40,0.9999999999987439,0.3678265958009901,0.25
109,74,0,33,41,0.9999999999999529,0.4084322606737484,0.25303643724696356
110,75,1,35,39,0.9999999999987618,0.35200050342636285,0.2535211267605634
111,75,1,38,36,1.0000000000009368,0.4474921511513621,0.2545090180360721
112,75,0,36,39,0.9999999999989304,0.40717024833303395,0.256
113,75,1,37,37,0.9999999999986401,0.43776997352198643,0.25646123260437376
114,75,0,36,39,0.9999999999987929,0.3798652079417342,0.25793650793650796
115,73,0,34,39,0.9999999999985735,0.3711099815850549,0.2603550295857988
116,72,0,33,39,0.9999999999983529,0.4520629252834405,0.2632612966601179
117,71,0,36,35,0.9999999999981991,0.42402413625971014,0.26614481409001955
118,75,1,38,36,0.9999999999987716,0.3816574508821353,0.26653696498054474
119,72,0,38,34,0.9999999999988263,0.3140520743809,0.27079303675048355
120,70,0,35,35,1.0000000000009683,0.30131392136924373,0.27307692307692305
121,70,1,36,33,1.000000000000953,0.3634021949645794,0.25622775800711745
122,70,0,39,31,0.9999999999988058,0.3750365108780639,0.2570921985815603
123,72,0,35,37,0.9999999999987852,0.3132852979247749,0.25573192239858905
124,69,0,33,36,0.9999999999989708,0.39194129486432683,0.2582897033158813
125,70,1,30,39,0.9999999999977326,0.437923645721526,0.2578397212543554
126,71,2,36,33,0.9999999999979817,0.43024782208854706,0.2564991334488735
127,69,0,33,36,0.9999999999976209,0.37747419785192515,0.25906735751295334
128,72,0,36,36,0.9999999999986753,0.3492046028636765,0.25906735751295334
129,68,0,34,34,0.9999999999984269,0.3187730451955674,0.2641509433962264
130,71,0,35,36,0.9999999999981734,0.33307082802056454,0.2641509433962264
131,69,2,31,36,0.9999999999984533,0.2939589858754329,0.26621160409556316
132,70,0,36,34,0.9999999999976361,0.33384369387059865,0.2657580919931857
133,69,0,33,36,0.9999999999697996,0.394050611266308,0.2673434856175973
134,70,3,30,37,0.9999999999972521,0.3782477967028419,0.2668918918918919
135,66,0,30,36,0.9999999999978932,0.427277825658437,0.27058823529411763
136,66,0,33,33,0.9999999999979081,0.35469673412378916,0.27181208053691275
137,65,2,33,30,0.999999999998886,0.5293335580761271,0.275
138,65,2,29,34,0.9999999999979966,0.3787396300092656,0.27408637873754155
139,63,1,27,35,0.9999999999976118,0.4847614138674208,0.2752902155887231
140,62,1,33,28,0.9999999999979128,0.40248167477088514,0.27483443708609273
141,64,1,25,38,0.9999999999962214,0.48442184881714834,0.259375
142,64,1,35,28,0.9999999999987921,0.3562126365097562,0.2608695652173913
143,65,1,27,37,0.9986209965559881,0.6196852453644479,0.26080246913580246
144,64,1,27,36,0.9999999999537835,0.43193200661338377,0.26153846153846155
145,66,1,34,31,0.9999999999960567,0.5557284380357789,0.26226993865030673
146,61,6,27,28,0.9950700057219253,0.49026656150364056,0.26666666666666666
147,63,1,31,31,0.9999999999978338,0.5121091264511527,0.26666666666666666
148,62,0,30,32,0.9999999999960536,0.45494615156148077,0.2684766214177979
149,62,1,30,31,0.9968075988773786,0.6140131883973928,0.26957831325301207
150,62,0,30,32,0.999999999971589,0.4273676522465987,0.2702702702702703
151,61,1,27,33,0.9999999999862512,0.5595561125828157,0.27204783258594917
152,60,0,28,32,0.9999999999987241,0.3797527330613717,0.2727272727272727
153,58,1,27,30,0.9999999999986424,0.3520211384948904,0.2740740740740741
154,59,1,24,34,0.9999999999986077,0.41645073612671824,0.27514792899408286
