tick,max_projection_displacement,mean_projection_displacement,projection_pairs_count,collision_pairs_count,outlier_count_A,outlier_count_B,max_outlier_persistence_A,max_outlier_persistence_B,in_contact_count,frontline_width,frontline_width_std,persistent_outlier_unit_ids
1,1.198692,0.209241,241,241,0,0,0,0,0,0.000000,0.000000,
2,1.235357,0.203896,226,226,0,0,0,0,0,0.000000,0.000000,
3,1.469070,0.233531,233,233,0,0,0,0,0,0.000000,0.000000,
4,1.387321,0.240476,233,233,0,0,0,0,0,0.000000,0.000000,
5,1.790685,0.260043,244,244,0,1,0,1,0,0.000000,0.000000,
6,1.331446,0.233851,243,243,1,1,1,2,0,0.000000,0.000000,
7,1.616657,0.223284,251,251,1,1,2,3,0,0.000000,0.000000,
8,1.091298,0.252913,236,236,1,1,3,4,0,0.000000,0.000000,
9,1.760276,0.250035,241,241,2,1,4,5,0,0.000000,0.000000,
10,1.704896,0.225650,234,234,2,1,5,6,0,0.000000,0.000000,
11,1.631867,0.271203,244,244,2,1,6,7,0,0.000000,0.000000,
12,1.576817,0.252830,247,247,2,2,7,8,0,0.000000,0.000000,
13,1.491954,0.241894,238,238,2,2,8,9,0,0.000000,0.000000,
14,1.594027,0.242024,243,243,2,2,9,10,0,0.000000,0.000000,
15,1.384762,0.220504,239,239,4,3,10,11,0,0.000000,0.000000,
16,1.398189,0.248471,253,253,4,3,11,12,0,0.000000,0.000000,
17,1.382398,0.233115,258,258,3,3,12,13,0,0.000000,0.000000,
18,1.160226,0.242135,261,261,4,3,13,14,0,0.000000,0.000000,
19,2.321040,0.253669,263,263,4,4,14,15,0,0.000000,0.000000,
20,0.923393,0.213732,259,259,5,4,15,16,0,0.000000,0.000000,
21,1.309699,0.242422,260,260,5,4,16,17,0,0.000000,0.000000,
22,1.543875,0.269141,265,265,5,4,17,18,0,0.000000,0.000000,
23,1.442070,0.268088,259,259,5,5,18,19,0,0.000000,0.000000,
24,1.455076,0.296240,275,275,6,5,19,20,0,0.000000,0.000000,B15
25,1.228048,0.242270,276,276,6,5,20,21,0,0.000000,0.000000,A15|B15
26,1.621644,0.277136,291,291,5,5,21,22,0,0.000000,0.000000,A15|B15
27,2.044063,0.295111,304,304,5,6,22,23,0,0.000000,0.000000,A15|B15
28,1.522065,0.260533,301,301,5,6,23,24,0,0.000000,0.000000,A1|A15|B15
29,1.833848,0.281106,304,304,5,6,24,25,0,0.000000,0.000000,A1|A15|B15
30,1.637694,0.265089,313,313,6,5,25,26,0,0.000000,0.000000,A1|A15|B15
31,2.203120,0.307317,322,322,6,5,26,27,0,0.000000,0.000000,A1|A15|B15
32,1.826727,0.295800,345,345,6,5,27,28,0,0.000000,0.000000,A1|A15|B15
33,1.280826,0.288782,342,342,6,5,28,29,0,0.000000,0.000000,A1|A15|B15
34,1.509200,0.294101,360,360,6,6,29,30,0,0.000000,0.000000,A1|A15|A97|B15|B98
35,1.331387,0.287469,369,369,6,6,30,31,0,0.000000,0.000000,A1|A15|A97|B15|B98
36,2.088851,0.341549,371,371,6,6,31,32,0,0.000000,0.000000,A1|A15|A97|B15|B98
37,2.094664,0.312245,377,377,6,5,32,23,0,0.000000,0.000000,A1|A15|A97|B98
38,1.362125,0.317208,386,386,5,5,33,24,0,0.000000,0.000000,A15|A97|B96|B98
39,1.951729,0.293235,391,391,6,5,34,25,0,0.000000,0.000000,A100|A15|A97|B96|B98
40,1.869175,0.354518,406,406,5,5,26,26,0,0.000000,0.000000,A100|A97|B96|B98
41,1.797994,0.341500,396,396,5,5,27,27,0,0.000000,0.000000,A100|A97|B96|B98
42,1.471023,0.334956,416,416,5,5,28,28,0,0.000000,0.000000,A100|A97|B100|B96|B98
43,1.999365,0.338767,428,428,5,5,29,29,0,0.000000,0.000000,A100|A93|A97|B100|B96|B98
44,1.671951,0.360106,444,444,5,5,30,30,0,0.000000,0.000000,A100|A93|A97|B100|B96|B98
45,1.466902,0.326256,437,437,5,5,31,31,0,0.000000,0.000000,A100|A93|A97|B100|B96|B98
46,1.861372,0.368244,464,464,5,5,32,32,0,0.000000,0.000000,A100|A93|A97|B100|B94|B96|B98
47,1.650153,0.391301,459,459,5,5,33,33,0,0.000000,0.000000,A100|A93|A97|B100|B94|B96|B98
48,1.571091,0.385283,468,468,5,5,34,34,0,0.000000,0.000000,A100|A93|A97|B100|B94|B96|B98
49,1.562512,0.358906,460,460,5,6,35,35,0,0.000000,0.000000,A100|A93|A95|A97|B100|B94|B96|B98
50,1.813344,0.412973,469,469,5,6,36,36,0,0.000000,0.000000,A100|A93|A95|A97|B100|B94|B96|B98
51,2.000159,0.366416,458,458,5,6,37,37,0,0.000000,0.000000,A100|A93|A95|A97|B100|B94|B96|B98
52,2.064010,0.387414,477,477,5,6,38,38,0,0.000000,0.000000,A100|A93|A95|A97|B100|B94|B96|B98
53,1.992590,0.369190,468,468,5,6,39,39,0,0.000000,0.000000,A100|A93|A95|A97|B100|B87|B94|B96|B98
54,1.996912,0.404948,488,488,5,6,40,40,0,0.000000,0.000000,A100|A93|A95|A97|B100|B87|B94|B96|B98
55,1.443555,0.359278,474,474,6,6,41,41,0,0.000000,0.000000,A100|A93|A95|A97|B100|B87|B94|B96|B98
56,2.288481,0.371707,505,505,6,6,42,42,0,0.000000,0.000000,A100|A93|A95|A97|B100|B87|B94|B96|B98
57,1.759381,0.372041,485,485,6,6,43,43,0,0.000000,0.000000,A100|A93|A95|A97|B100|B87|B94|B96|B98
58,1.681462,0.376942,490,490,6,6,44,44,0,0.000000,0.000000,A100|A93|A94|A95|A97|B100|B87|B94|B96|B98
59,1.448388,0.370260,509,509,6,6,45,45,0,0.000000,0.000000,A100|A93|A94|A95|A97|B100|B87|B94|B96|B98
60,1.797724,0.402887,511,511,6,6,46,46,0,0.000000,0.000000,A100|A93|A94|A95|A97|B100|B87|B94|B96|B98
61,1.658127,0.385729,506,506,6,6,47,47,0,0.000000,0.000000,A100|A93|A94|A95|A97|B100|B87|B94|B96|B98
62,1.567944,0.409850,513,513,6,6,48,48,0,0.000000,0.000000,A100|A93|A94|A95|A97|B100|B87|B94|B96|B98
63,1.386785,0.367717,509,509,6,6,49,49,0,0.000000,0.000000,A100|A93|A94|A95|A97|B100|B87|B94|B96|B98
64,1.586855,0.412979,513,513,6,6,50,50,0,0.000000,0.000000,A100|A93|A94|A95|A97|B100|B87|B94|B96|B98
65,1.446504,0.398876,514,514,6,6,51,51,0,0.000000,0.000000,A100|A93|A94|A95|A97|B100|B87|B94|B96|B98
66,2.395352,0.438209,528,528,6,6,52,52,0,0.000000,0.000000,A100|A93|A94|A95|A97|B100|B87|B94|B96|B98
67,1.964252,0.402158,519,519,6,6,53,53,0,0.000000,0.000000,A100|A93|A94|A95|A97|B100|B87|B94|B96|B98
68,1.634414,0.379535,536,536,6,6,54,54,0,0.000000,0.000000,A100|A93|A94|A95|A97|B100|B87|B92|B94|B96|B98
69,2.647562,0.462539,517,517,6,6,55,55,0,0.000000,0.000000,A100|A93|A94|A95|A97|B100|B87|B92|B94|B96|B98
70,1.491985,0.400843,518,518,6,6,56,56,0,0.000000,0.000000,A100|A93|A94|A95|A97|B100|B87|B92|B94|B96|B98
71,2.052823,0.443186,523,523,6,6,57,57,0,0.000000,0.000000,A100|A93|A94|A95|A97|B100|B87|B92|B94|B96|B98
72,1.913957,0.407167,527,527,6,6,58,58,0,0.000000,0.000000,A100|A93|A94|A95|A97|B100|B87|B92|B94|B96|B98
73,1.797365,0.403867,540,540,6,6,59,59,0,0.000000,0.000000,A100|A93|A94|A95|A97|B100|B87|B92|B94|B96|B98
74,1.750317,0.387304,563,563,6,6,60,60,0,0.000000,0.000000,A100|A87|A93|A94|A95|A97|B100|B87|B92|B94|B96|B98
75,1.951472,0.412653,543,543,6,6,61,61,0,0.000000,0.000000,A100|A87|A93|A94|A95|A97|B100|B87|B92|B94|B96|B98
76,2.209027,0.416946,540,540,6,6,62,62,0,0.000000,0.000000,A100|A87|A93|A94|A95|A97|B100|B87|B92|B94|B96|B98
77,1.690234,0.426068,530,530,6,6,63,63,0,0.000000,0.000000,A100|A87|A93|A94|A95|A97|B100|B87|B92|B94|B96|B98
78,2.149241,0.403768,536,536,6,6,64,64,0,0.000000,0.000000,A100|A87|A93|A94|A95|A97|B100|B87|B92|B94|B96|B98
79,1.597260,0.398389,537,537,6,6,65,65,0,0.000000,0.000000,A100|A87|A93|A94|A95|A97|B100|B87|B92|B94|B96|B98
80,2.327235,0.415137,544,544,6,6,66,66,0,0.000000,0.000000,A100|A87|A93|A94|A95|A97|B100|B87|B92|B94|B96|B98
81,1.929606,0.436372,534,534,6,6,67,67,0,0.000000,0.000000,A100|A87|A93|A94|A95|A97|B100|B87|B92|B94|B96|B98
82,1.841699,0.466581,557,557,6,6,68,68,0,0.000000,0.000000,A100|A87|A93|A94|A95|A97|B100|B87|B92|B94|B96|B98
83,2.124286,0.457403,544,544,6,6,69,69,0,0.000000,0.000000,A100|A87|A93|A94|A95|A97|B100|B87|B92|B94|B96|B98
84,1.933010,0.421928,555,555,6,6,70,70,2,0.007522,0.003761,A100|A87|A93|A94|A95|A97|B100|B87|B92|B94|B96|B98
85,2.010471,0.448551,542,542,6,6,71,71,2,0.009281,0.004641,A100|A87|A93|A94|A95|A97|B100|B87|B92|B94|B96|B98
86,1.572152,0.424370,539,539,6,6,72,72,2,0.018627,0.009314,A100|A87|A93|A94|A95|A97|B100|B87|B92|B94|B96|B98
87,1.610727,0.377098,530,530,6,6,73,73,3,0.011951,0.005010,A100|A87|A93|A94|A95|A97|B100|B87|B92|B94|B96|B98
88,1.990231,0.385277,542,542,6,6,74,74,3,0.014375,0.006216,A100|A87|A93|A94|A95|A97|B100|B87|B92|B94|B96|B98
