tick,alive_A,alive_B,max_outlier_persistence,persistent_outlier_count,candidate_count,isolated_candidate_count,blocked_candidate_count
1,100,100,0,0,20,6,14
2,100,100,0,0,20,6,14
3,100,100,0,0,20,11,9
4,100,100,0,0,20,5,15
5,100,100,0,0,20,6,14
6,100,100,0,0,20,11,9
7,100,100,0,0,20,8,12
8,100,100,0,0,20,15,5
9,100,100,0,0,20,18,2
10,100,100,0,0,20,17,3
11,100,100,0,0,20,11,9
12,100,100,0,0,20,10,10
13,100,100,0,0,20,17,3
14,100,100,0,0,20,13,7
15,100,100,0,0,20,15,5
16,100,100,0,0,20,13,7
17,100,100,0,0,20,15,5
18,100,100,0,0,20,17,3
19,100,100,0,0,20,10,10
20,100,100,0,0,20,14,6
21,100,100,0,0,20,16,4
22,100,100,0,0,20,13,7
23,100,100,0,0,20,18,2
24,100,100,0,0,20,15,5
25,100,100,0,0,20,15,5
26,100,100,0,0,20,15,5
27,100,100,0,0,20,17,3
28,100,100,0,0,20,15,5
29,100,100,0,0,20,14,6
30,100,100,0,0,20,18,2
31,100,100,0,0,20,20,0
32,100,100,0,0,20,15,5
33,100,100,0,0,20,18,2
34,100,100,0,0,20,17,3
35,100,100,0,0,20,18,2
36,100,100,0,0,20,18,2
37,100,100,0,0,20,16,4
38,100,100,0,0,20,15,5
39,100,100,0,0,20,19,1
40,100,100,0,0,20,17,3
41,100,100,0,0,20,15,5
42,100,100,0,0,20,17,3
43,100,100,0,0,20,15,5
44,100,100,0,0,20,11,9
45,100,100,0,0,20,16,4
46,100,100,0,0,20,18,2
47,100,100,0,0,20,20,0
48,100,100,0,0,20,15,5
49,100,100,0,0,20,17,3
50,100,100,0,0,20,16,4
51,100,100,1,0,20,17,3
52,100,100,2,0,20,19,1
53,100,100,3,0,20,15,5
54,100,100,4,0,20,15,5
55,100,100,5,0,20,19,1
56,100,100,6,0,20,16,4
57,100,100,7,0,20,17,3
58,100,100,8,0,20,17,3
59,100,100,9,0,20,13,7
60,100,100,10,0,20,12,8
61,100,100,11,0,20,12,8
62,100,100,12,0,20,17,3
63,100,100,13,0,20,17,3
64,100,100,14,0,20,18,2
65,100,100,15,0,20,17,3
66,100,100,16,0,20,17,3
67,100,100,17,0,20,20,0
68,100,100,18,0,20,18,2
69,100,100,19,0,20,11,9
70,100,100,20,1,20,17,3
71,100,100,21,1,20,12,8
72,100,100,22,1,20,16,4
73,100,100,23,1,20,18,2
74,100,100,24,1,20,15,5
75,100,100,25,1,20,16,4
76,100,100,26,1,20,11,9
77,100,100,27,1,20,19,1
78,100,100,28,2,20,20,0
79,100,100,29,2,20,18,2
80,100,100,30,2,20,19,1
81,100,100,31,2,20,19,1
82,100,100,32,2,20,19,1
83,100,100,33,2,20,20,0
84,100,100,34,2,20,19,1
85,100,100,35,2,20,20,0
86,100,100,36,2,20,19,1
87,100,100,37,2,20,16,4
88,100,100,38,2,20,18,2
89,100,100,39,2,20,19,1
90,100,100,40,3,20,15,5
91,100,100,41,4,20,15,5
92,100,100,42,4,20,18,2
93,100,100,43,4,20,19,1
94,100,100,44,4,20,20,0
95,100,100,45,4,20,16,4
96,100,100,46,4,20,16,4
97,100,100,47,4,20,11,9
98,100,100,48,4,20,18,2
99,100,100,49,4,20,17,3
100,100,100,50,4,20,12,6
101,100,100,51,4,20,18,0
102,100,100,52,4,20,18,0
103,99,100,53,4,20,17,1
104,99,100,46,3,20,17,3
105,98,100,47,3,20,19,0
106,98,100,36,2,20,16,1
107,97,100,37,2,20,14,1
108,97,100,37,1,20,18,1
109,96,99,38,2,20,20,0
110,95,99,21,1,20,19,0
