tick,alive_A,alive_B,max_outlier_persistence,persistent_outlier_count,candidate_count,isolated_candidate_count,blocked_candidate_count
5,100,100,0,0,20,6,14
10,100,100,0,0,20,17,3
15,100,100,0,0,20,15,5
20,100,100,0,0,20,14,6
25,100,100,0,0,20,15,5
30,100,100,0,0,20,18,2
35,100,100,0,0,20,18,2
40,100,100,0,0,20,17,3
45,100,100,0,0,20,16,4
50,100,100,0,0,20,16,4
55,100,100,5,0,20,19,1
60,100,100,10,0,20,12,8
65,100,100,15,0,20,17,3
70,100,100,20,1,20,17,3
75,100,100,25,1,20,16,4
80,100,100,30,2,20,19,1
85,100,100,35,2,20,20,0
90,100,100,40,3,20,15,5
95,100,100,45,4,20,16,4
99,100,100,49,4,20,17,3
100,100,100,50,4,20,12,6
105,98,100,47,3,20,19,0
110,95,99,21,1,20,19,0
115,91,97,4,0,20,17,0
120,87,94,1,0,20,16,0
125,84,91,2,0,20,20,0
130,81,88,7,0,20,18,0
135,78,86,12,0,20,19,0
140,76,83,2,0,20,10,0
145,73,81,7,0,20,11,0
150,71,78,12,0,20,16,0
155,69,76,17,0,20,13,0
160,66,74,22,1,20,14,0
165,64,71,3,0,20,15,0
170,61,69,8,0,20,11,0
175,59,66,4,0,20,14,0
180,56,64,9,0,20,13,0
185,54,62,0,0,20,7,0
190,52,59,5,0,20,13,0
195,49,57,10,0,20,16,0
200,47,55,15,0,20,12,0
205,44,53,20,1,20,13,0
210,42,51,25,1,20,15,0
215,39,50,30,1,20,15,0
220,37,48,9,0,20,15,0
225,36,46,0,0,20,13,0
230,34,45,1,0,20,11,0
235,32,43,3,0,20,13,0
240,31,42,1,0,20,13,0
245,29,41,6,0,20,13,0
250,27,40,2,0,20,12,0
255,26,38,7,0,20,10,0
260,24,37,0,0,20,8,0
265,22,36,0,0,20,17,0
270,21,35,0,0,20,17,0
275,19,34,0,0,20,10,0
280,18,33,5,0,20,14,0
285,16,32,10,0,20,13,0
290,15,32,0,0,20,15,0
295,14,31,0,0,20,15,0
300,13,30,0,0,20,13,0
