group,base_case_id,perturb_case_id,base_label,perturb_label,label_flip,base_absorbing_ratio,perturb_absorbing_ratio,delta_absorbing_ratio,base_persistent,perturb_persistent,delta_persistent,base_isolation_ratio,perturb_isolation_ratio,delta_isolation_ratio,base_blockage_ratio,perturb_blockage_ratio,delta_blockage_ratio,base_open_path_ratio,perturb_open_path_ratio,delta_open_path_ratio
M1,M1_BASE,M1_dA_plus_0p5,reversible_or_mixed,persistent_isolation_absorbing,1,0.25,0.6666666666666666,0.41666666666666663,4,3,-1,0.6809999999999999,0.6561666666666668,-0.024833333333333152,0.11616666666666672,0.12433333333333328,0.008166666666666558,0.0,0.0,0.0
M1,M1_BASE,M1_dB_minus_0p5,reversible_or_mixed,reversible_or_mixed,0,0.25,0.3333333333333333,0.08333333333333331,4,3,-1,0.6809999999999999,0.6918333333333332,0.01083333333333325,0.11616666666666672,0.11033333333333331,-0.0058333333333334125,0.0,0.0,0.0
M2,M2_BASE,M2_dA_plus_0p5,reversible_or_mixed,persistent_isolation_absorbing,1,0.3333333333333333,1.0,0.6666666666666667,3,1,-2,0.6949999999999996,0.6756666666666669,-0.01933333333333276,0.10549999999999994,0.11066666666666665,0.005166666666666708,0.0,0.0,0.0
M2,M2_BASE,M2_dB_plus_0p5,reversible_or_mixed,reversible_or_mixed,0,0.3333333333333333,0.25,-0.08333333333333331,3,4,1,0.6949999999999996,0.6700000000000003,-0.024999999999999356,0.10549999999999994,0.12783333333333335,0.022333333333333413,0.0,0.0,0.0
M3,M3_BASE,M3_dA_plus_0p5,reversible_or_mixed,persistent_isolation_absorbing,1,0.2,1.0,0.8,5,5,0,0.7736666666666666,0.7715000000000003,-0.002166666666666317,0.05016666666666669,0.05416666666666669,0.003999999999999997,0.0,0.0,0.0
M3,M3_BASE,M3_dB_minus_0p5,reversible_or_mixed,persistent_isolation_absorbing,1,0.2,1.0,0.8,5,4,-1,0.7736666666666666,0.7685000000000003,-0.00516666666666632,0.05016666666666669,0.048166666666666705,-0.001999999999999988,0.0,0.0,0.0
M4,M4_BASE,M4_dA_plus_0p5,reversible_or_mixed,persistent_isolation_absorbing,1,0.3333333333333333,1.0,0.6666666666666667,3,4,1,0.7093333333333337,0.7388333333333331,0.029499999999999416,0.06283333333333338,0.05650000000000004,-0.006333333333333337,0.0,0.0,0.0
M4,M4_BASE,M4_dB_plus_0p5,reversible_or_mixed,persistent_isolation_absorbing,1,0.3333333333333333,1.0,0.6666666666666667,3,2,-1,0.7093333333333337,0.7596666666666666,0.0503333333333329,0.06283333333333338,0.05116666666666669,-0.011666666666666693,0.0,0.0,0.0
M5,M5_BASE,M5_dA_plus_0p5,reversible_or_mixed,persistent_isolation_absorbing,1,0.3333333333333333,0.9,0.5666666666666667,6,10,4,0.7791666666666663,0.7801666666666668,0.001000000000000445,0.03883333333333334,0.03816666666666666,-0.0006666666666666765,0.0,0.0,0.0
M5,M5_BASE,M5_dB_minus_0p5,reversible_or_mixed,persistent_isolation_absorbing,1,0.3333333333333333,0.6666666666666666,0.3333333333333333,6,6,0,0.7791666666666663,0.7763333333333337,-0.0028333333333326882,0.03883333333333334,0.03616666666666666,-0.0026666666666666783,0.0,0.0,0.0
