tick,max_outlier_persistence,persistent_outlier_count,candidate_count,isolated_candidate_count,blocked_candidate_count,in_contact_count,frontline_width,frontline_width_std
1,0,0,20,9,11,0,0.0,0.0
2,0,0,20,10,10,0,0.0,0.0
3,0,0,20,14,6,0,0.0,0.0
4,0,0,20,9,11,0,0.0,0.0
5,0,0,20,11,9,0,0.0,0.0
6,0,0,20,17,3,0,0.0,0.0
7,0,0,20,19,1,0,0.0,0.0
8,0,0,20,15,5,0,0.0,0.0
9,0,0,20,14,6,0,0.0,0.0
10,0,0,20,13,7,0,0.0,0.0
11,0,0,20,9,11,0,0.0,0.0
12,0,0,20,14,6,0,0.0,0.0
13,0,0,20,12,8,0,0.0,0.0
14,0,0,20,17,3,0,0.0,0.0
15,0,0,20,17,3,0,0.0,0.0
16,0,0,20,18,2,0,0.0,0.0
17,0,0,20,17,3,0,0.0,0.0
18,0,0,20,18,2,0,0.0,0.0
19,0,0,20,18,2,0,0.0,0.0
20,0,0,20,16,4,0,0.0,0.0
21,0,0,20,17,3,0,0.0,0.0
22,0,0,20,17,3,0,0.0,0.0
23,0,0,20,15,5,0,0.0,0.0
24,0,0,20,15,5,0,0.0,0.0
25,0,0,20,17,3,0,0.0,0.0
26,0,0,20,14,6,0,0.0,0.0
27,0,0,20,18,2,0,0.0,0.0
28,0,0,20,20,0,0,0.0,0.0
29,0,0,20,17,3,0,0.0,0.0
30,0,0,20,20,0,0,0.0,0.0
31,0,0,20,18,2,0,0.0,0.0
32,0,0,20,16,4,0,0.0,0.0
33,0,0,20,15,5,0,0.0,0.0
34,0,0,20,19,1,0,0.0,0.0
35,0,0,20,19,1,0,0.0,0.0
36,0,0,20,18,2,0,0.0,0.0
37,0,0,20,20,0,0,0.0,0.0
38,0,0,20,17,3,0,0.0,0.0
39,0,0,20,18,2,0,0.0,0.0
40,0,0,20,18,2,0,0.0,0.0
41,0,0,20,17,3,0,0.0,0.0
42,0,0,20,18,2,0,0.0,0.0
43,0,0,20,20,0,0,0.0,0.0
44,0,0,20,19,1,0,0.0,0.0
45,0,0,20,18,2,0,0.0,0.0
46,0,0,20,15,5,0,0.0,0.0
47,0,0,20,20,0,0,0.0,0.0
48,0,0,20,18,2,0,0.0,0.0
49,0,0,20,18,2,0,0.0,0.0
50,0,0,20,17,3,0,0.0,0.0
51,0,0,20,19,1,0,0.0,0.0
52,0,0,20,19,1,0,0.0,0.0
53,0,0,20,19,1,0,0.0,0.0
54,0,0,20,17,3,0,0.0,0.0
55,0,0,20,20,0,0,0.0,0.0
56,0,0,20,16,4,0,0.0,0.0
57,0,0,20,17,3,0,0.0,0.0
58,0,0,20,18,2,0,0.0,0.0
59,0,0,20,15,5,0,0.0,0.0
60,0,0,20,15,5,0,0.0,0.0
61,0,0,20,18,2,0,0.0,0.0
62,0,0,20,17,3,0,0.0,0.0
63,0,0,20,18,2,0,0.0,0.0
64,0,0,20,17,3,0,0.0,0.0
65,0,0,20,17,3,0,0.0,0.0
66,0,0,20,17,3,0,0.0,0.0
67,0,0,20,18,2,0,0.0,0.0
68,0,0,20,16,4,0,0.0,0.0
69,0,0,20,18,2,0,0.0,0.0
70,0,0,20,19,1,0,0.0,0.0
71,0,0,20,19,1,0,0.0,0.0
72,0,0,20,20,0,0,0.0,0.0
73,0,0,20,20,0,0,0.0,0.0
74,0,0,20,18,2,0,0.0,0.0
75,0,0,20,15,5,0,0.0,0.0
76,0,0,20,17,3,0,0.0,0.0
77,0,0,20,17,3,0,0.0,0.0
78,0,0,20,19,1,0,0.0,0.0
79,0,0,20,16,4,0,0.0,0.0
80,0,0,20,17,3,0,0.0,0.0
81,0,0,20,19,1,0,0.0,0.0
82,0,0,20,15,5,0,0.0,0.0
83,1,0,20,18,2,0,0.0,0.0
84,2,0,20,17,3,0,0.0,0.0
85,3,0,20,14,6,0,0.0,0.0
86,4,0,20,16,4,0,0.0,0.0
87,5,0,20,18,2,0,0.0,0.0
88,6,0,20,20,0,0,0.0,0.0
89,7,0,20,20,0,0,0.0,0.0
90,8,0,20,17,3,0,0.0,0.0
91,9,0,20,20,0,0,0.0,0.0
92,10,0,20,20,0,0,0.0,0.0
93,11,0,20,20,0,0,0.0,0.0
94,12,0,20,17,3,0,0.0,0.0
95,13,0,20,17,3,0,0.0,0.0
96,14,0,20,16,4,0,0.0,0.0
97,15,0,20,19,1,0,0.0,0.0
98,16,0,20,20,0,0,0.0,0.0
99,17,0,20,18,0,6,7.288470338255236,2.1869948189493997
100,18,0,20,17,1,15,15.487431800680866,4.061459220128268
101,19,0,20,20,0,27,17.60149245050184,4.5205154034086785
102,20,1,20,17,1,38,17.91816407212069,4.5660617007174205
103,21,1,20,18,1,51,17.792670629382606,4.5299605504070195
104,22,1,20,19,0,63,19.439663887563615,4.688030795263674
105,10,0,20,18,0,71,19.27868311681175,4.702925301400775
106,11,0,20,20,0,82,19.428650324372988,4.82743076394287
107,12,0,20,16,1,99,21.429640861335894,4.917879528374064
108,13,0,20,20,0,113,21.6953967625958,5.042032706608771
109,14,0,20,19,1,127,22.037612353501846,4.965431463268141
110,15,0,20,16,2,141,21.392733328743706,5.116487892731953
111,16,0,20,18,0,156,22.07254289325739,5.217880684100345
112,1,0,20,19,0,171,21.927585229097502,5.258833326519116
113,2,0,20,19,0,179,21.78027090300946,5.18337156729844
114,3,0,20,13,0,180,21.64973872343924,5.207490368222238
115,1,0,20,14,0,186,21.516946070314585,5.1924896386907164
116,0,0,20,14,0,186,21.371491000701816,5.196066250751394
117,0,0,20,14,0,185,21.230788915941446,5.214794616636354
118,0,0,20,12,0,185,21.283586573747254,5.2134965403719615
119,0,0,20,18,0,183,21.24199902803008,5.242001116118016
120,1,0,20,16,0,181,21.174271719276767,5.2604640953844815
121,2,0,20,14,0,179,21.07935623103998,5.316743285428716
122,3,0,20,17,0,178,21.036345220956324,5.327698210262429
123,0,0,20,13,0,177,21.12591963831587,5.331653038886673
124,1,0,20,18,0,176,21.78600579961996,5.384517629225411
125,2,0,20,15,0,175,22.20307828644316,5.4524449938369965
126,3,0,20,16,0,174,21.405194501623303,5.431335566936639
127,4,0,20,13,0,173,22.189363176715197,5.504518040070093
128,5,0,20,17,0,172,22.461220165926093,5.53507194998349
129,6,0,20,16,0,170,22.324412594715515,5.535905385697954
130,7,0,20,16,0,170,22.21474912097473,5.5183954668024935
131,1,0,20,15,0,168,22.636882429904112,5.583976719696185
132,2,0,20,15,0,168,22.878501784444282,5.603599178361245
133,3,0,20,15,0,166,22.654534523186584,5.64286665188139
134,4,0,20,14,0,166,23.77817035057296,5.727613493432023
135,5,0,20,10,0,164,22.81824295417389,5.662315461659508
136,6,0,20,14,0,164,23.04909283979609,5.692458015865434
137,0,0,20,13,0,162,22.89784061527706,5.694322373294923
138,0,0,20,17,0,162,22.955972126026005,5.701976863359881
139,0,0,20,17,0,160,22.998973470746808,5.700740345597749
140,0,0,20,18,0,160,23.005014405843845,5.7176928365759165
141,0,0,20,18,0,158,22.990565095219452,5.675803758551787
142,0,0,20,16,0,158,22.91009530026453,5.683275299299571
143,1,0,20,15,0,156,23.265958526682553,5.691889123310139
144,2,0,20,19,0,156,22.971598267521106,5.694912831527938
145,3,0,20,19,0,154,22.837513930728434,5.6615365853227955
146,4,0,20,18,0,154,22.620249496647627,5.649901671706588
147,5,0,20,18,0,152,22.399788214601028,5.683142457662289
148,6,0,20,19,0,152,22.1837695193111,5.653919136735574
149,7,0,20,18,0,150,22.011874820245385,5.655038368788731
150,8,0,20,18,0,150,21.89671913737026,5.617993872589619
151,9,0,20,17,0,148,21.611183050813025,5.642644610838497
152,10,0,20,18,0,148,22.50610321481196,5.611919925577154
153,3,0,20,15,0,146,21.93232240840066,5.6700124052205245
154,0,0,20,19,0,146,21.846635549152097,5.696773718029581
155,1,0,20,15,0,144,22.12589239089171,5.700718968071211
156,2,0,20,18,0,144,22.29571599552774,5.718112468783206
157,3,0,20,14,0,142,22.554818122502844,5.780808230775513
158,4,0,20,13,0,142,23.184485504284453,5.781653330899429
159,5,0,20,15,0,140,23.435299438468054,5.847522404202382
160,6,0,20,13,0,140,23.91773732761873,5.8721550204616175
161,7,0,20,12,0,138,23.94797590734553,5.915437166383329
162,0,0,20,11,0,138,23.857879286479317,5.9317678247634635
163,0,0,20,15,0,136,23.827632295394764,6.001263208583752
164,0,0,20,13,0,136,23.71672538253166,6.024679874971346
165,0,0,20,19,0,134,23.628383368120417,6.061730901575844
166,0,0,20,12,0,134,24.1825924309016,6.072750771257355
167,0,0,20,13,0,132,24.812488706963347,5.9320487434092115
168,1,0,20,11,0,132,25.147955435865796,5.855028255986713
169,2,0,20,19,0,130,25.54548711792993,5.8505637805428705
170,1,0,20,14,0,130,26.336605213495112,5.4764796900291515
171,1,0,20,17,0,128,25.733777146955294,5.795395061344275
172,2,0,20,14,0,128,26.030710805392054,5.421247561963966
173,3,0,20,14,0,126,25.42795243674219,5.913109933007696
174,2,0,20,16,0,126,26.518647811408243,5.801708534346017
175,3,0,20,16,0,125,25.692706012866,5.907355360295852
176,4,0,20,12,0,124,24.938229109727494,5.973113396174855
177,5,0,20,12,0,123,26.243788883328122,5.700092256243589
178,6,0,20,14,0,122,26.483534647115725,5.3740838253082455
179,7,0,20,17,0,122,26.462452818107003,5.397789263833112
180,8,0,20,15,0,120,25.82847923779051,4.993464094516202
181,9,0,20,16,0,120,25.80680447648932,5.143709001638431
182,10,0,20,17,0,118,25.80734820985697,5.52605260942838
183,11,0,20,18,0,118,25.674589921789085,5.2911456967768045
184,12,0,20,16,0,116,25.370748892024835,5.463813672608306
185,13,0,20,15,0,116,25.318120257210396,5.338832545404399
186,14,0,20,14,0,114,24.78928771179431,5.41619430853609
187,15,0,20,17,0,114,24.627753173166923,5.303490476163645
188,16,0,20,13,0,112,24.682963524691075,5.502581359861377
189,17,0,20,16,0,112,24.937581837085993,5.308195451310758
190,18,0,20,13,0,110,23.757532531022406,5.60255311577576
191,19,0,20,19,0,110,24.884911893943908,5.33664776032755
192,20,1,20,13,0,108,24.40011714766718,5.443355855371342
193,21,2,20,15,0,108,24.500612385234568,5.388947655183778
194,22,2,20,7,0,106,23.936209426391695,5.545448832511415
195,23,2,20,15,0,106,24.36116315913431,5.477111749645018
196,24,2,20,14,0,104,24.566285588491667,5.550308933096634
197,25,2,20,16,0,104,24.710937594989012,5.490492700269203
198,26,2,20,15,0,102,24.6572906837011,5.495634691104656
199,27,2,20,9,0,102,23.995600973659457,5.5799823703908045
200,28,2,20,16,0,100,24.533469429367862,5.550725666221844
201,29,2,20,15,0,100,24.017325950753026,5.543564280068657
202,30,2,20,15,0,99,24.33250931537528,5.415979722880798
203,31,2,20,17,0,98,24.03360290352441,5.4183798901522335
204,32,2,20,16,0,97,24.259466775088622,5.394260561013085
205,33,2,20,15,0,97,24.16177708331014,5.403353327755255
206,34,2,20,18,0,96,24.121079931686523,5.389959876155542
207,35,2,20,15,0,95,24.102101804833353,5.359647427116848
208,36,1,20,17,0,95,24.044757552871673,5.36372500847948
209,37,1,20,18,0,94,23.967039066669912,5.391506362622243
210,38,1,20,19,0,93,23.911999907323317,5.411804104646817
211,39,1,20,18,0,93,23.86462906562193,5.418758095001276
212,40,1,20,17,0,92,23.835706001305063,5.443742396723718
213,41,1,20,19,0,91,23.735380430507547,5.450020625837073
214,42,1,20,18,0,91,23.656388731959105,5.448312251390375
215,43,1,20,15,0,90,23.587608250516425,5.371129324183772
216,44,1,20,15,0,89,23.540548863467265,5.400624947246474
217,45,1,20,18,0,89,23.479293546845902,5.395802247111674
218,46,1,20,13,0,88,23.384691460736974,5.343419770924249
219,47,1,20,10,0,87,23.282724169722904,5.365478826338262
220,48,1,20,15,0,87,23.176442483661646,5.376307657404912
221,49,1,20,14,0,86,23.140984069903297,5.40003194385821
222,50,1,20,11,0,85,23.02524071527287,5.3286430819946675
223,51,1,20,15,0,85,23.294150620890463,5.281202123332228
224,52,1,20,14,0,84,23.140532738116356,5.192347212686255
225,53,1,20,11,0,83,21.34781273135234,5.230547121559191
226,54,1,20,12,0,83,21.93743446997565,5.211039479928338
227,55,1,20,12,0,82,21.133559519791206,5.172499607628998
228,56,1,20,14,0,81,22.63438683472063,5.131643860648392
229,57,1,20,14,0,81,21.983988184769633,5.136323545833559
230,58,1,20,14,0,80,21.99304461702265,5.089326099104579
231,59,1,20,16,0,79,21.621604036677176,5.077504120049498
232,60,2,20,15,0,79,21.69209932798183,5.046006778170852
233,61,2,20,12,0,78,20.791899073957232,5.033835687238279
234,62,2,20,15,0,77,21.46273054333306,5.037906416732422
235,63,2,20,13,0,77,20.845241780571552,5.029229655728635
236,64,2,20,14,0,76,21.722917883413395,4.975131778530702
237,25,1,20,5,0,75,19.85892135701635,4.981519535958192
238,26,1,20,15,0,75,20.687271819700477,4.954533852830075
239,27,1,20,13,0,74,20.710088669251313,4.981388892456309
240,28,1,20,4,0,73,20.50905476488533,4.9555635411848185
241,1,0,20,9,0,73,20.55878929543558,4.998426423761155
242,2,0,20,17,0,72,20.733790187662542,5.021793576200628
243,3,0,20,15,0,71,20.52984571298186,4.636081164468172
244,3,0,20,13,0,71,20.473169550292432,4.584825691820417
245,4,0,20,15,0,71,19.826161227231758,4.43576600121398
246,5,0,20,16,0,69,19.755689202697837,4.450811757835793
247,0,0,20,15,0,69,19.95716307747815,4.598260841751415
248,1,0,20,15,0,69,19.195379702408463,4.377646083367566
249,2,0,20,10,0,67,20.87106976559668,4.978473500723878
250,3,0,20,7,0,67,20.910724998667384,4.920465443681729
251,4,0,20,11,0,67,20.918671396857608,4.887458819279427
252,0,0,20,8,0,65,17.238268023513683,3.809629050044516
253,0,0,20,12,0,65,15.529242577451383,3.4349038628371105
254,0,0,20,15,0,65,14.921149944999737,3.3279033619654346
255,0,0,20,19,0,64,14.021098466014301,3.260533979556148
256,0,0,20,16,0,63,14.697394877250492,3.312520342769713
257,0,0,20,16,0,63,15.463625222025584,3.4471951118767508
258,0,0,20,13,0,62,14.94842726455123,3.351027143702336
259,0,0,20,16,0,62,14.42769145293337,3.3133119986452093
260,0,0,20,12,0,61,14.383055564672976,3.34650930184492
261,0,0,20,17,0,61,14.063315157443654,3.347711130296094
262,0,0,20,20,0,60,13.831620665928515,3.3258492922154512
263,0,0,20,14,0,60,13.668586989349786,3.3108398299547184
