metric,value
determinism_pass,True
combat_regression_pass,True
mirror_not_worsened,True
no_new_attractor_signal,True
boundary_penetration_zero_like,True
no_permanent_boundary_trap,True
rpg_overhead_below_10pct,True
boundary_band_width_w,2.0
boundary_band_fraction,0.01
boundary_force_events_count_total,22
small_before_band_fraction,0.02
small_after_band_fraction,0.019999999999999865
small_before_force_events_total,1641
small_after_force_events_total,1641
large_survivors_A_delta_vs_0430,0
large_survivors_B_delta_vs_0430,0
large_first_contact_tick_delta_vs_0430,0
rpg_overhead_pct,7.2143465134967055
