case,fr,mobility_bias,pursuit_drive,determinism_pass,digest_run1,digest_run2,survivors_A,survivors_B,first_contact_tick,alive_crossing,alive_crossing_tick,jitter_count,no_new_attractor_proxy,elapsed_seconds,per_tick_seconds,mirror_M_ab,mirror_M_ba,mirror_abs_antisym_error,mirror_survivors_A,mirror_survivors_B,mirror_digest,max_enemy_collapse_signal_A,max_enemy_collapse_signal_B,neutral_collapse_regime,mean_radial_closure_rate,reintegration_rate,stable_locking_proxy,single_sided_pocket_permanence,persistent_end_A,persistent_end_B
FR2_MB2_PD2,2.0,2.0,2.0,True,581306f5322ed31ea1d03402153153ac2d092eabb5850a7f03c9ee00a0edc131,581306f5322ed31ea1d03402153153ac2d092eabb5850a7f03c9ee00a0edc131,49,26,107,False,,3712,True,5.95648620009888,0.0198549540003296,0.30666666666666664,-0.2564102564102564,0.050256410256410255,29,49,c3220d7de06c1ddd0350f3a2a00d516d2b400cf2cface44bb3902babb0aeb248,0.0,1.0,False,0.7913141504492434,1.0,False,False,0,0
FR2_MB2_PD5,2.0,2.0,5.0,True,581306f5322ed31ea1d03402153153ac2d092eabb5850a7f03c9ee00a0edc131,581306f5322ed31ea1d03402153153ac2d092eabb5850a7f03c9ee00a0edc131,49,26,107,False,,3712,True,6.033888999954797,0.020112963333182656,0.30666666666666664,-0.2564102564102564,0.050256410256410255,29,49,c3220d7de06c1ddd0350f3a2a00d516d2b400cf2cface44bb3902babb0aeb248,0.0,1.0,False,0.7913141504492434,1.0,False,False,0,0
FR2_MB2_PD8,2.0,2.0,8.0,True,581306f5322ed31ea1d03402153153ac2d092eabb5850a7f03c9ee00a0edc131,581306f5322ed31ea1d03402153153ac2d092eabb5850a7f03c9ee00a0edc131,49,26,107,False,,3712,True,6.471383700030856,0.021571279000102854,0.30666666666666664,-0.2564102564102564,0.050256410256410255,29,49,c3220d7de06c1ddd0350f3a2a00d516d2b400cf2cface44bb3902babb0aeb248,0.0,1.0,False,0.7913141504492434,1.0,False,False,0,0
FR2_MB8_PD2,2.0,8.0,2.0,True,fa8419e1aba7df04eb11451bab99d2a20b1289dbef1779c4a368ba0d9e9f9a7e,fa8419e1aba7df04eb11451bab99d2a20b1289dbef1779c4a368ba0d9e9f9a7e,28,33,108,True,184,4625,True,6.4306065000128,0.021435355000042667,-0.08196721311475409,-0.05263157894736842,0.1345987920621225,27,30,77e5973e65624cbfd6fde989b80c9f836adb6c789d0691996f8d6defba837b6d,0.0,1.0,False,0.794554575964266,0.9142857142857143,False,False,1,1
FR2_MB8_PD5,2.0,8.0,5.0,True,fa8419e1aba7df04eb11451bab99d2a20b1289dbef1779c4a368ba0d9e9f9a7e,fa8419e1aba7df04eb11451bab99d2a20b1289dbef1779c4a368ba0d9e9f9a7e,28,33,108,True,184,4625,True,6.460936999996193,0.021536456666653978,-0.08196721311475409,-0.05263157894736842,0.1345987920621225,27,30,77e5973e65624cbfd6fde989b80c9f836adb6c789d0691996f8d6defba837b6d,0.0,1.0,False,0.794554575964266,0.9142857142857143,False,False,1,1
FR2_MB8_PD8,2.0,8.0,8.0,True,fa8419e1aba7df04eb11451bab99d2a20b1289dbef1779c4a368ba0d9e9f9a7e,fa8419e1aba7df04eb11451bab99d2a20b1289dbef1779c4a368ba0d9e9f9a7e,28,33,108,True,184,4625,True,6.3463570000603795,0.021154523333534597,-0.08196721311475409,-0.05263157894736842,0.1345987920621225,27,30,77e5973e65624cbfd6fde989b80c9f836adb6c789d0691996f8d6defba837b6d,0.0,1.0,False,0.794554575964266,0.9142857142857143,False,False,1,1
FR8_MB2_PD2,8.0,2.0,2.0,True,14031a8e2ca7410c1108d7a6a5f96a8dd5c586a16db5dd58cdcc3eabd137b290,14031a8e2ca7410c1108d7a6a5f96a8dd5c586a16db5dd58cdcc3eabd137b290,15,34,99,False,,6681,True,6.221205799956806,0.02073735266652269,-0.3877551020408163,0.11538461538461539,0.2723704866562009,29,23,debe25dfdc83f3a936dbc01bb8bd5bee3b6d8802827da2f9058206425fc2064c,0.0,0.0,True,0.8090188421937212,0.9827586206896551,False,False,0,0
FR8_MB2_PD5,8.0,2.0,5.0,True,14031a8e2ca7410c1108d7a6a5f96a8dd5c586a16db5dd58cdcc3eabd137b290,14031a8e2ca7410c1108d7a6a5f96a8dd5c586a16db5dd58cdcc3eabd137b290,15,34,99,False,,6681,True,6.472601899993606,0.021575339666645352,-0.3877551020408163,0.11538461538461539,0.2723704866562009,29,23,debe25dfdc83f3a936dbc01bb8bd5bee3b6d8802827da2f9058206425fc2064c,0.0,0.0,True,0.8090188421937212,0.9827586206896551,False,False,0,0
FR8_MB2_PD8,8.0,2.0,8.0,True,14031a8e2ca7410c1108d7a6a5f96a8dd5c586a16db5dd58cdcc3eabd137b290,14031a8e2ca7410c1108d7a6a5f96a8dd5c586a16db5dd58cdcc3eabd137b290,15,34,99,False,,6681,True,6.180881200009026,0.02060293733336342,-0.3877551020408163,0.11538461538461539,0.2723704866562009,29,23,debe25dfdc83f3a936dbc01bb8bd5bee3b6d8802827da2f9058206425fc2064c,0.0,0.0,True,0.8090188421937212,0.9827586206896551,False,False,0,0
FR8_MB8_PD2,8.0,8.0,2.0,True,ca9cffd06b51a4ff167ccc12f9f5a507bf9377fb29d526a1e4be479b0e9f1afd,ca9cffd06b51a4ff167ccc12f9f5a507bf9377fb29d526a1e4be479b0e9f1afd,25,32,99,False,,6662,True,6.624982499983162,0.02208327499994387,-0.12280701754385964,-0.15254237288135594,0.27534939042521556,25,34,6b90235877de833b70ce9ce6e6db9e46b1b52caa4bac38b9f5ef705fa5719b66,0.0,0.0,True,0.7991480971595359,0.96,False,True,1,0
