case,fleet_scope,count,mean,p50,p90,max,persistent_ge_20_count,hist_1_5,hist_6_10,hist_11_20,hist_21_40,hist_41_plus
FR2_MB2_PD2,combined,43,18.86046511627907,7.0,73.60000000000005,85,10,17,9,7,3,7
FR2_MB2_PD2,fleet_A,10,15.1,6.5,36.399999999999984,76,2,4,3,1,1,1
FR2_MB2_PD2,fleet_B,33,20.0,8.0,76.00000000000001,85,8,13,6,6,2,6
FR2_MB2_PD5,combined,43,18.86046511627907,7.0,73.60000000000005,85,10,17,9,7,3,7
FR2_MB2_PD5,fleet_A,10,15.1,6.5,36.399999999999984,76,2,4,3,1,1,1
FR2_MB2_PD5,fleet_B,33,20.0,8.0,76.00000000000001,85,8,13,6,6,2,6
FR2_MB2_PD8,combined,43,18.86046511627907,7.0,73.60000000000005,85,10,17,9,7,3,7
FR2_MB2_PD8,fleet_A,10,15.1,6.5,36.399999999999984,76,2,4,3,1,1,1
FR2_MB2_PD8,fleet_B,33,20.0,8.0,76.00000000000001,85,8,13,6,6,2,6
FR2_MB8_PD2,combined,35,23.771428571428572,5.0,77.6,88,13,18,2,3,3,9
FR2_MB8_PD2,fleet_A,11,13.818181818181818,3.0,35.0,45,4,6,0,1,3,1
FR2_MB8_PD2,fleet_B,24,28.333333333333332,5.5,78.0,88,9,12,2,2,0,8
FR2_MB8_PD5,combined,35,23.771428571428572,5.0,77.6,88,13,18,2,3,3,9
FR2_MB8_PD5,fleet_A,11,13.818181818181818,3.0,35.0,45,4,6,0,1,3,1
FR2_MB8_PD5,fleet_B,24,28.333333333333332,5.5,78.0,88,9,12,2,2,0,8
FR2_MB8_PD8,combined,35,23.771428571428572,5.0,77.6,88,13,18,2,3,3,9
FR2_MB8_PD8,fleet_A,11,13.818181818181818,3.0,35.0,45,4,6,0,1,3,1
FR2_MB8_PD8,fleet_B,24,28.333333333333332,5.5,78.0,88,9,12,2,2,0,8
FR8_MB2_PD2,combined,58,28.03448275862069,6.0,89.9,172,17,26,7,8,3,14
FR8_MB2_PD2,fleet_A,47,19.04255319148936,5.0,87.19999999999999,97,9,24,6,8,2,7
FR8_MB2_PD2,fleet_B,11,66.45454545454545,56.0,165.0,172,8,2,1,0,1,7
FR8_MB2_PD5,combined,58,28.03448275862069,6.0,89.9,172,17,26,7,8,3,14
FR8_MB2_PD5,fleet_A,47,19.04255319148936,5.0,87.19999999999999,97,9,24,6,8,2,7
FR8_MB2_PD5,fleet_B,11,66.45454545454545,56.0,165.0,172,8,2,1,0,1,7
FR8_MB2_PD8,combined,58,28.03448275862069,6.0,89.9,172,17,26,7,8,3,14
FR8_MB2_PD8,fleet_A,47,19.04255319148936,5.0,87.19999999999999,97,9,24,6,8,2,7
FR8_MB2_PD8,fleet_B,11,66.45454545454545,56.0,165.0,172,8,2,1,0,1,7
FR8_MB8_PD2,combined,25,66.2,54.0,180.8,219,13,8,2,2,0,13
FR8_MB8_PD2,fleet_A,15,48.8,15.0,97.0,182,7,6,1,1,0,7
FR8_MB8_PD2,fleet_B,10,92.3,80.0,195.6,219,6,2,1,1,0,6
FR8_MB8_PD5,combined,25,66.2,54.0,180.8,219,13,8,2,2,0,13
FR8_MB8_PD5,fleet_A,15,48.8,15.0,97.0,182,7,6,1,1,0,7
FR8_MB8_PD5,fleet_B,10,92.3,80.0,195.6,219,6,2,1,1,0,6
FR8_MB8_PD8,combined,25,66.2,54.0,180.8,219,13,8,2,2,0,13
FR8_MB8_PD8,fleet_A,15,48.8,15.0,97.0,182,7,6,1,1,0,7
FR8_MB8_PD8,fleet_B,10,92.3,80.0,195.6,219,6,2,1,1,0,6
