tick,deep_A,deep_B,ecs_A,ecs_B,coh_A,coh_B,dcoh_A,dcoh_B,pocket_A,pocket_B,reinteg_A,reinteg_B,alive_A,alive_B
1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,100,100
2,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,100,100
3,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,100,100
4,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,100,100
5,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,100,100
6,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,100,100
7,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,100,100
8,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,100,100
9,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,100,100
10,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,100,100
11,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,100,100
12,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,100,100
13,0,0,0.0,0.0,1.0,1.0,0.0,0.0,2,0,0,0,100,100
14,0,0,0.0,0.0,1.0,1.0,0.0,0.0,2,0,0,0,100,100
15,0,0,0.0,0.0,1.0,1.0,0.0,0.0,2,0,0,0,100,100
16,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,2,0,100,100
17,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,100,100
18,0,0,0.0,0.0,1.0,1.0,0.0,0.0,2,0,0,0,100,100
19,0,0,0.0,0.0,1.0,1.0,0.0,0.0,2,0,0,0,100,100
20,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,1,0,100,100
21,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,100,100
22,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,100,100
23,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,100,100
24,0,0,0.0,0.0,1.0,1.0,0.0,0.0,2,0,0,0,100,100
25,0,0,0.0,0.0,1.0,1.0,0.0,0.0,2,0,0,0,100,100
26,0,0,0.0,0.0,1.0,1.0,0.0,0.0,2,0,0,0,100,100
27,0,0,0.0,0.0,1.0,1.0,0.0,0.0,2,0,0,0,100,100
28,0,0,0.0,0.0,1.0,1.0,0.0,0.0,2,0,0,0,100,100
29,0,0,0.0,0.0,1.0,1.0,0.0,0.0,2,0,0,0,100,100
30,0,0,0.0,0.0,1.0,1.0,0.0,0.0,2,0,0,0,100,100
31,0,0,0.0,0.0,1.0,1.0,0.0,0.0,2,0,0,0,100,100
32,0,0,0.0,0.0,1.0,1.0,0.0,0.0,2,0,0,0,100,100
33,0,0,0.0,0.0,1.0,1.0,0.0,0.0,3,0,0,0,100,100
