case,fr,mb,pd,active_ticks_A,active_ticks_B,first_active_tick_A,first_active_tick_B,duration_A,duration_B,max_ecs_A,max_ecs_B,single_sided_pocket_permanence,pocket_persistent_end_A,pocket_persistent_end_B,mean_delta_cohesion_A,std_delta_cohesion_A,min_delta_cohesion_A,max_delta_cohesion_A,mean_delta_cohesion_B,std_delta_cohesion_B,min_delta_cohesion_B,max_delta_cohesion_B
FR2_MB2_PD2,2,2,2,0,34,,267,0,34,0.0,1.0,False,0,0,-0.003322222222222214,0.00019212907184211668,-0.0033333333333334103,0.0,0.0,0.0,0.0,0.0
FR2_MB2_PD5,2,2,5,0,134,,167,0,134,0.0,1.0,False,0,0,-0.003322222222222214,0.00019212907184211668,-0.0033333333333334103,0.0,0.0,0.0,0.0,0.0
FR2_MB2_PD8,2,2,8,0,234,,67,0,234,0.0,1.0,False,0,0,-0.003322222222222214,0.00019212907184211668,-0.0033333333333334103,0.0,0.0,0.0,0.0,0.0
FR2_MB8_PD2,2,8,2,0,34,,267,0,34,0.0,1.0,False,1,1,-0.003322222222222214,0.00019212907184211668,-0.0033333333333334103,0.0,0.0,0.0,0.0,0.0
FR2_MB8_PD5,2,8,5,0,134,,167,0,134,0.0,1.0,False,1,1,-0.003322222222222214,0.00019212907184211668,-0.0033333333333334103,0.0,0.0,0.0,0.0,0.0
FR2_MB8_PD8,2,8,8,0,234,,67,0,234,0.0,1.0,False,1,1,-0.003322222222222214,0.00019212907184211668,-0.0033333333333334103,0.0,0.0,0.0,0.0,0.0
FR8_MB2_PD2,8,2,2,0,0,,,0,0,0.0,0.0,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR8_MB2_PD5,8,2,5,0,0,,,0,0,0.0,0.0,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR8_MB2_PD8,8,2,8,0,0,,,0,0,0.0,0.0,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR8_MB8_PD2,8,8,2,0,0,,,0,0,0.0,0.0,True,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR8_MB8_PD5,8,8,5,0,0,,,0,0,0.0,0.0,True,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR8_MB8_PD8,8,8,8,0,0,,,0,0,0.0,0.0,True,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
