case,collapse_tick_v1_A_baseline,collapse_tick_v1_B_baseline,collapse_tick_v2_A_baseline_shadow,collapse_tick_v2_B_baseline_shadow,collapse_tick_v1_A_switch_shadow,collapse_tick_v1_B_switch_shadow,collapse_tick_v2_A_switch_active,collapse_tick_v2_B_switch_active
FR2_MB2_PD2,2,2,1,1,2,2,1,1
FR2_MB2_PD5,2,2,1,1,2,2,1,1
FR2_MB2_PD8,2,2,1,1,2,2,1,1
FR2_MB5_PD2,2,2,1,1,2,2,1,1
FR2_MB5_PD5,2,2,1,1,2,2,1,1
FR2_MB5_PD8,2,2,1,1,2,2,1,1
FR2_MB8_PD2,2,2,1,1,2,2,1,1
FR2_MB8_PD5,2,2,1,1,2,2,1,1
FR2_MB8_PD8,2,2,1,1,2,2,1,1
FR5_MB2_PD2,2,2,1,1,2,2,1,1
FR5_MB2_PD5,2,2,1,1,2,2,1,1
FR5_MB2_PD8,2,2,1,1,2,2,1,1
FR5_MB5_PD2,2,2,1,1,2,2,1,1
FR5_MB5_PD5,2,2,1,1,2,2,1,1
FR5_MB5_PD8,2,2,1,1,2,2,1,1
FR5_MB8_PD2,2,2,1,1,2,2,1,1
FR5_MB8_PD5,2,2,1,1,2,2,1,1
FR5_MB8_PD8,2,2,1,1,2,2,1,1
FR8_MB2_PD2,2,2,1,1,2,2,1,1
FR8_MB2_PD5,2,2,1,1,2,2,1,1
FR8_MB2_PD8,2,2,1,1,2,2,1,1
FR8_MB5_PD2,2,2,1,1,2,2,1,1
FR8_MB5_PD5,2,2,1,1,2,2,1,1
FR8_MB5_PD8,2,2,1,1,2,2,1,1
FR8_MB8_PD2,2,2,1,1,2,2,1,1
FR8_MB8_PD5,2,2,1,1,2,2,1,1
FR8_MB8_PD8,2,2,1,1,2,2,1,1
