tick,cohesion_v1_A,cohesion_v1_B,cohesion_v2_A,cohesion_v2_B,enemy_collapse_v1_for_A,enemy_collapse_v1_for_B,enemy_collapse_v2_for_A,enemy_collapse_v2_for_B,alive_A,alive_B,pocket_count_A,pocket_count_B
1,1.0,1.0,0.04052646724512632,0.004912299060015335,0.0,0.0,0.9950877009399847,0.9594735327548737,100,100,0,0
2,0.04719313391179299,0.006578965726682002,0.11447783062982197,0.03055150033111642,0.993421034273318,0.952806866088207,0.9694484996688836,0.885522169370178,100,100,0,0
3,0.12114449729648864,0.03221816699778309,0.10248474119211537,0.0843492524953513,0.9677818330022169,0.8788555027035113,0.9156507475046487,0.8975152588078846,100,100,0,0
4,0.10915140785878204,0.08601591916201796,0.10749692460657545,0.0821689428440785,0.913984080837982,0.8908485921412179,0.9178310571559215,0.8925030753934245,100,100,0,0
5,0.11416359127324212,0.08383560951074516,0.10100526066360993,0.04446669912503376,0.9161643904892548,0.8858364087267578,0.9555333008749662,0.8989947393363901,100,100,0,0
6,0.1076719273302766,0.04613336579170043,0.11062471099581395,0.06201375177292656,0.9538666342082995,0.8923280726697234,0.9379862482270734,0.889375289004186,100,100,0,0
7,0.11729137766248061,0.06368041843959323,0.10906753250961787,0.0736365459846351,0.9363195815604067,0.8827086223375193,0.9263634540153649,0.8909324674903821,100,100,0,0
8,0.11573419917628454,0.07530321265130176,0.1024788786329579,0.06119372095070119,0.9246967873486982,0.8842658008237154,0.9388062790492988,0.8975211213670421,100,100,0,0
9,0.10914554529962457,0.06286038761736785,0.10330108039886576,0.04671843790410002,0.9371396123826321,0.8908544547003754,0.9532815620959,0.8966989196011342,100,100,0,0
10,0.10996774706553243,0.04838510457076669,0.11852419569623995,0.08917284594910369,0.9516148954292333,0.8900322529344675,0.9108271540508963,0.88147580430376,100,100,0,0
11,0.1251908623629066,0.09083951261577035,0.11334991693687568,0.08458630749159024,0.9091604873842296,0.8748091376370934,0.9154136925084098,0.8866500830631243,100,100,0,0
12,0.12001658360354235,0.0862529741582569,0.11965396085333357,0.06960655844547925,0.913747025841743,0.8799834163964576,0.9303934415545208,0.8803460391466664,100,100,0,0
13,0.12632062752000023,0.07127322511214591,0.13729061910299767,0.07651052952328319,0.928726774887854,0.8736793724799998,0.9234894704767168,0.8627093808970023,100,100,0,0
14,0.14395728576966432,0.07817719618994985,0.12560838000451824,0.07163269532984495,0.9218228038100501,0.8560427142303357,0.928367304670155,0.8743916199954818,100,100,0,0
15,0.1322750466711849,0.07329936199651162,0.13351529034476162,0.06509025215194841,0.9267006380034883,0.8677249533288152,0.9349097478480516,0.8664847096552384,100,100,0,0
16,0.14018195701142827,0.06675691881861508,0.1336206844842871,0.0876538445630568,0.9332430811813849,0.8598180429885718,0.9123461554369432,0.8663793155157129,100,100,0,0
17,0.14028735115095375,0.08932051122972347,0.1615407777066451,0.08283006760809508,0.9106794887702765,0.8597126488490463,0.9171699323919049,0.8384592222933549,100,100,0,0
18,0.16820744437331175,0.08449673427476175,0.16649723705378328,0.08884693560136614,0.9155032657252382,0.8317925556266883,0.9111530643986339,0.8335027629462167,100,100,0,0
19,0.17316390372044993,0.0905136022680328,0.16111685295650924,0.0897913883759186,0.9094863977319672,0.82683609627955,0.9102086116240814,0.8388831470434908,100,100,0,0
20,0.1677835196231759,0.09145805504258527,0.19771608144476527,0.0619540322121237,0.9085419449574147,0.8322164803768242,0.9380459677878763,0.8022839185552347,100,100,0,0
21,0.20438274811143192,0.06362069887879036,0.15882635221355235,0.07774771351775622,0.9363793011212096,0.795617251888568,0.9222522864822438,0.8411736477864477,100,100,0,0
22,0.165493018880219,0.07941438018442289,0.21091064858882103,0.0956859341646551,0.9205856198155771,0.8345069811197809,0.9043140658353449,0.789089351411179,100,100,0,0
23,0.21757731525548768,0.09735260083132176,0.1974531512370984,0.10231058645493574,0.9026473991686782,0.7824226847445124,0.8976894135450643,0.8025468487629016,100,100,0,0
24,0.20411981790376504,0.1039772531216024,0.18215221375237278,0.08292294923324328,0.8960227468783976,0.7958801820962349,0.9170770507667567,0.8178477862476272,100,100,0,0
25,0.18881888041903944,0.08458961589990995,0.2013390233468042,0.08058199539652677,0.91541038410009,0.8111811195809606,0.9194180046034732,0.7986609766531958,100,100,0,0
26,0.20800569001347086,0.08224866206319344,0.19923081383818153,0.09388082474263582,0.9177513379368065,0.7919943099865292,0.9061191752573642,0.8007691861618185,100,100,0,0
27,0.20589748050484818,0.09554749140930248,0.2738917798985643,0.11092055593367289,0.9044525085906975,0.7941025194951519,0.8890794440663271,0.7261082201014357,100,100,0,0
28,0.28055844656523093,0.11258722260033956,0.26392709437459894,0.09276966445043866,0.8874127773996604,0.7194415534347691,0.9072303355495613,0.7360729056254011,100,100,0,0
29,0.2705937610412656,0.09443633111710532,0.2990343114583003,0.11093404094603743,0.9055636688828946,0.7294062389587344,0.8890659590539626,0.7009656885416997,100,100,0,0
30,0.30570097812496694,0.11260070761270409,0.2655893432708484,0.10365539369088472,0.8873992923872959,0.6942990218750331,0.8963446063091153,0.7344106567291516,100,100,0,0
31,0.27225600993751503,0.10532206035755139,0.3282128381991334,0.1451346391732915,0.8946779396424486,0.7277439900624849,0.8548653608267085,0.6717871618008666,100,100,0,0
32,0.33487950486580004,0.14680130583995818,0.3082378090758071,0.14150715272158998,0.8531986941600418,0.6651204951342,0.85849284727841,0.6917621909241929,100,100,0,0
33,0.31490447574247377,0.14317381938825666,0.3258081556001178,0.1208094462749818,0.8568261806117433,0.6850955242575263,0.8791905537250182,0.6741918443998822,100,100,0,0
34,0.33247482226678443,0.12247611294164847,0.3818296992659975,0.13580161073063657,0.8775238870583515,0.6675251777332156,0.8641983892693634,0.6181703007340025,100,100,0,0
35,0.3884963659326642,0.13746827739730325,0.3095332113081197,0.16539793496326305,0.8625317226026967,0.6115036340673359,0.834602065036737,0.6904667886918803,100,100,0,0
36,0.3161998779747864,0.16706460162992973,0.31364986261170813,0.12524464815248304,0.8329353983700702,0.6838001220252137,0.874755351847517,0.6863501373882919,100,100,0,0
37,0.3203165292783748,0.12691131481914972,0.3226242962264485,0.1205870503546772,0.8730886851808503,0.6796834707216253,0.8794129496453228,0.6773757037735515,100,100,0,0
38,0.32929096289311516,0.12225371702134387,0.3152413533431123,0.17350494691114915,0.8777462829786561,0.6707090371068849,0.8264950530888509,0.6847586466568877,100,100,0,0
39,0.321908020009779,0.17517161357781583,0.3304585722194804,0.18522328721106984,0.8248283864221841,0.678091979990221,0.8147767127889302,0.6695414277805196,100,100,0,0
40,0.33712523888614704,0.18688995387773652,0.2622323700073629,0.16771100629189162,0.8131100461222635,0.662874761113853,0.8322889937081084,0.7377676299926371,100,100,0,0
41,0.26889903667402953,0.1693776729585583,0.2590400110575122,0.17328679836861194,0.8306223270414417,0.7311009633259704,0.8267132016313881,0.7409599889424878,100,100,0,0
42,0.26570667772417883,0.17495346503527862,0.33390996546361773,0.18625296894304377,0.8250465349647214,0.7342933222758212,0.8137470310569562,0.6660900345363823,100,100,0,0
43,0.3405766321302844,0.18791963560971045,0.2971043732296008,0.19475188345422667,0.8120803643902895,0.6594233678697157,0.8052481165457733,0.7028956267703992,100,100,0,0
44,0.30377103989626747,0.19641855012089335,0.2617835008384437,0.1750320209571825,0.8035814498791066,0.6962289601037326,0.8249679790428175,0.7382164991615563,100,100,0,0
45,0.26845016750511036,0.1766986876238492,0.219525320870133,0.14280534499355724,0.8233013123761508,0.7315498324948897,0.8571946550064428,0.780474679129867,100,100,0,0
46,0.22619198753679964,0.14447201166022391,0.31306774984481534,0.17809603743445535,0.8555279883397761,0.7738080124632003,0.8219039625655447,0.6869322501551847,100,100,1,0
47,0.319734416511482,0.17976270410112202,0.17604775491984992,0.2355643208606878,0.820237295898878,0.6802655834885181,0.7644356791393122,0.8239522450801501,100,100,1,0
48,0.18271442158651657,0.23723098752735447,0.20487457511870266,0.14206143703380114,0.7627690124726455,0.8172855784134834,0.8579385629661989,0.7951254248812973,100,100,1,0
49,0.21154124178536932,0.14372810370046782,0.17596135393708545,0.1664815503753745,0.8562718962995322,0.7884587582146307,0.8335184496246255,0.8240386460629145,100,100,1,0
50,0.1826280206037521,0.16814821704204116,0.17194812601374798,0.17725079731200777,0.8318517829579588,0.817371979396248,0.8227492026879922,0.828051873986252,100,100,1,0
51,0.17861479268041464,0.17891746397867445,0.20323749036404193,0.08532814547105705,0.8210825360213255,0.8213852073195853,0.914671854528943,0.7967625096359581,100,100,1,0
52,0.20990415703070858,0.08699481213772371,0.20002950626919425,0.06273680867742171,0.9130051878622762,0.7900958429692915,0.9372631913225783,0.7999704937308058,100,100,1,0
53,0.2066961729358609,0.06440347534408837,0.16332980740712078,0.09715320504831282,0.9355965246559116,0.793303827064139,0.9028467949516872,0.8366701925928792,100,100,1,0
54,0.16999647407378743,0.09881987171497948,0.18908877464431073,0.18796834073729207,0.9011801282850205,0.8300035259262126,0.8120316592627079,0.8109112253556893,100,100,1,0
55,0.19575544131097738,0.18963500740395875,0.14737550522991605,0.14075982758339012,0.8103649925960412,0.8042445586890226,0.8592401724166099,0.852624494770084,100,100,1,0
56,0.1540421718965827,0.1424264942500568,0.17054891219215318,0.1749364582247649,0.8575735057499432,0.8459578281034172,0.8250635417752351,0.8294510878078468,100,100,1,0
57,0.17721557885881983,0.17660312489143157,0.1372707092340254,0.20364270937663398,0.8233968751085684,0.8227844211411801,0.796357290623366,0.8627292907659746,100,100,2,0
58,0.14393737590069206,0.20530937604330066,0.162432504736722,0.1740595412582091,0.7946906239566993,0.8560626240993079,0.8259404587417909,0.837567495263278,100,100,2,0
59,0.16909917140338865,0.17572620792487578,0.14938208188089663,0.22074149465636084,0.8242737920751242,0.8309008285966113,0.7792585053436392,0.8506179181191034,100,100,3,0
60,0.1560487485475633,0.22240816132302751,0.13753902656645756,0.20163582464293528,0.7775918386769725,0.8439512514524368,0.7983641753570647,0.8624609734335424,100,100,3,0
61,0.1442056932331242,0.20330249130960196,0.15787667782396875,0.14087270643719962,0.796697508690398,0.8557943067668758,0.8591272935628004,0.8421233221760313,100,100,3,0
62,0.1645433444906354,0.1425393731038663,0.13670967309845017,0.12074894470851316,0.8574606268961337,0.8354566555093645,0.8792510552914868,0.8632903269015498,100,100,3,0
63,0.14337633976511682,0.12241561137517983,0.12809739961742372,0.09370866678324652,0.8775843886248201,0.8566236602348831,0.9062913332167535,0.8719026003825763,100,100,3,0
64,0.13476406628409038,0.09537533344991318,0.1482652726609156,0.06839016384736829,0.9046246665500868,0.8652359337159097,0.9316098361526317,0.8517347273390844,100,100,4,0
65,0.15493193932758226,0.07005683051403495,0.1218402554171446,0.17304150132685192,0.929943169485965,0.8450680606724177,0.8269584986731481,0.8781597445828554,100,100,4,0
66,0.12850692208381126,0.1747081679935186,0.11202976533486586,0.1933934668313091,0.8252918320064814,0.8714930779161887,0.8066065331686909,0.8879702346651341,100,100,4,0
67,0.11869643200153253,0.19506013349797577,0.12312948205997476,0.1353622089058787,0.8049398665020242,0.8813035679984674,0.8646377910941213,0.8768705179400252,100,100,4,0
68,0.1297961487266414,0.13702887557254537,0.11852510526215809,0.11752389833498567,0.8629711244274546,0.8702038512733585,0.8824761016650143,0.8814748947378419,100,100,4,0
69,0.12519177192882475,0.11919056500165233,0.14455790488218823,0.07923112764028728,0.8808094349983476,0.8748082280711753,0.9207688723597127,0.8554420951178118,100,100,4,0
70,0.15122457154885488,0.08089779430695394,0.10000488300212829,0.13298663552532664,0.919102205693046,0.8487754284511451,0.8670133644746734,0.8999951169978717,100,100,4,0
71,0.10667154966879495,0.1346533021919933,0.10229517554524026,0.08587655256255944,0.8653466978080067,0.893328450331205,0.9141234474374406,0.8977048244547597,100,100,4,0
72,0.10896184221190693,0.0875432192292261,0.10470120001045546,0.11186548805554164,0.9124567807707739,0.891038157788093,0.8881345119444584,0.8952987999895445,100,100,4,0
73,0.11136786667712213,0.1135321547222083,0.08593603610827505,0.08596733933177292,0.8864678452777917,0.8886321333228778,0.9140326606682271,0.914063963891725,100,100,4,0
74,0.09260270277494172,0.08763400599843958,0.098185249287019,0.10895582294863937,0.9123659940015604,0.9073972972250582,0.8910441770513606,0.901814750712981,100,100,4,0
75,0.10485191595368566,0.11062248961530603,0.0983177877384076,0.1018842242888729,0.8893775103846939,0.8951480840463143,0.8981157757111271,0.9016822122615924,100,100,4,0
76,0.10498445440507427,0.10355089095553956,0.08897327423257428,0.08627416204136118,0.8964491090444604,0.8950155455949257,0.9137258379586388,0.9110267257674257,100,100,4,0
77,0.09563994089924095,0.08794082870802784,0.09526184119893433,0.13299350071637184,0.9120591712919721,0.904360059100759,0.8670064992836282,0.9047381588010657,100,100,4,0
78,0.101928507865601,0.13466016738303851,0.10329016615401643,0.051631428140991864,0.8653398326169615,0.898071492134399,0.9483685718590081,0.8967098338459836,100,100,4,0
79,0.1099568328206831,0.053298094807658535,0.09165349189555405,0.11778611864499133,0.9467019051923414,0.8900431671793169,0.8822138813550087,0.908346508104446,100,100,4,0
80,0.09832015856222072,0.119452785311658,0.09671918529832602,0.12043770380787222,0.880547214688342,0.9016798414377792,0.8795622961921278,0.903280814701674,100,100,4,0
