case,fr,mb,pd,determinism_pass,baseline_digest,switch_digest_run1,switch_digest_run2,baseline_survivors_A,baseline_survivors_B,switch_survivors_A,switch_survivors_B,baseline_first_contact_tick,switch_first_contact_tick,baseline_mirror_abs_antisym_error,switch_mirror_abs_antisym_error,mirror_delta_ratio_vs_baseline,baseline_jitter_count,switch_jitter_count,jitter_delta_ratio_vs_baseline,baseline_per_tick_seconds,switch_per_tick_seconds,runtime_delta_ratio_vs_baseline,baseline_no_new_attractor_proxy,switch_no_new_attractor_proxy,baseline_stable_locking_proxy,switch_stable_locking_proxy,baseline_pocket_count,switch_pocket_count,baseline_pocket_mean,switch_pocket_mean
FR2_MB2_PD2,2.0,2.0,2.0,True,5d03fe6872b41a625a2277ca4b6ad31903070de8e85c263467ab0790ef2c87f9,e80024e7c919a045faa297c67b957b7d57b3b24ae93e6ba3742fdc036a7f3709,e80024e7c919a045faa297c67b957b7d57b3b24ae93e6ba3742fdc036a7f3709,40,32,43,19,107,109,0.019323671497584544,0.11682650392327809,5.04577157802964,4703,4489,-0.045502870508186265,0.02502432766642111,0.023819263000041245,-0.048155725997661165,True,True,False,False,37,33,20.675675675675677,15.878787878787879
FR2_MB2_PD5,2.0,2.0,5.0,True,6ac432416ac097c63fc1adcf43a63251deda0834edaea1f57da01a2340bebff1,6de15c2c5ccdeb64c1e19681791bbf5434af6c7019d5c31202942b7b6b6064e5,6de15c2c5ccdeb64c1e19681791bbf5434af6c7019d5c31202942b7b6b6064e5,49,26,58,31,107,110,0.050256410256410255,0.01978869696461516,-0.6062453155000045,3712,2739,-0.2621228448275862,0.025099611000235503,0.02538428833320116,0.01134190218975842,True,True,False,False,43,28,18.86046511627907,8.571428571428571
FR2_MB2_PD8,2.0,2.0,8.0,True,8be654ec8d4d212ea05a3fb184ec042bfe564c6e77f94c1cae2f4fa08fd4677b,d12a8905effa5d3851584840e7b5c53dd48269af44c10b889c48d31d204aa081,d12a8905effa5d3851584840e7b5c53dd48269af44c10b889c48d31d204aa081,36,35,49,26,108,110,0.2735867258344588,0.03579908675799087,-0.8691490362012224,3751,3435,-0.08424420154625434,0.023632172666645298,0.02473521633306518,0.0466755080871904,True,True,False,False,38,27,22.210526315789473,9.037037037037036
FR2_MB5_PD2,2.0,5.0,2.0,True,696062d99dcf34709192e5a664a74dcf65c268ea709bde7017142f330a1cf41e,e397e799e20c2576d13d1d0ce723868670e7357f0da2aba982529842783e8914,e397e799e20c2576d13d1d0ce723868670e7357f0da2aba982529842783e8914,33,41,38,19,107,109,0.32549941245593417,0.0869565217391304,-0.7328519855595669,4382,4084,-0.06800547695116385,0.024268513666465878,0.022797683333434786,-0.06060652717531187,True,True,False,False,38,40,25.94736842105263,10.4
FR2_MB5_PD5,2.0,5.0,5.0,True,b6a95a1cc9f1711ea91777b631b07c1137bd245ec4206fa6ed169dff8f1f5fbd,817cd0de8fb84bbec7093caff95382b8933d75e2ce04911bec4021686d162a4c,817cd0de8fb84bbec7093caff95382b8933d75e2ce04911bec4021686d162a4c,34,25,41,32,107,110,0.014124293785310715,0.14431796256994017,9.217711749951778,4493,3134,-0.3024705096817271,0.023803997666497403,0.02508654800010845,0.05387961936394222,True,True,False,False,34,32,17.0,11.90625
FR2_MB5_PD8,2.0,5.0,8.0,True,d0e6a09de5420ad264b9c135b00a3632ee9781f7947d4c69c8723941c1f99ea3,47355c801417e3c79382e70d9f34acb82090abcb17f85b701818eb20f80ad412,47355c801417e3c79382e70d9f34acb82090abcb17f85b701818eb20f80ad412,51,26,50,27,107,111,0.2621753246753247,0.009227614490772362,-0.9648036499918528,3638,3166,-0.1297416162726773,0.026080628999819357,0.024127196333526325,-0.07489975285130442,True,True,False,False,41,26,16.70731707317073,8.153846153846153
FR2_MB8_PD2,2.0,8.0,2.0,True,35c8822aa32cd870143a4a20ee9c3165894aef67b92954cb5951e84f207e5819,46b79ff14f9cf395439b956b1f57ba2b3c2ac5ba783cc1768cbe3fc371f3b30d,46b79ff14f9cf395439b956b1f57ba2b3c2ac5ba783cc1768cbe3fc371f3b30d,26,27,39,28,108,108,0.14476843910806175,0.20765736534717716,0.43441047390289433,5477,4092,-0.25287566185868177,0.02355676733306609,0.023510097000204646,-0.001981185796912606,True,True,False,False,36,31,20.38888888888889,13.516129032258064
FR2_MB8_PD5,2.0,8.0,5.0,True,1fb5eff6bd6ca28aef1688339b9324c88e548d4e86c536037f66b02a6c5b3001,a6d150cd5f54cf9d1685ffe1de04403ad4d8451f8592e26abad333fb5e167532,a6d150cd5f54cf9d1685ffe1de04403ad4d8451f8592e26abad333fb5e167532,28,33,43,25,108,111,0.1345987920621225,0.026610644257703098,-0.8022965596495006,4625,3525,-0.23783783783783785,0.02459681366647904,0.023874308666369567,-0.0293739266356323,True,True,False,False,35,22,23.771428571428572,14.090909090909092
FR2_MB8_PD8,2.0,8.0,8.0,True,f19a5d27386034757d4d9e22cb7b74877e06a3f4e388e5bb6f5deba7ae918629,a8deda10b20d4b6b7ba42caea6fa70305ed22f8286c7794153b330d40335408f,a8deda10b20d4b6b7ba42caea6fa70305ed22f8286c7794153b330d40335408f,35,28,43,30,109,111,0.013888888888888895,0.03141552511415524,1.2619178082191762,4317,3577,-0.1714153347231874,0.02417229366643975,0.024861070333281533,0.028494468764379742,True,True,False,False,35,35,25.485714285714284,10.114285714285714
FR5_MB2_PD2,5.0,2.0,2.0,True,5ef909f09a01aa99f41f8ca85b0f8ced1bc1b2119886993fec66dcb31dc82dff,aeb23fa98a8a42117f65ffe3188acb7fec10248eba73f3ff761fd2f8e723e5b1,aeb23fa98a8a42117f65ffe3188acb7fec10248eba73f3ff761fd2f8e723e5b1,30,20,27,28,104,103,0.2833333333333333,0.3012006861063465,0.0630612450812229,6073,5888,-0.030462703770788736,0.02369646033310952,0.023243567666504532,-0.01911224968786551,True,True,False,False,56,71,26.625,17.591549295774648
