case,mode,count,mean,p50,p90,max,persistent_ge_20_count,hist_1_5,hist_6_10,hist_11_20,hist_21_40,hist_41_plus
FR2_MB2_PD2,baseline_v1,37,20.675675675675677,8,69.99999999999997,85,12,13,6,6,6,6
FR2_MB2_PD2,switch_v2,33,15.878787878787879,11,32.6,68,11,9,7,9,5,3
FR2_MB2_PD5,baseline_v1,43,18.86046511627907,7,73.60000000000005,85,10,17,9,7,3,7
FR2_MB2_PD5,switch_v2,28,8.571428571428571,7.0,15.3,32,1,10,7,10,1,0
FR2_MB2_PD8,baseline_v1,38,22.210526315789473,10.0,72.10000000000002,83,11,11,9,7,4,7
FR2_MB2_PD8,switch_v2,27,9.037037037037036,4,19.400000000000002,55,3,15,3,7,1,1
FR2_MB5_PD2,baseline_v1,38,25.94736842105263,10.5,82.30000000000001,88,13,15,4,6,3,10
FR2_MB5_PD2,switch_v2,40,10.4,5.0,25.200000000000003,44,9,20,6,5,8,1
FR2_MB5_PD5,baseline_v1,34,17.0,2.5,67.3,88,6,19,3,6,0,6
FR2_MB5_PD5,switch_v2,32,11.90625,6.0,22.60000000000001,66,4,13,10,5,1,3
FR2_MB5_PD8,baseline_v1,41,16.70731707317073,6,69,86,10,18,9,6,2,6
FR2_MB5_PD8,switch_v2,26,8.153846153846153,5.5,17.0,26,2,13,4,7,2,0
FR2_MB8_PD2,baseline_v1,36,20.38888888888889,5.5,73.0,88,11,18,4,4,3,7
FR2_MB8_PD2,switch_v2,31,13.516129032258064,11,27,57,7,14,1,9,4,3
FR2_MB8_PD5,baseline_v1,35,23.771428571428572,5,77.6,88,13,18,2,3,3,9
FR2_MB8_PD5,switch_v2,22,14.090909090909092,3.0,24.0,151,4,13,3,2,3,1
FR2_MB8_PD8,baseline_v1,35,25.485714285714284,13,72.6,94,14,13,4,6,3,9
FR2_MB8_PD8,switch_v2,35,10.114285714285714,8,18.6,47,3,15,3,14,2,1
FR5_MB2_PD2,baseline_v1,56,26.625,6.0,80.5,149,18,26,9,3,3,15
FR5_MB2_PD2,switch_v2,71,17.591549295774648,5,72,84,16,36,9,12,2,12
FR5_MB2_PD5,baseline_v1,56,26.625,6.0,80.5,149,18,26,9,3,3,15
FR5_MB2_PD5,switch_v2,59,8.389830508474576,3,29.0,66,7,37,10,5,6,1
FR5_MB2_PD8,baseline_v1,56,26.625,6.0,80.5,149,18,26,9,3,3,15
FR5_MB2_PD8,switch_v2,46,11.347826086956522,4.0,26.5,73,9,28,6,3,5,4
FR5_MB5_PD2,baseline_v1,68,20.13235294117647,6.0,73.30000000000001,85,20,32,13,5,4,14
FR5_MB5_PD2,switch_v2,66,22.46969696969697,6.0,80.0,121,19,24,14,9,6,13
FR5_MB5_PD5,baseline_v1,68,20.13235294117647,6.0,73.30000000000001,85,20,32,13,5,4,14
FR5_MB5_PD5,switch_v2,55,11.654545454545454,6,34.0,80,11,26,9,10,9,1
FR5_MB5_PD8,baseline_v1,68,20.13235294117647,6.0,73.30000000000001,85,20,32,13,5,4,14
FR5_MB5_PD8,switch_v2,55,10.090909090909092,5,23.200000000000003,93,7,28,12,8,5,2
FR5_MB8_PD2,baseline_v1,55,25.509090909090908,4,85.2,109,19,29,4,5,1,16
FR5_MB8_PD2,switch_v2,57,24.035087719298247,4,79.8,236,14,33,6,4,1,13
FR5_MB8_PD5,baseline_v1,55,25.509090909090908,4,85.2,109,19,29,4,5,1,16
FR5_MB8_PD5,switch_v2,42,12.119047619047619,5.0,29.799999999999997,76,10,23,5,4,8,2
FR5_MB8_PD8,baseline_v1,55,25.509090909090908,4,85.2,109,19,29,4,5,1,16
FR5_MB8_PD8,switch_v2,57,7.912280701754386,3,17.4,38,4,31,6,17,3,0
FR8_MB2_PD2,baseline_v1,58,28.03448275862069,6.0,89.9,172,17,26,7,8,3,14
FR8_MB2_PD2,switch_v2,40,38.75,14.5,91.3,183,16,13,5,8,1,13
FR8_MB2_PD5,baseline_v1,58,28.03448275862069,6.0,89.9,172,17,26,7,8,3,14
FR8_MB2_PD5,switch_v2,47,18.425531914893618,10,55.39999999999999,84,13,19,6,10,6,6
FR8_MB2_PD8,baseline_v1,58,28.03448275862069,6.0,89.9,172,17,26,7,8,3,14
FR8_MB2_PD8,switch_v2,43,17.232558139534884,12,38.60000000000005,91,15,14,6,10,8,5
FR8_MB5_PD2,baseline_v1,29,59.06896551724138,24,115.59999999999997,223,15,8,3,3,2,13
FR8_MB5_PD2,switch_v2,61,26.442622950819672,5,92,193,14,32,9,6,2,12
FR8_MB5_PD5,baseline_v1,29,59.06896551724138,24,115.59999999999997,223,15,8,3,3,2,13
FR8_MB5_PD5,switch_v2,51,18.666666666666668,7,51,160,14,25,8,4,6,8
FR8_MB5_PD8,baseline_v1,29,59.06896551724138,24,115.59999999999997,223,15,8,3,3,2,13
FR8_MB5_PD8,switch_v2,43,15.837209302325581,5,52.000000000000085,74,12,22,5,4,7,5
FR8_MB8_PD2,baseline_v1,25,66.2,54,180.8,219,13,8,2,2,0,13
FR8_MB8_PD2,switch_v2,28,52.607142857142854,21.5,113.50000000000004,186,14,7,3,4,1,13
FR8_MB8_PD5,baseline_v1,25,66.2,54,180.8,219,13,8,2,2,0,13
FR8_MB8_PD5,switch_v2,52,22.057692307692307,5.5,70.1,119,17,26,5,4,4,13
FR8_MB8_PD8,baseline_v1,25,66.2,54,180.8,219,13,8,2,2,0,13
FR8_MB8_PD8,switch_v2,50,18.22,7.5,51.50000000000001,138,15,24,6,6,7,7
