tick,cohesion_v1_A,cohesion_v1_B,cohesion_v2_A,cohesion_v2_B,enemy_collapse_v1_for_A,enemy_collapse_v1_for_B,enemy_collapse_v2_for_A,enemy_collapse_v2_for_B,alive_A,alive_B,pocket_count_A,pocket_count_B
1,1.0,1.0,0.04052646724512632,0.004912299060015335,0.0,0.0,0.9950877009399847,0.9594735327548737,100,100,0,0
2,1.0,1.0,0.11459010013644955,0.03546646368487416,0.0,0.0,0.9645335363151258,0.8854098998635505,100,100,0,0
3,1.0,1.0,0.10451055051479752,0.09097370819203632,0.0,0.0,0.9090262918079637,0.8954894494852025,100,100,0,0
4,1.0,1.0,0.10392656846123283,0.10003615362667806,0.0,0.0,0.8999638463733219,0.8960734315387672,100,100,0,0
5,1.0,1.0,0.11167368052121873,0.10549680763485858,0.0,0.0,0.8945031923651414,0.8883263194787813,100,100,0,0
6,1.0,1.0,0.09945089422946096,0.07117340550700113,0.0,0.0,0.9288265944929989,0.900549105770539,100,100,0,1
7,1.0,1.0,0.10283836760341436,0.09918638773450428,0.0,0.0,0.9008136122654957,0.8971616323965856,100,100,1,1
8,1.0,1.0,0.12149735872763445,0.11196528547138129,0.0,0.0,0.8880347145286187,0.8785026412723655,100,100,1,1
9,1.0,1.0,0.1329450940741035,0.08599438876615673,0.0,0.0,0.9140056112338433,0.8670549059258965,100,100,1,0
10,1.0,1.0,0.14611480372057573,0.11620995000945888,0.0,0.0,0.8837900499905411,0.8538851962794243,100,100,1,0
11,1.0,1.0,0.17448368793488234,0.13666320459172243,0.0,0.0,0.8633367954082776,0.8255163120651177,100,100,1,0
12,1.0,1.0,0.1955336514493966,0.12147012401976265,0.0,0.0,0.8785298759802374,0.8044663485506034,100,100,1,0
13,1.0,1.0,0.2152402920364287,0.14542938191717658,0.0,0.0,0.8545706180828234,0.7847597079635713,100,100,1,0
14,1.0,1.0,0.22147685530410366,0.1260368299257858,0.0,0.0,0.8739631700742142,0.7785231446958963,100,100,1,0
15,1.0,1.0,0.25120770556598804,0.14739813617425135,0.0,0.0,0.8526018638257487,0.748792294434012,100,100,1,0
16,1.0,1.0,0.24909264650946994,0.1616988665115925,0.0,0.0,0.8383011334884075,0.7509073534905301,100,100,1,0
17,1.0,1.0,0.2743781318820129,0.18978777432078753,0.0,0.0,0.8102122256792125,0.7256218681179871,100,100,1,0
18,1.0,1.0,0.3217803848377019,0.21109519210101713,0.0,0.0,0.7889048078989829,0.6782196151622981,100,100,1,0
19,1.0,1.0,0.3450714022133474,0.16056183897023102,0.0,0.0,0.839438161029769,0.6549285977866526,100,100,2,0
20,1.0,1.0,0.32537903569417403,0.19714144186614269,0.0,0.0,0.8028585581338573,0.674620964305826,100,100,2,0
21,1.0,1.0,0.43438930966602574,0.20247229846031134,0.0,0.0,0.7975277015396887,0.5656106903339743,100,100,2,0
22,1.0,1.0,0.3810523292866964,0.2107388005138704,0.0,0.0,0.7892611994861296,0.6189476707133036,100,100,2,0
23,1.0,1.0,0.37653505497430817,0.25779940817424807,0.0,0.0,0.7422005918257519,0.6234649450256918,100,100,2,0
24,1.0,1.0,0.44210004835838124,0.2776181721366522,0.0,0.0,0.7223818278633478,0.5578999516416188,100,100,2,0
25,1.0,1.0,0.4964610299692699,0.2914576493651305,0.0,0.0,0.7085423506348695,0.5035389700307301,100,100,2,0
26,1.0,1.0,0.432287041667629,0.27953063700598046,0.0,0.0,0.7204693629940195,0.567712958332371,100,100,3,0
27,1.0,1.0,0.41129800306727593,0.35785213270571936,0.0,0.0,0.6421478672942806,0.5887019969327241,100,100,3,0
28,1.0,1.0,0.4063740484167022,0.33281846089528666,0.0,0.0,0.6671815391047133,0.5936259515832978,100,100,3,0
29,1.0,1.0,0.3249606948314758,0.4092604787786618,0.0,0.0,0.5907395212213382,0.6750393051685242,100,100,4,0
30,1.0,1.0,0.34991648346474225,0.33014072283516827,0.0,0.0,0.6698592771648317,0.6500835165352578,100,100,3,0
31,1.0,1.0,0.30599671964157527,0.3889941215731084,0.0,0.0,0.6110058784268916,0.6940032803584247,100,100,2,0
32,1.0,1.0,0.31407958971352345,0.32436193237286726,0.0,0.0,0.6756380676271327,0.6859204102864765,100,100,2,0
33,1.0,1.0,0.29385870934580427,0.40720836108433445,0.0,0.0,0.5927916389156656,0.7061412906541957,100,100,2,0
34,1.0,1.0,0.27955377906338397,0.39236053545936067,0.0,0.0,0.6076394645406393,0.720446220936616,100,100,3,1
35,1.0,1.0,0.23455913748482216,0.4017689547103027,0.0,0.0,0.5982310452896973,0.7654408625151778,100,100,3,1
36,1.0,1.0,0.239820079681192,0.34306299622676906,0.0,0.0,0.6569370037732309,0.760179920318808,100,100,3,1
37,1.0,1.0,0.23844443940726356,0.3494247433108604,0.0,0.0,0.6505752566891396,0.7615555605927364,100,100,3,1
38,1.0,1.0,0.22058088226046646,0.3577856334408529,0.0,0.0,0.6422143665591471,0.7794191177395335,100,100,3,1
39,1.0,1.0,0.1940210311454732,0.3604105695911106,0.0,0.0,0.6395894304088894,0.8059789688545268,100,100,3,1
40,1.0,1.0,0.19341968594700631,0.262079548844913,0.0,0.0,0.737920451155087,0.8065803140529937,100,100,3,2
41,1.0,1.0,0.1788175979809301,0.27177080771416595,0.0,0.0,0.728229192285834,0.8211824020190699,100,100,3,2
42,1.0,1.0,0.17531756736176995,0.2519154630066447,0.0,0.0,0.7480845369933553,0.82468243263823,100,100,3,2
43,1.0,1.0,0.16292113150364973,0.2364222834191676,0.0,0.0,0.7635777165808324,0.8370788684963503,100,100,4,2
