FR,MB,PD,FirstContactTick,FirstKillTick,PursuitModeOnsetTick,CollapseTick_v2,FormationCutTick,PocketStartTick,InflectionTick,EndgameOnsetTick,EndTick,Winner,FinalAliveA,FinalAliveB
2.0,2.0,2.0,112,120,1,1,1,2,158,,300,B,25,26
2.0,2.0,5.0,113,121,1,1,1,2,,,300,A,27,25
2.0,2.0,8.0,113,121,1,1,1,2,,,300,A,27,23
2.0,5.0,2.0,113,121,1,1,1,1,139,,300,A,28,23
2.0,5.0,5.0,113,121,1,1,1,1,,,300,A,30,23
2.0,5.0,8.0,113,121,1,1,1,2,176,,300,B,25,26
2.0,8.0,2.0,114,122,1,1,1,1,124,,300,A,29,26
2.0,8.0,5.0,113,122,1,1,1,1,184,,300,B,24,28
2.0,8.0,8.0,114,123,1,1,1,1,,,300,B,25,31
5.0,2.0,2.0,105,114,1,1,1,193,157,,300,B,25,26
5.0,2.0,5.0,107,114,1,1,1,1,145,,300,B,27,28
5.0,2.0,8.0,107,116,1,1,1,7,157,,300,A,35,24
5.0,5.0,2.0,102,116,1,1,1,,,,300,A,31,22
5.0,5.0,5.0,106,115,1,1,1,1,143,,300,Draw,28,28
5.0,5.0,8.0,107,116,1,1,1,1,,,300,B,26,29
5.0,8.0,2.0,102,118,1,1,1,,,,300,A,35,21
5.0,8.0,5.0,107,117,1,1,1,1,,,300,A,31,26
5.0,8.0,8.0,108,117,1,1,1,33,141,,300,B,27,28
8.0,2.0,2.0,97,115,1,1,1,187,166,,300,Draw,25,25
8.0,2.0,5.0,103,113,1,1,1,163,,293,300,B,19,26
8.0,2.0,8.0,105,113,1,1,1,254,204,,300,Draw,28,28
8.0,5.0,2.0,96,117,1,1,1,,,,300,A,34,25
8.0,5.0,5.0,102,114,1,1,1,158,172,,300,B,23,24
8.0,5.0,8.0,105,114,1,1,1,219,,,300,A,29,21
8.0,8.0,2.0,94,123,1,1,1,,,,300,A,31,30
8.0,8.0,5.0,99,116,1,1,1,188,,,300,A,29,22
8.0,8.0,8.0,104,115,1,1,1,30,,,300,A,31,21
