tick,side,alive_units,fleet_size_hp,fleet_size_ships_ceil,LCC_ratio,cohesion_v2,cohesion_v1_shadow_enemy,collapse_event_v2,collapse_event_vuln_shadow,deep_pursuit,damage_events_count,event_flags
1,A,100,10000.0,10000,0.92,0.04052646724512632,1.0,1,0,1,0,FormationCut|PursuitOnset|CollapseV2
1,B,100,10000.0,10000,0.21,0.004912299060015335,1.0,1,0,1,0,PursuitOnset|CollapseV2
2,A,100,10000.0,10000,0.82,0.11449233937138736,1.0,0,0,1,0,
2,B,100,10000.0,10000,0.71,0.02567904681841937,1.0,0,0,1,0,
3,A,100,10000.0,10000,0.81,0.10247820027873944,1.0,0,0,1,0,
3,B,100,10000.0,10000,0.75,0.0896438946109478,1.0,0,0,1,0,
4,A,100,10000.0,10000,0.85,0.10499802075463116,1.0,0,0,1,0,
4,B,100,10000.0,10000,0.69,0.09903143138802051,1.0,0,0,1,0,
5,A,100,10000.0,10000,0.59,0.11460937684316996,1.0,0,0,1,0,
5,B,100,10000.0,10000,0.77,0.094521560255857,1.0,0,0,1,0,
6,A,100,10000.0,10000,0.81,0.08357776192087218,1.0,0,0,1,0,
6,B,100,10000.0,10000,0.67,0.11373618130085583,1.0,0,0,1,0,
7,A,100,10000.0,10000,0.81,0.1169597856159249,1.0,0,0,1,0,
7,B,100,10000.0,10000,0.69,0.10211331734780504,1.0,0,0,1,0,
8,A,100,10000.0,10000,0.65,0.12392469443471754,1.0,0,0,1,0,
8,B,100,10000.0,10000,0.71,0.11165841875544147,1.0,0,0,1,0,
9,A,100,10000.0,10000,0.77,0.10398394161807323,1.0,0,0,1,0,
9,B,100,10000.0,10000,0.62,0.122543944385623,1.0,0,0,1,0,
10,A,100,10000.0,10000,0.67,0.13311251253280032,1.0,0,0,1,0,
10,B,100,10000.0,10000,0.6,0.1123707757904252,1.0,0,0,1,0,
11,A,100,10000.0,10000,0.67,0.12652962191099226,1.0,0,0,1,0,
11,B,100,10000.0,10000,0.69,0.1134035151267897,1.0,0,0,1,0,
12,A,100,10000.0,10000,0.72,0.1366655732414781,1.0,0,0,1,0,
12,B,100,10000.0,10000,0.69,0.14519303909355075,1.0,0,0,1,0,
13,A,100,10000.0,10000,0.7,0.1544955815681911,1.0,0,0,1,0,
13,B,100,10000.0,10000,0.68,0.15613134366847115,1.0,0,0,1,0,
14,A,100,10000.0,10000,0.76,0.16041728486496298,1.0,0,0,1,0,
14,B,100,10000.0,10000,0.5,0.15759207505283812,1.0,0,0,1,0,
15,A,100,10000.0,10000,0.64,0.18788026810533998,1.0,0,0,1,0,
15,B,100,10000.0,10000,0.62,0.12730171093014075,1.0,0,0,1,0,
16,A,100,10000.0,10000,0.67,0.16215798715028407,1.0,0,0,1,0,
16,B,100,10000.0,10000,0.63,0.17005340168490235,1.0,0,0,1,0,
17,A,100,10000.0,10000,0.54,0.17788779313050407,1.0,0,0,1,0,
17,B,100,10000.0,10000,0.64,0.17638209398121807,1.0,0,0,1,0,
18,A,100,10000.0,10000,0.58,0.15226852164294702,1.0,0,0,1,0,
18,B,100,10000.0,10000,0.56,0.18402588870080427,1.0,0,0,1,0,
19,A,100,10000.0,10000,0.57,0.17958284886826248,1.0,0,0,1,0,
19,B,100,10000.0,10000,0.59,0.17827025660210216,1.0,0,0,1,0,
20,A,100,10000.0,10000,0.7,0.18649041241861886,1.0,0,0,1,0,
20,B,100,10000.0,10000,0.66,0.20784888027487358,1.0,0,0,1,0,
21,A,100,10000.0,10000,0.71,0.2522824999033144,1.0,0,0,1,0,
21,B,100,10000.0,10000,0.67,0.25736158350642435,1.0,0,0,1,0,
22,A,100,10000.0,10000,0.72,0.27026911706313095,1.0,0,0,1,0,
