tick,side,alive_units,fleet_size_hp,fleet_size_ships_ceil,LCC_ratio,cohesion_v2,cohesion_v1_shadow_enemy,collapse_event_v2,collapse_event_vuln_shadow,deep_pursuit,damage_events_count,event_flags
1,A,100,10000.0,10000,0.83,0.04052646724512632,0.995,1,0,1,0,FormationCut|PocketStart|PursuitOnset|CollapseV2
1,B,100,10000.0,10000,0.21,0.004912299060015335,1.0,1,0,1,0,PursuitOnset|CollapseV2
2,A,100,10000.0,10000,0.85,0.10097025792007419,0.99,0,0,1,0,
2,B,100,10000.0,10000,0.12,0.02537669055630598,1.0,0,0,1,0,
3,A,100,10000.0,10000,0.86,0.10191758408285578,0.985,0,0,1,0,
3,B,100,10000.0,10000,0.28,0.014074220560885475,1.0,0,0,1,0,
4,A,100,10000.0,10000,0.63,0.10332630471163884,0.98,0,0,1,0,
4,B,100,10000.0,10000,0.45,0.03325954987560098,1.0,0,0,1,0,
5,A,100,10000.0,10000,0.62,0.07500642933245749,0.975,0,0,1,0,
5,B,100,10000.0,10000,0.2,0.051892900469940106,1.0,0,0,1,0,
6,A,100,10000.0,10000,0.61,0.07467961391964562,0.97,0,0,1,0,
6,B,100,10000.0,10000,0.17,0.022722263853882096,1.0,0,0,1,0,
7,A,100,10000.0,10000,0.71,0.07437142926547569,0.965,0,0,1,0,
7,B,100,10000.0,10000,0.22,0.019339958687773606,1.0,0,0,1,0,
8,A,100,10000.0,10000,0.71,0.08721316764497666,0.96,0,0,1,0,
8,B,100,10000.0,10000,0.1,0.025102147566458566,1.0,0,0,1,0,
9,A,100,10000.0,10000,0.57,0.0859664762208372,0.955,0,0,1,0,
9,B,100,10000.0,10000,0.14,0.011329173168825202,1.0,0,0,1,0,
10,A,100,10000.0,10000,0.38,0.07058030601347975,0.95,0,0,1,0,
10,B,100,10000.0,10000,0.16,0.01612284404395936,1.0,0,0,1,0,
11,A,100,10000.0,10000,0.43,0.04821084079078164,0.945,0,0,1,0,
11,B,100,10000.0,10000,0.22,0.018290292705993583,1.0,0,0,1,0,
12,A,100,10000.0,10000,0.43,0.054989142289149306,0.94,0,0,1,0,
12,B,100,10000.0,10000,0.15,0.024582672913844972,1.0,0,0,1,0,
13,A,100,10000.0,10000,0.55,0.05562858262316217,0.9349999999999999,0,0,1,0,
13,B,100,10000.0,10000,0.09,0.016725656269634293,1.0,0,0,1,0,
14,A,100,10000.0,10000,0.46,0.07294770672327278,0.9299999999999999,0,0,1,0,
14,B,100,10000.0,10000,0.09,0.010193282846202134,1.0,0,0,1,0,
15,A,100,10000.0,10000,0.43,0.06285457517994597,0.9249999999999999,0,0,1,0,
15,B,100,10000.0,10000,0.08,0.010101192407705128,1.0,0,0,1,0,
16,A,100,10000.0,10000,0.37,0.06029836929993604,0.9199999999999999,0,0,1,0,
16,B,100,10000.0,10000,0.09,0.008991206427947818,1.0,0,0,1,0,
17,A,100,10000.0,10000,0.47,0.05318520088108103,0.9149999999999999,0,0,1,0,
17,B,100,10000.0,10000,0.12,0.010071911596454375,1.0,0,0,1,0,
18,A,100,10000.0,10000,0.41,0.06906515548288084,0.9099999999999999,0,0,1,0,
18,B,100,10000.0,10000,0.08,0.013172608959236998,1.0,0,0,1,0,
19,A,100,10000.0,10000,0.41,0.06087557807205257,0.9049999999999999,0,0,1,0,
19,B,100,10000.0,10000,0.08,0.00894086754167489,1.0,0,0,1,0,
20,A,100,10000.0,10000,0.34,0.0628795481366845,0.8999999999999999,0,0,1,0,
20,B,100,10000.0,10000,0.05,0.008927284543312375,1.0,0,0,1,0,
21,A,100,10000.0,10000,0.49,0.05331502965994728,0.8949999999999999,0,0,1,0,
21,B,100,10000.0,10000,0.11,0.005534216466749009,1.0,0,0,1,0,
22,A,100,10000.0,10000,0.4,0.07733791925886857,0.8899999999999999,0,0,1,0,
22,B,100,10000.0,10000,0.12,0.012448858923938766,1.0,0,0,1,0,
