case_id,fr,mb,pd,tick,side,N_alive,LCC,C_conn,centroid_x,centroid_y,R,R_ref,rho,C_scale,C_v3,cohesion_v2,enemy_cohesion_v2,collapse_threshold_theta,collapse_event_v2
reference_alpha_AB,4.0,5.0,5.0,0,A,100,33,0.33,14.3840620433566,13.676955262170054,9.362691920596342,20.0,0.4681345960298171,1.0,0.33,0.04052646724512632,0.004912299060015335,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,0,B,100,4,0.04,185.6159379566434,186.32304473782995,9.362691920596344,20.0,0.4681345960298172,1.0,0.04,0.004912299060015335,0.04052646724512632,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,1,A,100,83,0.83,15.064052142081978,14.364618257601546,9.293071873019588,20.0,0.4646535936509794,1.0,0.83,0.10097025792007419,0.02537669055630598,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,1,B,100,21,0.21,184.9517212980771,185.65614100145658,9.423540308973916,20.0,0.4711770154486958,1.0,0.21,0.02537669055630598,0.10097025792007419,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,2,A,100,85,0.85,15.728563203868255,15.035205152050105,9.319484267734591,20.0,0.46597421338672956,1.0,0.85,0.10191758408285578,0.014074220560885475,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,2,B,100,12,0.12,184.28737356025013,184.96868524634235,9.471438787880464,20.0,0.4735719393940232,1.0,0.12,0.014074220560885475,0.10191758408285578,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,3,A,100,86,0.86,16.398936653370463,15.693157293457025,9.3078234402936,20.0,0.46539117201468,1.0,0.86,0.10332630471163884,0.03325954987560098,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,3,B,100,28,0.28,183.61416132425578,184.28482540398505,9.486661464596176,20.0,0.47433307322980883,1.0,0.28,0.03325954987560098,0.10332630471163884,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,4,A,100,63,0.63,17.0699838917216,16.34607869247183,9.308648468971283,20.0,0.46543242344856417,1.0,0.63,0.07500642933245749,0.051892900469940106,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,4,B,100,45,0.45,182.9552937394427,183.5967841664085,9.531339703182319,20.0,0.47656698515911594,1.0,0.45,0.051892900469940106,0.07500642933245749,0.5555555555555556,1
