case_id,fr,mb,pd,side,C_v3_t0,C_v3_t1,drop_t1,C_conn_t0,C_conn_t1,C_scale_t0,C_scale_t1,dominant_cause_t1,collapse_event_v2_t1
FR2_MB2_PD2,2.0,2.0,2.0,A,0.33,0.9,-0.5700000000000001,0.33,0.9,1.0,1.0,none,1
FR2_MB2_PD2,2.0,2.0,2.0,B,0.04,0.21,-0.16999999999999998,0.04,0.21,1.0,1.0,none,1
FR2_MB2_PD5,2.0,2.0,5.0,A,0.33,0.91,-0.5800000000000001,0.33,0.91,1.0,1.0,none,1
FR2_MB2_PD5,2.0,2.0,5.0,B,0.04,0.21,-0.16999999999999998,0.04,0.21,1.0,1.0,none,1
FR2_MB2_PD8,2.0,2.0,8.0,A,0.33,0.92,-0.5900000000000001,0.33,0.92,1.0,1.0,none,1
FR2_MB2_PD8,2.0,2.0,8.0,B,0.04,0.21,-0.16999999999999998,0.04,0.21,1.0,1.0,none,1
FR2_MB5_PD2,2.0,5.0,2.0,A,0.33,0.9,-0.5700000000000001,0.33,0.9,1.0,1.0,none,1
FR2_MB5_PD2,2.0,5.0,2.0,B,0.04,0.21,-0.16999999999999998,0.04,0.21,1.0,1.0,none,1
FR2_MB5_PD5,2.0,5.0,5.0,A,0.33,0.91,-0.5800000000000001,0.33,0.91,1.0,1.0,none,1
FR2_MB5_PD5,2.0,5.0,5.0,B,0.04,0.21,-0.16999999999999998,0.04,0.21,1.0,1.0,none,1
FR2_MB5_PD8,2.0,5.0,8.0,A,0.33,0.9,-0.5700000000000001,0.33,0.9,1.0,1.0,none,1
FR2_MB5_PD8,2.0,5.0,8.0,B,0.04,0.21,-0.16999999999999998,0.04,0.21,1.0,1.0,none,1
FR2_MB8_PD2,2.0,8.0,2.0,A,0.33,0.92,-0.5900000000000001,0.33,0.92,1.0,1.0,none,1
FR2_MB8_PD2,2.0,8.0,2.0,B,0.04,0.21,-0.16999999999999998,0.04,0.21,1.0,1.0,none,1
FR2_MB8_PD5,2.0,8.0,5.0,A,0.33,0.91,-0.5800000000000001,0.33,0.91,1.0,1.0,none,1
FR2_MB8_PD5,2.0,8.0,5.0,B,0.04,0.21,-0.16999999999999998,0.04,0.21,1.0,1.0,none,1
FR2_MB8_PD8,2.0,8.0,8.0,A,0.33,0.91,-0.5800000000000001,0.33,0.91,1.0,1.0,none,1
FR2_MB8_PD8,2.0,8.0,8.0,B,0.04,0.21,-0.16999999999999998,0.04,0.21,1.0,1.0,none,1
FR5_MB2_PD2,5.0,2.0,2.0,A,0.33,0.86,-0.53,0.33,0.86,1.0,1.0,none,1
FR5_MB2_PD2,5.0,2.0,2.0,B,0.04,0.21,-0.16999999999999998,0.04,0.21,1.0,1.0,none,1
FR5_MB2_PD5,5.0,2.0,5.0,A,0.33,0.84,-0.51,0.33,0.84,1.0,1.0,none,1
FR5_MB2_PD5,5.0,2.0,5.0,B,0.04,0.29,-0.24999999999999997,0.04,0.29,1.0,1.0,none,1
FR5_MB2_PD8,5.0,2.0,8.0,A,0.33,0.85,-0.52,0.33,0.85,1.0,1.0,none,1
FR5_MB2_PD8,5.0,2.0,8.0,B,0.04,0.29,-0.24999999999999997,0.04,0.29,1.0,1.0,none,1
FR5_MB5_PD2,5.0,5.0,2.0,A,0.33,0.85,-0.52,0.33,0.85,1.0,1.0,none,1
FR5_MB5_PD2,5.0,5.0,2.0,B,0.04,0.29,-0.24999999999999997,0.04,0.29,1.0,1.0,none,1
FR5_MB5_PD5,5.0,5.0,5.0,A,0.33,0.85,-0.52,0.33,0.85,1.0,1.0,none,1
FR5_MB5_PD5,5.0,5.0,5.0,B,0.04,0.25,-0.21,0.04,0.25,1.0,1.0,none,1
FR5_MB5_PD8,5.0,5.0,8.0,A,0.33,0.85,-0.52,0.33,0.85,1.0,1.0,none,1
FR5_MB5_PD8,5.0,5.0,8.0,B,0.04,0.25,-0.21,0.04,0.25,1.0,1.0,none,1
FR5_MB8_PD2,5.0,8.0,2.0,A,0.33,0.85,-0.52,0.33,0.85,1.0,1.0,none,1
FR5_MB8_PD2,5.0,8.0,2.0,B,0.04,0.25,-0.21,0.04,0.25,1.0,1.0,none,1
FR5_MB8_PD5,5.0,8.0,5.0,A,0.33,0.85,-0.52,0.33,0.85,1.0,1.0,none,1
FR5_MB8_PD5,5.0,8.0,5.0,B,0.04,0.21,-0.16999999999999998,0.04,0.21,1.0,1.0,none,1
FR5_MB8_PD8,5.0,8.0,8.0,A,0.33,0.85,-0.52,0.33,0.85,1.0,1.0,none,1
FR5_MB8_PD8,5.0,8.0,8.0,B,0.04,0.21,-0.16999999999999998,0.04,0.21,1.0,1.0,none,1
FR8_MB2_PD2,8.0,2.0,2.0,A,0.33,0.92,-0.5900000000000001,0.33,0.92,1.0,1.0,none,1
FR8_MB2_PD2,8.0,2.0,2.0,B,0.04,0.33,-0.29000000000000004,0.04,0.33,1.0,1.0,none,0
FR8_MB2_PD5,8.0,2.0,5.0,A,0.33,0.92,-0.5900000000000001,0.33,0.92,1.0,1.0,none,1
FR8_MB2_PD5,8.0,2.0,5.0,B,0.04,0.33,-0.29000000000000004,0.04,0.33,1.0,1.0,none,1
FR8_MB2_PD8,8.0,2.0,8.0,A,0.33,0.92,-0.5900000000000001,0.33,0.92,1.0,1.0,none,1
FR8_MB2_PD8,8.0,2.0,8.0,B,0.04,0.33,-0.29000000000000004,0.04,0.33,1.0,1.0,none,1
FR8_MB5_PD2,8.0,5.0,2.0,A,0.33,0.92,-0.5900000000000001,0.33,0.92,1.0,1.0,none,1
FR8_MB5_PD2,8.0,5.0,2.0,B,0.04,0.33,-0.29000000000000004,0.04,0.33,1.0,1.0,none,0
FR8_MB5_PD5,8.0,5.0,5.0,A,0.33,0.92,-0.5900000000000001,0.33,0.92,1.0,1.0,none,1
FR8_MB5_PD5,8.0,5.0,5.0,B,0.04,0.33,-0.29000000000000004,0.04,0.33,1.0,1.0,none,1
FR8_MB5_PD8,8.0,5.0,8.0,A,0.33,0.92,-0.5900000000000001,0.33,0.92,1.0,1.0,none,1
FR8_MB5_PD8,8.0,5.0,8.0,B,0.04,0.29,-0.24999999999999997,0.04,0.29,1.0,1.0,none,1
FR8_MB8_PD2,8.0,8.0,2.0,A,0.33,0.92,-0.5900000000000001,0.33,0.92,1.0,1.0,none,1
FR8_MB8_PD2,8.0,8.0,2.0,B,0.04,0.33,-0.29000000000000004,0.04,0.33,1.0,1.0,none,0
FR8_MB8_PD5,8.0,8.0,5.0,A,0.33,0.92,-0.5900000000000001,0.33,0.92,1.0,1.0,none,1
FR8_MB8_PD5,8.0,8.0,5.0,B,0.04,0.21,-0.16999999999999998,0.04,0.21,1.0,1.0,none,1
FR8_MB8_PD8,8.0,8.0,8.0,A,0.33,0.92,-0.5900000000000001,0.33,0.92,1.0,1.0,none,1
FR8_MB8_PD8,8.0,8.0,8.0,B,0.04,0.21,-0.16999999999999998,0.04,0.21,1.0,1.0,none,1
