case_id,fr,mb,pd,tick,side,N_alive,degenerate_n_lt_2,LCC_abs,C_conn_abs,LCC_rel,C_conn_rel,centroid_x,centroid_y,R,R_ref,rho,C_scale,C_v3,C_v3p1,d_nn_mean,d_ref,d_nn_p95,cohesion_v2,enemy_cohesion_v2,collapse_threshold_theta,collapse_event_v2
FR8_MB8_PD5,8.0,8.0,5.0,0,A,100,0,33,0.33,100,1.0,14.3840620433566,13.676955262170054,9.362691920596342,20.0,0.4681345960298171,1.0,0.33,1.0,1.9999999999999991,1.9999999999999973,2.0000000000000004,0.04052646724512632,0.004912299060015335,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,0,B,100,0,4,0.04,100,1.0,185.6159379566434,186.32304473782995,9.362691920596344,20.0,0.4681345960298172,1.0,0.04,1.0,1.9999999999999778,1.9999999999999758,2.000000000000016,0.004912299060015335,0.04052646724512632,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,1,A,100,0,92,0.92,100,1.0,15.026507409421553,14.334376840031831,9.167180036500431,20.0,0.45835900182502154,1.0,0.92,1.0,1.8370584461944675,1.878594255419823,1.990934906267254,0.11449233937138736,0.02567904681841937,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,1,B,100,0,21,0.21,100,1.0,184.9895699757317,185.6974574863639,9.213024889356001,20.0,0.46065124446780004,1.0,0.21,1.0,1.8353636435310954,1.8644703349005072,2.0014022994448935,0.02567904681841937,0.11449233937138736,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,2,A,100,0,82,0.82,100,1.0,15.653100982613076,14.981217129993453,9.076560925682966,20.0,0.4538280462841483,1.0,0.82,1.0,1.811145800423418,1.8366808280538351,2.000000000000001,0.10247820027873944,0.0896438946109478,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,2,B,100,0,71,0.71,100,1.0,184.37507980433722,185.08915466297896,8.993910243803976,20.0,0.44969551219019877,1.0,0.71,1.0,1.8408849307454431,1.8369660040802447,2.0187337573326407,0.0896438946109478,0.10247820027873944,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,3,A,100,0,81,0.81,100,1.0,16.240088962527548,15.638222297308307,8.92819865273886,20.0,0.446409932636943,1.0,0.81,1.0,1.81562873560601,1.8595136441754847,2.0000997558257505,0.10499802075463116,0.09903143138802051,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,3,B,100,0,75,0.75,100,1.0,183.74861649481994,184.4679964577752,8.858317671541428,20.0,0.4429158835770714,1.0,0.75,1.0,1.8208700468793095,1.841133967522934,2.0380946951490415,0.09903143138802051,0.10499802075463116,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,4,A,100,0,85,0.85,100,1.0,16.872086507312204,16.275104379183528,8.794258144558734,20.0,0.4397129072279367,1.0,0.85,1.0,1.7918603342586301,1.8310256635254425,2.0124863498343593,0.11460937684316996,0.094521560255857,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,4,B,100,0,69,0.69,100,1.0,183.14570244673135,183.82622465727687,8.714616567721603,20.0,0.4357308283860801,1.0,0.69,1.0,1.8044355915538843,1.8852016731427104,2.0238575686523523,0.094521560255857,0.11460937684316996,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,5,A,100,0,59,0.59,100,1.0,17.471776106549406,16.91517687768601,8.65621185066834,20.0,0.432810592533417,1.0,0.59,1.0,1.7662691748116202,1.788891877035857,2.02736616829387,0.08357776192087218,0.11373618130085583,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,5,B,100,0,77,0.77,100,1.0,182.51334170100083,183.2035484597576,8.608928174657038,20.0,0.4304464087328519,1.0,0.77,1.0,1.7752630668410212,1.817567666049462,2.0392957857033345,0.11373618130085583,0.08357776192087218,0.5555555555555556,1
