case_id,fr,mb,pd,tick,side,N_alive,degenerate_n_lt_2,LCC_abs,C_conn_abs,LCC_rel,C_conn_rel,centroid_x,centroid_y,R,R_ref,rho,C_scale,C_v3,C_v3p1,d_nn_mean,d_ref,d_nn_p95,cohesion_v2,enemy_cohesion_v2,collapse_threshold_theta,collapse_event_v2
reference_alpha_AB,4.0,5.0,5.0,0,A,100,0,33,0.33,100,1.0,14.3840620433566,13.676955262170054,9.362691920596342,20.0,0.4681345960298171,1.0,0.33,1.0,1.9999999999999991,1.9999999999999973,2.0000000000000004,0.04052646724512632,0.004912299060015335,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,0,B,100,0,4,0.04,100,1.0,185.6159379566434,186.32304473782995,9.362691920596344,20.0,0.4681345960298172,1.0,0.04,1.0,1.9999999999999778,1.9999999999999758,2.000000000000016,0.004912299060015335,0.04052646724512632,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,1,A,100,0,83,0.83,100,1.0,15.064052142081978,14.364618257601546,9.293071873019588,20.0,0.4646535936509794,1.0,0.83,1.0,1.8932434992313203,1.9449950998315657,2.002948171850477,0.10097025792007419,0.02537669055630598,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,1,B,100,0,21,0.21,100,1.0,184.9517212980771,185.65614100145658,9.423540308973916,20.0,0.4711770154486958,1.0,0.21,1.0,1.8886735395910754,1.885021179044906,2.000000000000011,0.02537669055630598,0.10097025792007419,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,2,A,100,0,85,0.85,100,1.0,15.728563203868255,15.035205152050105,9.319484267734591,20.0,0.46597421338672956,1.0,0.85,1.0,1.877957607784267,1.9243950977305708,2.0003202797876436,0.10191758408285578,0.014074220560885475,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,2,B,100,0,12,0.12,100,1.0,184.28737356025013,184.96868524634235,9.471438787880464,20.0,0.4735719393940232,1.0,0.12,1.0,1.9494030099778632,1.9944596382859054,2.001705294354264,0.014074220560885475,0.10191758408285578,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,3,A,100,0,86,0.86,100,1.0,16.398936653370463,15.693157293457025,9.3078234402936,20.0,0.46539117201468,1.0,0.86,1.0,1.876180784203949,1.9128099717917402,2.0000000000000027,0.10332630471163884,0.03325954987560098,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,3,B,100,0,28,0.28,100,1.0,183.61416132425578,184.28482540398505,9.486661464596176,20.0,0.47433307322980883,1.0,0.28,1.0,1.9345277534502372,1.9700082580872968,2.016190668074043,0.03325954987560098,0.10332630471163884,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,4,A,100,0,63,0.63,100,1.0,17.0699838917216,16.34607869247183,9.308648468971283,20.0,0.46543242344856417,1.0,0.63,1.0,1.8860007435235655,1.8868433205236306,2.023166063832639,0.07500642933245749,0.051892900469940106,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,4,B,100,0,45,0.45,100,1.0,182.9552937394427,183.5967841664085,9.531339703182319,20.0,0.47656698515911594,1.0,0.45,1.0,1.923552811218044,1.9639414209580244,2.0155525145760724,0.051892900469940106,0.07500642933245749,0.5555555555555556,1
