case_id,fr,mb,pd,side,C_conn_abs_t0,C_conn_rel_t0,C_scale_t0,C_v3_t0,C_v3p1_t0,d_ref_t0,d_nn_mean_t0,d_nn_p95_t0,C_conn_abs_t1,C_conn_rel_t1,C_scale_t1,C_v3_t1,C_v3p1_t1,d_ref_t1,drop_t1,dominant_cause_t1
FR2_MB2_PD2,2.0,2.0,2.0,A,0.33,1.0,1.0,0.33,1.0,1.9999999999999973,1.9999999999999991,2.0000000000000004,0.9,1.0,1.0,0.9,1.0,1.9710498920769388,0.0,none
FR2_MB2_PD2,2.0,2.0,2.0,B,0.04,1.0,1.0,0.04,1.0,1.9999999999999758,1.9999999999999778,2.000000000000016,0.21,1.0,1.0,0.21,1.0,1.9012193678487073,0.0,none
FR2_MB2_PD5,2.0,2.0,5.0,A,0.33,1.0,1.0,0.33,1.0,1.9999999999999973,1.9999999999999991,2.0000000000000004,0.91,1.0,1.0,0.91,1.0,1.9716713060051034,0.0,none
FR2_MB2_PD5,2.0,2.0,5.0,B,0.04,1.0,1.0,0.04,1.0,1.9999999999999758,1.9999999999999778,2.000000000000016,0.21,1.0,1.0,0.21,1.0,1.90638690952297,0.0,none
FR2_MB2_PD8,2.0,2.0,8.0,A,0.33,1.0,1.0,0.33,1.0,1.9999999999999973,1.9999999999999991,2.0000000000000004,0.92,1.0,1.0,0.92,1.0,1.971758655661183,0.0,none
FR2_MB2_PD8,2.0,2.0,8.0,B,0.04,1.0,1.0,0.04,1.0,1.9999999999999758,1.9999999999999778,2.000000000000016,0.21,1.0,1.0,0.21,1.0,1.9070862642141928,0.0,none
FR2_MB5_PD2,2.0,5.0,2.0,A,0.33,1.0,1.0,0.33,1.0,1.9999999999999973,1.9999999999999991,2.0000000000000004,0.9,1.0,1.0,0.9,1.0,1.954017001454083,0.0,none
FR2_MB5_PD2,2.0,5.0,2.0,B,0.04,1.0,1.0,0.04,1.0,1.9999999999999758,1.9999999999999778,2.000000000000016,0.21,1.0,1.0,0.21,1.0,1.8781313047071677,0.0,none
FR2_MB5_PD5,2.0,5.0,5.0,A,0.33,1.0,1.0,0.33,1.0,1.9999999999999973,1.9999999999999991,2.0000000000000004,0.91,1.0,1.0,0.91,1.0,1.9549332893304878,0.0,none
FR2_MB5_PD5,2.0,5.0,5.0,B,0.04,1.0,1.0,0.04,1.0,1.9999999999999758,1.9999999999999778,2.000000000000016,0.21,1.0,1.0,0.21,1.0,1.883941651827583,0.0,none
