case_id,fr,mb,pd,side,first_tick_pressure,first_tick_collapse_v2_shadow,first_tick_collapse_event_v2,pct_ticks_pressure_true,notes
FR2_MB2_PD2,2.0,2.0,2.0,A,36,68,1,32.67,
FR2_MB2_PD2,2.0,2.0,2.0,B,1,140,1,49.33,
FR2_MB2_PD5,2.0,2.0,5.0,A,19,92,1,26.67,
FR2_MB2_PD5,2.0,2.0,5.0,B,1,113,1,65.33,
FR2_MB2_PD8,2.0,2.0,8.0,A,39,63,1,37.33,
FR2_MB2_PD8,2.0,2.0,8.0,B,1,104,1,65.67,
FR2_MB5_PD2,2.0,5.0,2.0,A,26,78,1,33.00,
FR2_MB5_PD2,2.0,5.0,2.0,B,1,146,1,56.67,
FR2_MB5_PD5,2.0,5.0,5.0,A,42,79,1,26.67,
FR2_MB5_PD5,2.0,5.0,5.0,B,1,95,1,67.33,
FR2_MB5_PD8,2.0,5.0,8.0,A,52,66,1,34.33,
FR2_MB5_PD8,2.0,5.0,8.0,B,1,110,1,38.33,
FR2_MB8_PD2,2.0,8.0,2.0,A,37,92,1,41.33,
FR2_MB8_PD2,2.0,8.0,2.0,B,1,109,1,57.67,
FR2_MB8_PD5,2.0,8.0,5.0,A,25,61,1,68.67,
FR2_MB8_PD5,2.0,8.0,5.0,B,1,154,1,32.00,
FR2_MB8_PD8,2.0,8.0,8.0,A,28,85,1,69.67,
FR2_MB8_PD8,2.0,8.0,8.0,B,1,,1,25.00,collapse_shadow_never_triggers_within_T300
FR5_MB2_PD2,5.0,2.0,2.0,A,160,259,1,16.67,
FR5_MB2_PD2,5.0,2.0,2.0,B,1,219,1,27.67,
FR5_MB2_PD5,5.0,2.0,5.0,A,123,196,1,40.33,
FR5_MB2_PD5,5.0,2.0,5.0,B,1,247,1,20.67,
FR5_MB2_PD8,5.0,2.0,8.0,A,61,,1,3.00,collapse_shadow_never_triggers_within_T300
FR5_MB2_PD8,5.0,2.0,8.0,B,1,185,1,48.67,
FR5_MB5_PD2,5.0,5.0,2.0,A,150,,1,3.33,collapse_shadow_never_triggers_within_T300
FR5_MB5_PD2,5.0,5.0,2.0,B,1,148,1,57.67,
FR5_MB5_PD5,5.0,5.0,5.0,A,135,,1,6.00,collapse_shadow_never_triggers_within_T300
FR5_MB5_PD5,5.0,5.0,5.0,B,1,238,1,29.33,
FR5_MB5_PD8,5.0,5.0,8.0,A,165,221,1,32.33,
FR5_MB5_PD8,5.0,5.0,8.0,B,1,202,1,18.33,
FR5_MB8_PD2,5.0,8.0,2.0,A,219,,1,2.33,collapse_shadow_never_triggers_within_T300
FR5_MB8_PD2,5.0,8.0,2.0,B,1,133,1,59.33,
FR5_MB8_PD5,5.0,8.0,5.0,A,216,,1,4.67,collapse_shadow_never_triggers_within_T300
FR5_MB8_PD5,5.0,8.0,5.0,B,1,147,1,55.67,
FR5_MB8_PD8,5.0,8.0,8.0,A,141,,1,7.33,collapse_shadow_never_triggers_within_T300
FR5_MB8_PD8,5.0,8.0,8.0,B,1,240,1,24.00,
FR8_MB2_PD2,8.0,2.0,2.0,A,155,242,1,6.67,
FR8_MB2_PD2,8.0,2.0,2.0,B,1,196,1,27.33,
FR8_MB2_PD5,8.0,2.0,5.0,A,138,205,1,38.00,
FR8_MB2_PD5,8.0,2.0,5.0,B,1,275,1,17.00,
FR8_MB2_PD8,8.0,2.0,8.0,A,179,,1,10.33,collapse_shadow_never_triggers_within_T300
FR8_MB2_PD8,8.0,2.0,8.0,B,1,139,1,34.33,
FR8_MB5_PD2,8.0,5.0,2.0,A,140,,1,2.00,collapse_shadow_never_triggers_within_T300
FR8_MB5_PD2,8.0,5.0,2.0,B,1,152,1,53.00,
FR8_MB5_PD5,8.0,5.0,5.0,A,146,,1,5.33,collapse_shadow_never_triggers_within_T300
FR8_MB5_PD5,8.0,5.0,5.0,B,1,213,1,38.00,
FR8_MB5_PD8,8.0,5.0,8.0,A,167,,1,3.67,collapse_shadow_never_triggers_within_T300
FR8_MB5_PD8,8.0,5.0,8.0,B,1,147,1,55.33,
FR8_MB8_PD2,8.0,8.0,2.0,A,133,142,1,8.00,
FR8_MB8_PD2,8.0,8.0,2.0,B,1,159,1,48.00,
FR8_MB8_PD5,8.0,8.0,5.0,A,180,,1,1.67,collapse_shadow_never_triggers_within_T300
FR8_MB8_PD5,8.0,8.0,5.0,B,1,137,1,59.33,
FR8_MB8_PD8,8.0,8.0,8.0,A,198,,1,1.33,collapse_shadow_never_triggers_within_T300
FR8_MB8_PD8,8.0,8.0,8.0,B,1,161,1,57.33,
