tick,side,C_conn_rel,C_v3p1,ForceRatio,AttritionMomentum,cond_conn,cond_coh,cond_force,cond_attr,pressure,pressure_run_length,collapse_v2_shadow,collapse_event_v2
0,A,0.3300000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
0,B,0.0400000000,1.0000000000,1.0000000000,0.0000000000,1,0,0,0,0,0,0,1
1,A,0.9200000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
1,B,0.2100000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
2,A,0.8200000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
2,B,0.7100000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
3,A,0.8100000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
3,B,0.7500000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
4,A,0.8500000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
4,B,0.6900000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
5,A,0.5900000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
5,B,0.7700000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
6,A,0.8100000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
6,B,0.6700000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
7,A,0.8100000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
7,B,0.6900000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
8,A,0.6500000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
8,B,0.7100000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
9,A,0.7700000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
9,B,0.6200000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
10,A,0.6700000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
10,B,0.6000000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
11,A,0.6700000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
11,B,0.6900000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
12,A,0.7200000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
12,B,0.6900000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
13,A,0.7000000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
13,B,0.6800000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
14,A,0.7600000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
14,B,0.5000000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
15,A,0.6400000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
15,B,0.6200000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
16,A,0.6700000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
16,B,0.6300000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
