case_id,fr,mb,pd,tick,side,alive_self_tick_start,alive_enemy_tick_start,alive_self_tick_end,alive_enemy_tick_end,ForceRatio_tick_start,ForceRatio_tick_end,AttritionMomentum,AttritionMomentum_fixed,d_ref_anchor,d_ref_live,link_radius_anchor,link_radius_live,lcc_size,alive_units_end,C_conn_rel,R,R_ref_anchor,R_ref_live,rho_anchor,rho_live,C_scale_anchor,C_scale_live,C_v3p1_anchor,C_v3p1_live,collapse_event_v2
FR8_MB8_PD5,8.0,8.0,5.0,0,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,2.0000000000,3.2000000000,3.2000000000,100,100,1.0000000000,9.3626919206,20.0000000000,20.0000000000,0.4681345960,0.4681345960,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0
FR8_MB8_PD5,8.0,8.0,5.0,0,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,2.0000000000,3.2000000000,3.2000000000,100,100,1.0000000000,9.3626919206,20.0000000000,20.0000000000,0.4681345960,0.4681345960,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0
FR8_MB8_PD5,8.0,8.0,5.0,1,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.8785942554,3.2000000000,3.0057508087,100,100,1.0000000000,9.1671800365,20.0000000000,18.7859425542,0.4583590018,0.4879808405,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,1,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.8644703349,3.2000000000,2.9831525358,100,100,1.0000000000,9.2130248894,20.0000000000,18.6447033490,0.4606512445,0.4941363087,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,2,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.8366808281,3.2000000000,2.9386893249,100,100,1.0000000000,9.0765609257,20.0000000000,18.3668082805,0.4538280463,0.4941828099,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,2,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.8369660041,3.2000000000,2.9391456065,100,100,1.0000000000,8.9939102438,20.0000000000,18.3696600408,0.4496955122,0.4896067877,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,3,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.8595136442,3.2000000000,2.9752218307,100,100,1.0000000000,8.9281986527,20.0000000000,18.5951364418,0.4464099326,0.4801362271,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,3,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.8411339675,3.2000000000,2.9458143480,100,100,1.0000000000,8.8583176715,20.0000000000,18.4113396752,0.4429158836,0.4811337919,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,4,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.8310256635,3.2000000000,2.9296410616,100,100,1.0000000000,8.7942581446,20.0000000000,18.3102566353,0.4397129072,0.4802913645,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,4,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.8852016731,3.2000000000,3.0163226770,100,100,1.0000000000,8.7146165677,20.0000000000,18.8520167314,0.4357308284,0.4622644193,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,5,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.7888918770,3.2000000000,2.8622270033,100,100,1.0000000000,8.6562118507,20.0000000000,17.8889187704,0.4328105925,0.4838868107,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,5,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.8175676660,3.2000000000,2.9081082657,100,100,1.0000000000,8.6089281747,20.0000000000,18.1756766605,0.4304464087,0.4736510412,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,6,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.8098500305,3.2000000000,2.8957600488,100,100,1.0000000000,8.5684606882,20.0000000000,18.0985003052,0.4284230344,0.4734348451,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,6,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.8443092582,3.2000000000,2.9508948132,100,100,1.0000000000,8.5361093202,20.0000000000,18.4430925825,0.4268054660,0.4628350306,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,7,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.8250007892,3.2000000000,2.9200012627,100,100,1.0000000000,8.4666402836,20.0000000000,18.2500078917,0.4233320142,0.4639252944,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,7,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.8334410283,3.2000000000,2.9335056453,100,100,1.0000000000,8.4324793335,20.0000000000,18.3344102831,0.4216239667,0.4599264009,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,8,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.8533211271,3.2000000000,2.9653138034,100,100,1.0000000000,8.4083113710,20.0000000000,18.5332112709,0.4204155686,0.4536888534,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,8,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.8685512394,3.2000000000,2.9896819830,100,100,1.0000000000,8.3461662691,20.0000000000,18.6855123941,0.4173083135,0.4466651004,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,9,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.8271541159,3.2000000000,2.9234465854,100,100,1.0000000000,8.3075837148,20.0000000000,18.2715411589,0.4153791857,0.4546733985,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,9,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.8282435751,3.2000000000,2.9251897202,100,100,1.0000000000,8.2846734171,20.0000000000,18.2824357510,0.4142336709,0.4531493248,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,10,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.8591830469,3.2000000000,2.9746928751,100,100,1.0000000000,8.2370537716,20.0000000000,18.5918304694,0.4118526886,0.4430469493,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,10,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.8675885098,3.2000000000,2.9881416156,100,100,1.0000000000,8.2258886029,20.0000000000,18.6758850976,0.4112944301,0.4404550874,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,11,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.8838602372,3.2000000000,3.0141763795,100,100,1.0000000000,8.1659888625,20.0000000000,18.8386023716,0.4082994431,0.4334710559,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
