case_id,fr,mb,pd,tick,side,alive_self_tick_start,alive_enemy_tick_start,alive_self_tick_end,alive_enemy_tick_end,ForceRatio_tick_start,ForceRatio_tick_end,AttritionMomentum,AttritionMomentum_fixed,d_ref_anchor,d_ref_live,link_radius_anchor,link_radius_live,lcc_size,alive_units_end,C_conn_rel,R,R_ref_anchor,R_ref_live,rho_anchor,rho_live,C_scale_anchor,C_scale_live,C_v3p1_anchor,C_v3p1_live,collapse_event_v2
reference_alpha_AB,4.0,5.0,5.0,0,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,2.0000000000,3.2000000000,3.2000000000,100,100,1.0000000000,9.3626919206,20.0000000000,20.0000000000,0.4681345960,0.4681345960,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0
reference_alpha_AB,4.0,5.0,5.0,0,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,2.0000000000,3.2000000000,3.2000000000,100,100,1.0000000000,9.3626919206,20.0000000000,20.0000000000,0.4681345960,0.4681345960,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0
reference_alpha_AB,4.0,5.0,5.0,1,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9449950998,3.2000000000,3.1119921597,100,100,1.0000000000,9.2930718730,20.0000000000,19.4499509983,0.4646535937,0.4777941021,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,1,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.8831129042,3.2000000000,3.0129806468,100,100,1.0000000000,9.3315309726,20.0000000000,18.8311290423,0.4665765486,0.4955375194,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,2,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9243876309,3.2000000000,3.0790202094,100,100,1.0000000000,9.3194563309,20.0000000000,19.2438763088,0.4659728165,0.4842816583,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,2,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9197251355,3.2000000000,3.0715602168,100,100,1.0000000000,9.2551953443,20.0000000000,19.1972513547,0.4627597672,0.4821104424,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,3,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9002005857,3.2000000000,3.0403209372,100,100,1.0000000000,9.2981026881,20.0000000000,19.0020058575,0.4649051344,0.4893221672,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,3,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9544514769,3.2000000000,3.1271223631,100,100,1.0000000000,9.2085849305,20.0000000000,19.5445147694,0.4604292465,0.4711595575,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,4,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.8808281095,3.2000000000,3.0093249753,100,100,1.0000000000,9.2912301681,20.0000000000,18.8082810954,0.4645615084,0.4939967731,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,4,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9043291356,3.2000000000,3.0469266170,100,100,1.0000000000,9.1676032954,20.0000000000,19.0432913563,0.4583801648,0.4814085509,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,5,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9390718999,3.2000000000,3.1025150398,100,100,1.0000000000,9.2525481269,20.0000000000,19.3907189986,0.4626274063,0.4771637466,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,5,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.8998946031,3.2000000000,3.0398313649,100,100,1.0000000000,9.1382913632,20.0000000000,18.9989460306,0.4569145682,0.4809893848,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,6,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9417193472,3.2000000000,3.1067509556,100,100,1.0000000000,9.2107918732,20.0000000000,19.4171934722,0.4605395937,0.4743626769,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,6,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9445461085,3.2000000000,3.1112737735,100,100,1.0000000000,9.1046062304,20.0000000000,19.4454610847,0.4552303115,0.4682124117,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,7,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9255312935,3.2000000000,3.0808500696,100,100,1.0000000000,9.1785708343,20.0000000000,19.2553129350,0.4589285417,0.4766773132,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,7,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9416522912,3.2000000000,3.1066436658,100,100,1.0000000000,9.0700986057,20.0000000000,19.4165229115,0.4535049303,0.4671330004,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,8,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9183043149,3.2000000000,3.0692869039,100,100,1.0000000000,9.1671323713,20.0000000000,19.1830431491,0.4583566186,0.4778768572,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,8,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9387772336,3.2000000000,3.1020435737,100,100,1.0000000000,9.0728081229,20.0000000000,19.3877723357,0.4536404061,0.4679654767,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,9,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9396561565,3.2000000000,3.1034498505,100,100,1.0000000000,9.1405860865,20.0000000000,19.3965615654,0.4570293043,0.4712477547,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
