tick,fleet_id,AR,AreaScale,split_separation,angle_coverage,wedge_ratio,formation_labels,centroid_x,centroid_y,orientation_theta,alive_units,fleet_size_hp,fleet_size_ships_ceil,collapse_event_v2
0,A,2.2242986361,32.7838374813,1.7233266161,0.0833333333,0.8355981794,Rectangle + Split,14.3840620434,13.6769552622,2.4104412211,100,10000.0000000000,10000,0
0,B,2.2242986361,32.7838374813,1.7233266161,0.0833333333,1.1967474608,Rectangle + Split,185.6159379566,186.3230447378,2.4104412211,100,10000.0000000000,10000,0
10,A,2.1173775329,32.0459861094,1.7069201210,0.0833333333,0.8466443660,Rectangle + Split,21.1091231970,20.3244836110,2.4111356545,100,10000.0000000000,10000,1
10,B,2.0722498553,32.0864630880,1.6981944700,0.0833333333,1.1651834601,Rectangle + Split,178.9829329557,179.5843187444,2.4089302560,100,10000.0000000000,10000,1
20,A,1.9008503079,32.4336074337,1.6999609161,0.0833333333,0.8885707199,Rectangle + Split,27.8748124104,27.1908619195,2.4155368725,100,10000.0000000000,10000,1
20,B,1.8829609258,32.6914564211,1.7021874772,0.0833333333,1.1506163425,Rectangle + Split,172.2591853682,172.7195179981,2.4207928002,100,10000.0000000000,10000,1
30,A,1.6916789425,33.1478849219,1.6947951427,0.0833333333,0.9158834137,Rectangle + Split,34.6614211348,34.0985750489,2.4262247356,100,10000.0000000000,10000,1
30,B,1.6981421511,33.6791696023,1.6998594470,0.0833333333,1.1920762520,Rectangle + Split,165.5167354482,165.8302616156,2.4222521430,100,10000.0000000000,10000,1
40,A,1.5183186732,34.4615477903,1.6937639841,0.0833333333,0.9603940069,Rectangle + Split,41.4933673420,40.9702663695,2.4374577545,100,10000.0000000000,10000,1
40,B,1.5436189137,34.7936342314,1.6959078360,0.0833333333,1.1968636147,Rectangle + Split,158.7076177939,159.0080202861,2.4250898480,100,10000.0000000000,10000,1
50,A,1.3483986826,35.5591806323,1.6957172956,0.0833333333,0.9122836834,Split,48.3661027263,47.8597741577,2.4607235766,100,10000.0000000000,10000,1
50,B,1.3893154124,35.9694857059,1.6981160610,0.0833333333,1.2107409026,Split,151.8455372481,152.1707162584,2.4323649778,100,10000.0000000000,10000,1
60,A,1.1977150198,36.3144281947,1.6897775868,0.0833333333,0.8663272299,Split,55.2651132224,54.7549262744,2.5317517766,100,10000.0000000000,10000,1
60,B,1.2546675896,36.8635860174,1.6904081668,0.0833333333,1.1760357257,Split,145.0265526708,145.2918747821,2.4600550322,100,10000.0000000000,10000,1
70,A,1.0807605829,36.8450767396,1.6826729100,0.0833333333,0.8703581782,Split,62.1575857186,61.6392657773,2.7628633990,100,10000.0000000000,10000,1
70,B,1.1274473105,37.6405608269,1.6838932481,0.0833333333,1.2240422212,Split,138.1355659106,138.4282921244,2.4999553545,100,10000.0000000000,10000,1
80,A,1.0844400907,37.1786309269,1.6839801969,0.0833333333,0.9084799672,Split,69.0690717976,68.4917162346,0.4386331986,100,10000.0000000000,10000,1
80,B,1.0462552432,37.9629444994,1.6609758102,0.0833333333,0.8525540758,Split,131.2342593756,131.5670091331,0.0167422831,100,10000.0000000000,10000,1
90,A,1.1880365940,37.6332558416,1.7228225831,0.0833333333,0.8440336345,Split,75.9208866376,75.4104638855,0.6365340301,100,10000.0000000000,10000,1
90,B,1.1427530777,37.6639041772,1.7216490104,0.0833333333,1.2891494576,Split,124.3112039787,124.7226556519,0.6334125007,100,10000.0000000000,10000,1
100,A,1.2813979403,38.0293447360,1.7373448483,0.0833333333,0.7990109697,Split,82.7769601267,82.2664855815,0.6956173625,100,10000.0000000000,10000,1
100,B,1.2511730574,38.1526890487,1.7346495194,0.0833333333,1.3412586440,Split,117.4187441962,117.8822870865,0.6851156167,100,10000.0000000000,10000,1
110,A,1.4002393538,37.7424875715,1.7416099178,0.2500000000,0.7554230506,Split,89.6399313724,89.1449162485,0.7347344259,100,9991.3994646263,9992,1
110,B,1.3742293312,37.9190855018,1.7352744616,0.2500000000,1.4507512705,Split,110.3868525247,111.2115310538,0.7146333579,100,9989.1458632582,9990,1
120,A,1.4059356036,38.3465804421,1.7313558400,0.8333333333,0.8377364607,Split + Enveloping,95.1533507634,96.2935383221,0.7649254530,99,9628.0651270591,9629,1
120,B,1.3828082941,38.5906544910,1.7318180429,0.8333333333,1.1452282574,Split + Enveloping,102.9363399326,106.1240039934,0.6839788354,99,9611.4128681053,9612,1
130,A,1.2249439969,36.7198484742,1.7318457727,0.5833333333,0.9600859765,Split + Enveloping,97.0606552218,91.5575707652,0.6853447899,94,8993.7166922326,8994,1
130,B,1.1911569269,37.2546605430,1.6987277211,0.6666666667,1.1601753705,Split + Enveloping,106.7949017359,100.8478059334,0.5462395661,94,9009.7910104911,9010,1
140,A,1.1293255226,33.6574191297,1.6397587056,0.4166666667,1.0691669882,Split,87.7134450007,94.2732533656,0.1749914519,89,8477.8912183743,8478,1
140,B,1.1822476124,34.8374835871,1.7037682389,0.5833333333,0.9745423675,Split + Enveloping,98.3944104480,102.4835265037,0.0592655229,88,8459.9291314205,8460,1
150,A,1.2667205006,30.5009497710,1.6570243164,0.6666666667,0.8614546958,Split + Enveloping,80.9281390785,95.0701885758,3.0311234472,83,8025.0871570907,8026,1
150,B,1.2282492760,32.9357924698,1.6580796009,0.7500000000,1.3324822737,Split + Enveloping,89.5997217643,101.5489603534,2.9284083368,83,7953.3144998035,7954,1
160,A,1.3018453063,30.5632980717,1.6606250741,0.5833333333,0.8710627089,Split + Enveloping,72.7082844433,95.1166406831,2.9476959790,80,7522.9757315703,7523,1
160,B,1.2565401349,30.1764577847,1.6875275733,0.5833333333,0.9701402015,Split + Enveloping,82.3976830421,102.5584015872,2.6663011220,79,7461.0603969989,7462,1
170,A,1.3777933499,27.6788297961,1.6477790998,0.5000000000,0.8151298759,Split,70.4833928336,93.6545362489,2.8535243216,75,7097.8548659808,7098,1
170,B,1.3548048442,27.8597426723,1.6729051176,0.5833333333,0.9230684375,Split + Enveloping,80.1541847928,99.7545220148,2.4834039339,73,7028.4240787164,7029,1
180,A,1.6590126789,23.6067758430,1.6765009562,0.5833333333,0.7969800086,Split + Enveloping,73.7442874394,89.7892881481,2.5978625627,68,6639.5743090178,6640,1
180,B,1.6169501652,26.0341159208,1.6677356287,0.6666666667,0.8450994224,Rectangle + Split + Enveloping,79.3739612789,95.5230930731,2.4769750354,70,6607.0780970123,6608,1
190,A,1.7165805485,23.0141621882,1.6665517733,0.5833333333,0.8394316379,Rectangle + Split + Enveloping,78.5994408988,86.2695553866,2.5543154725,64,6160.3334216772,6161,1
190,B,1.7022548057,25.6173063813,1.6541438003,0.5833333333,0.8701768049,Rectangle + Split + Enveloping,85.8472879768,90.6238350500,2.4340573811,65,6121.3626880324,6122,1
200,A,1.8309372694,20.6344914792,1.6702533109,0.5000000000,0.9545823155,Rectangle + Split,76.9150721575,84.3280986430,2.4575640495,61,5753.0678172496,5754,1
200,B,1.8333750181,22.7342782124,1.6824387306,0.5000000000,0.9524803336,Rectangle + Split,82.9171575837,90.8198241880,2.3559456889,60,5748.2278997887,5749,1
210,A,1.8923515371,20.7653180400,1.6737565865,0.6666666667,0.8493324064,Rectangle + Split + Enveloping,79.4459004382,83.0019520325,2.4515614237,57,5327.4158173687,5328,1
210,B,1.9334840890,20.3517834148,1.6771265880,0.5833333333,0.9338878351,Rectangle + Split + Enveloping,82.2742034644,88.7843052640,2.4183003920,55,5325.4114749635,5326,1
