case_id,side,count_ticks,split_threshold,enveloping_threshold,line_threshold,compact_area_q,rectangle_wedge_abs_max,split_pct,split_first_tick,enveloping_pct,enveloping_first_tick,line_pct,line_first_tick,compact_pct,compact_first_tick,rectangle_pct,rectangle_first_tick
A_FR8_MB8_PD5,A,30,1.2,0.5,3.0,0.3,0.2,100.0,10,30.0,150,0.0,N/A,10.0,240,30.0,10
A_FR8_MB8_PD5,B,30,1.2,0.5,3.0,0.3,0.2,100.0,10,30.0,140,0.0,N/A,10.0,280,23.333333333333332,20
B_FR5_MB5_PD5,A,30,1.2,0.5,3.0,0.3,0.2,100.0,10,43.333333333333336,130,0.0,N/A,6.666666666666667,290,40.0,10
B_FR5_MB5_PD5,B,30,1.2,0.5,3.0,0.3,0.2,100.0,10,36.666666666666664,150,0.0,N/A,3.3333333333333335,300,33.33333333333333,10
C_FR5_MB2_PD5,A,30,1.2,0.5,3.0,0.3,0.2,100.0,10,26.666666666666668,140,0.0,N/A,0.0,N/A,40.0,10
C_FR5_MB2_PD5,B,30,1.2,0.5,3.0,0.3,0.2,100.0,10,36.666666666666664,180,0.0,N/A,13.333333333333334,270,16.666666666666664,10
C_FR5_MB5_PD5,A,30,1.2,0.5,3.0,0.3,0.2,100.0,10,43.333333333333336,130,0.0,N/A,6.666666666666667,290,40.0,10
C_FR5_MB5_PD5,B,30,1.2,0.5,3.0,0.3,0.2,100.0,10,36.666666666666664,150,0.0,N/A,3.3333333333333335,300,33.33333333333333,10
C_FR5_MB8_PD5,A,30,1.2,0.5,3.0,0.3,0.2,100.0,10,30.0,150,0.0,N/A,10.0,240,30.0,10
C_FR5_MB8_PD5,B,30,1.2,0.5,3.0,0.3,0.2,100.0,10,30.0,140,0.0,N/A,10.0,280,23.333333333333332,20
D_FR2_MB5_PD5,A,30,1.2,0.5,3.0,0.3,0.2,100.0,10,43.333333333333336,130,0.0,N/A,6.666666666666667,290,40.0,10
D_FR2_MB5_PD5,B,30,1.2,0.5,3.0,0.3,0.2,100.0,10,36.666666666666664,150,0.0,N/A,3.3333333333333335,300,33.33333333333333,10
D_FR5_MB5_PD5,A,30,1.2,0.5,3.0,0.3,0.2,100.0,10,43.333333333333336,130,0.0,N/A,6.666666666666667,290,40.0,10
D_FR5_MB5_PD5,B,30,1.2,0.5,3.0,0.3,0.2,100.0,10,36.666666666666664,150,0.0,N/A,3.3333333333333335,300,33.33333333333333,10
D_FR8_MB5_PD5,A,30,1.2,0.5,3.0,0.3,0.2,100.0,10,43.333333333333336,130,0.0,N/A,6.666666666666667,290,40.0,10
D_FR8_MB5_PD5,B,30,1.2,0.5,3.0,0.3,0.2,100.0,10,36.666666666666664,150,0.0,N/A,3.3333333333333335,300,33.33333333333333,10
