case_id,side,theta_split,theta_env,sustain_window_ticks,first_tick_split_sustain,first_tick_env_sustain,BRF_mapped_FormationCutTick,BRF_mapped_PocketFormationTick,first_contact_tick
FR8_MB8_PD5,A,1.715,0.583,20,83,255,75,202,107
FR8_MB8_PD5,B,1.715,0.583,20,75,202,75,202,107
reference_alpha_AB,A,1.715,0.583,20,85,162,85,162,106
reference_alpha_AB,B,1.715,0.583,20,102,227,85,162,106
FR5_MB2_PD5,A,1.715,0.583,20,75,276,75,226,107
FR5_MB2_PD5,B,1.715,0.583,20,83,226,75,226,107
FR5_MB5_PD5,A,1.715,0.583,20,85,162,85,162,106
FR5_MB5_PD5,B,1.715,0.583,20,102,227,85,162,106
FR5_MB8_PD5,A,1.715,0.583,20,83,255,75,202,107
FR5_MB8_PD5,B,1.715,0.583,20,75,202,75,202,107
