tick,side,split_separation,angle_coverage,split_cond,env_cond,sustain_split_geom,sustain_env_geom,sustain_split_tactical,sustain_env_tactical,in_contact_count,cut_event_geom,cut_event_tactical,pocket_event_geom,pocket_event_tactical
0,A,1.7233266161234584,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
0,B,1.7233266161234586,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
1,A,1.7128988197468877,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
1,B,1.7115210704704724,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
2,A,1.7186905130048478,0.08333333333333333,1,0,1,0,0,0,0,0,0,0,0
2,B,1.7170124569424483,0.08333333333333333,1,0,1,0,0,0,0,0,0,0,0
3,A,1.7116951146003379,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
3,B,1.704058237677367,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
4,A,1.7099067143797733,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
4,B,1.707078681663246,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
5,A,1.7055764104263227,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
5,B,1.7053995690832022,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
6,A,1.7106978834493332,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
6,B,1.7056510799189968,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
7,A,1.7056002143998086,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
7,B,1.7021987941562655,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
8,A,1.7038421758322182,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
8,B,1.7015065574079729,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
9,A,1.702058266369573,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
9,B,1.6974268827821137,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
10,A,1.7038042319106663,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
10,B,1.6841482170037811,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
11,A,1.7016482635434513,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
11,B,1.6855429420412036,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
12,A,1.7043729299081942,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
12,B,1.692082352700181,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
13,A,1.7012368637345499,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
13,B,1.6945039505385497,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
14,A,1.6994153932898513,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
14,B,1.694286320864116,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
15,A,1.6990058024081016,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
15,B,1.6957234973236335,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
16,A,1.6948818883691967,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
16,B,1.6945281121708056,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
17,A,1.694737008927265,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
17,B,1.6852956897570335,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
18,A,1.6978344419508473,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
18,B,1.6972299233284578,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
19,A,1.6942843111708126,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
19,B,1.6848612353706827,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
20,A,1.692023368645911,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
20,B,1.688041454130586,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
21,A,1.6888449631366664,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
21,B,1.6860802138517363,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
22,A,1.695876555346492,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
22,B,1.6908690829917874,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
23,A,1.6971975026633628,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
23,B,1.687739129315565,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
24,A,1.6946499794032464,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
24,B,1.6921874426957526,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
25,A,1.6939759703465704,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
25,B,1.6870295928343384,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
26,A,1.6958219966538945,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
26,B,1.6908655658212135,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
27,A,1.6932386669234412,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
27,B,1.6959535177649852,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
28,A,1.6896753328692211,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
28,B,1.6860778023089453,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
29,A,1.6937322872274745,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
29,B,1.6926396070817842,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
30,A,1.6938806080718058,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
30,B,1.6861207456878695,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
31,A,1.6881985516091356,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
31,B,1.6881059115697936,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
32,A,1.684829068878531,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
32,B,1.6855860167471688,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
33,A,1.6940227876135887,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
33,B,1.68764725426723,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
34,A,1.6925943263832197,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
34,B,1.682470390251555,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
35,A,1.6859001359122747,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
35,B,1.683953840779868,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
36,A,1.6873515878029524,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
36,B,1.6793133447563207,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
37,A,1.6840106133843562,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
37,B,1.6800073687979309,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
38,A,1.6847755044178476,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
38,B,1.6824825666316958,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
39,A,1.69007716909235,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
39,B,1.6886550427012352,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
40,A,1.6906864710610745,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
40,B,1.6899735504207412,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
