tick,side,split_separation,angle_coverage,split_cond,env_cond,in_contact_count,sustain_split_geom,sustain_split_tactical,sustain_env_geom,sustain_env_tactical,cut_event_geom,cut_event_tactical,pocket_event_geom,pocket_event_tactical
0,A,1.7233266161234584,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
0,B,1.7233266161234586,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
1,A,1.7144395224622546,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
1,B,1.7131743172128662,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
2,A,1.7191074807263524,0.08333333333333333,1,0,0,1,0,0,0,0,0,0,0
2,B,1.7174207729585231,0.08333333333333333,1,0,0,1,0,0,0,0,0,0,0
3,A,1.7105406048738752,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
3,B,1.7102160814639953,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
4,A,1.7168638179887166,0.08333333333333333,1,0,0,1,0,0,0,0,0,0,0
4,B,1.7132823473639298,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
5,A,1.711772344873142,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
5,B,1.710214386922828,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
6,A,1.706271102135943,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
6,B,1.7030176612207206,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
7,A,1.7028008205554683,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
7,B,1.6908619850841726,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
8,A,1.7063620061283982,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
8,B,1.6948002549962435,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
9,A,1.6998343290907447,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
9,B,1.6958658258637038,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
10,A,1.70734091205114,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
10,B,1.691184090488951,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
11,A,1.7049395027225858,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
11,B,1.688716062994391,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
12,A,1.703166827853689,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
12,B,1.6895053080569473,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
13,A,1.7009363232635042,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
13,B,1.691064027090125,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
14,A,1.700954493141681,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
14,B,1.6951719148920097,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
15,A,1.7050007867828196,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
15,B,1.692181322341268,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
16,A,1.695713385828508,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
16,B,1.6952934878813968,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
17,A,1.695546309820608,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
17,B,1.6881055906846223,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
18,A,1.7011457652945006,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
18,B,1.6867365825856349,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
19,A,1.6916220160882107,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
19,B,1.6867077575815417,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
20,A,1.6946605820496246,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
20,B,1.6847570542842976,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
21,A,1.6925573261213853,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
21,B,1.683871189781415,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
22,A,1.692716745544183,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
22,B,1.6874873872806453,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
23,A,1.695146239787589,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
23,B,1.6871897550763544,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
24,A,1.6956433225074263,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
24,B,1.685269543245651,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
25,A,1.6979043907912588,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
25,B,1.690203366918121,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
26,A,1.6949357114816297,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
26,B,1.6864338404649597,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
27,A,1.6970780740296731,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
27,B,1.6886301172898568,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
28,A,1.688726523028926,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
28,B,1.6850924297299448,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
29,A,1.6924240492404088,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
29,B,1.6854910698272585,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
30,A,1.691575065893867,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
30,B,1.6844494572053987,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
31,A,1.693912143037413,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
31,B,1.6857598058209453,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
32,A,1.6956475879667074,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
32,B,1.685674007326895,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
33,A,1.6926496383047156,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
33,B,1.6904422190291568,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
34,A,1.6945295409593601,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
34,B,1.6867602066223915,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
35,A,1.6998550759729698,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
35,B,1.6831211140400084,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
36,A,1.7006130186497403,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
36,B,1.6907572801834174,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
37,A,1.6980468708014202,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
37,B,1.6924718456391563,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
38,A,1.6966741692468963,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
38,B,1.6899881464972666,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
39,A,1.694917198550842,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
39,B,1.6920292034761337,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
40,A,1.6946844263938485,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
40,B,1.6877272573555409,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
41,A,1.6968864883907149,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
