metric,MB,bin_start,bin_end,count
cut_tick_T,2,122,142,15
cut_tick_T,2,142,162,1
cut_tick_T,2,162,182,0
cut_tick_T,2,182,202,1
cut_tick_T,2,202,222,2
cut_tick_T,2,222,242,4
cut_tick_T,2,242,262,0
cut_tick_T,2,262,282,0
cut_tick_T,2,282,302,5
cut_tick_T,5,123,145,16
cut_tick_T,5,145,167,0
cut_tick_T,5,167,189,1
cut_tick_T,5,189,211,0
cut_tick_T,5,211,233,2
cut_tick_T,5,233,255,2
cut_tick_T,5,255,277,0
cut_tick_T,5,277,299,6
cut_tick_T,8,118,134,23
cut_tick_T,8,134,150,3
cut_tick_T,8,150,166,1
cut_tick_T,8,166,182,0
cut_tick_T,8,182,198,0
cut_tick_T,8,198,214,0
cut_tick_T,8,214,230,0
cut_tick_T,8,230,246,0
cut_tick_T,8,246,262,1
pocket_tick_T,2,135,144,1
pocket_tick_T,2,144,153,1
pocket_tick_T,2,153,162,3
pocket_tick_T,2,162,171,7
pocket_tick_T,2,171,180,6
pocket_tick_T,2,180,189,2
pocket_tick_T,2,189,198,2
pocket_tick_T,2,198,207,8
pocket_tick_T,5,138,148,1
pocket_tick_T,5,148,158,1
pocket_tick_T,5,158,168,1
pocket_tick_T,5,168,178,9
pocket_tick_T,5,178,188,2
pocket_tick_T,5,188,198,6
pocket_tick_T,5,198,208,8
pocket_tick_T,5,208,218,0
pocket_tick_T,5,218,228,2
pocket_tick_T,8,156,165,10
pocket_tick_T,8,165,174,6
pocket_tick_T,8,174,183,8
pocket_tick_T,8,183,192,0
pocket_tick_T,8,192,201,0
pocket_tick_T,8,201,210,5
pocket_tick_T,8,210,219,0
pocket_tick_T,8,219,228,0
pocket_tick_T,8,228,237,1
delta_pocketT_to_cutT,2,-123,-97,1
delta_pocketT_to_cutT,2,-97,-71,4
delta_pocketT_to_cutT,2,-71,-45,4
delta_pocketT_to_cutT,2,-45,-19,2
delta_pocketT_to_cutT,2,-19,7,2
delta_pocketT_to_cutT,2,7,33,2
delta_pocketT_to_cutT,2,33,59,7
delta_pocketT_to_cutT,2,59,85,6
delta_pocketT_to_cutT,5,-126,-101,4
delta_pocketT_to_cutT,5,-101,-76,1
delta_pocketT_to_cutT,5,-76,-51,4
delta_pocketT_to_cutT,5,-51,-26,1
delta_pocketT_to_cutT,5,-26,-1,1
delta_pocketT_to_cutT,5,-1,24,1
delta_pocketT_to_cutT,5,24,49,4
delta_pocketT_to_cutT,5,49,74,8
delta_pocketT_to_cutT,5,74,99,3
delta_pocketT_to_cutT,8,-42,-26,1
delta_pocketT_to_cutT,8,-26,-10,0
delta_pocketT_to_cutT,8,-10,6,0
delta_pocketT_to_cutT,8,6,22,0
delta_pocketT_to_cutT,8,22,38,3
delta_pocketT_to_cutT,8,38,54,14
delta_pocketT_to_cutT,8,54,70,7
delta_pocketT_to_cutT,8,70,86,3
