run_id,case_id,A_id,B_id,FR,MB,PD,seed_or_config_digest,first_contact_tick,first_kill_tick,end_tick,cut_tick_T,pocket_tick_T,cut_tick_G,pocket_tick_G,cut_precontact_G,delta_cutT_to_contact,delta_pocketT_to_cutT,tactical_cut_exists,tactical_pocket_exists
FR2_MB2_PD5_R01_bittenfeld_vs_grillparzer,FR2_MB2_PD5,bittenfeld,grillparzer,2.0,2.0,5.0,49690115c6553eb1434a853fa0a039b5a9049bff8b9507f26210bf8e730bca45,105,115,300,224,172,224,172,false,119,-52,true,true
FR2_MB2_PD5_R02_bittenfeld_vs_kircheis,FR2_MB2_PD5,bittenfeld,kircheis,2.0,2.0,5.0,1d42e09d34c4c1ad8ed8f6fa036ab4a2bcee7117e0aceb779ea4d05d4db0e6d2,104,113,300,225,170,82,170,true,121,-55,true,true
FR2_MB2_PD5_R03_bittenfeld_vs_knappstein,FR2_MB2_PD5,bittenfeld,knappstein,2.0,2.0,5.0,9e070fe2043b1e84479f323a6573021ed5ec9ec8f8b6948871d32bc6859f8904,104,113,300,282,199,282,199,false,178,-83,true,true
FR2_MB2_PD5_R04_bittenfeld_vs_mittermeyer,FR2_MB2_PD5,bittenfeld,mittermeyer,2.0,2.0,5.0,7c29854b1368a2baa48a15fa6ce4ebbb8deef29f44a49269b1c85385e26dc61c,106,115,300,125,170,90,170,true,19,45,true,true
FR2_MB2_PD5_R05_bittenfeld_vs_muller,FR2_MB2_PD5,bittenfeld,muller,2.0,2.0,5.0,d78aa115b04fab082b3132d3556829aba9a491d90590a3c2589fe1ec69c0d1f6,104,113,300,282,199,282,199,false,178,-83,true,true
FR2_MB2_PD5_R06_bittenfeld_vs_reinhard,FR2_MB2_PD5,bittenfeld,reinhard,2.0,2.0,5.0,2ac81c988e19a9356c02d8c8323d30a464f3f216181ad924079da378b913b5c8,105,114,300,N/A,169,108,169,false,N/A,N/A,false,true
FR2_MB2_PD5_R07_bittenfeld_vs_reuenthal,FR2_MB2_PD5,bittenfeld,reuenthal,2.0,2.0,5.0,0ea7ff003ee11d08608737f35b61a16fa6fae9e4146648d684186b1fadb560c1,109,117,300,137,198,70,198,true,28,61,true,true
FR2_MB2_PD5_R08_grillparzer_vs_bittenfeld,FR2_MB2_PD5,grillparzer,bittenfeld,2.0,2.0,5.0,b84e381f04744a0b020c1db72841799353a475901991d26e2cafc631c9b808bc,105,114,300,124,160,76,160,true,19,36,true,true
FR2_MB2_PD5_R09_grillparzer_vs_kircheis,FR2_MB2_PD5,grillparzer,kircheis,2.0,2.0,5.0,1d097ee20221464c96af1b1ab3fa7071425bb7ba996b92d99826bc0994c8d0b3,105,114,300,124,160,76,160,true,19,36,true,true
FR2_MB2_PD5_R10_grillparzer_vs_knappstein,FR2_MB2_PD5,grillparzer,knappstein,2.0,2.0,5.0,2a7fb30f5dc0be870ff7074d7cd81ce32ab3979048dbd0ad54adcf060ee6ceed,105,113,300,206,179,81,179,true,101,-27,true,true
FR2_MB2_PD5_R11_grillparzer_vs_mittermeyer,FR2_MB2_PD5,grillparzer,mittermeyer,2.0,2.0,5.0,8630fd1f8dea73b8541f4512a8d24568fa1471b845d4f41ddcb13085023bcb11,107,116,300,126,160,99,160,true,19,34,true,true
FR2_MB2_PD5_R12_grillparzer_vs_muller,FR2_MB2_PD5,grillparzer,muller,2.0,2.0,5.0,97ca7a26032a9c80dc12d2c97806945aab8b00a274d8dfbe3f08c622133886e0,105,113,300,206,179,81,179,true,101,-27,true,true
FR2_MB2_PD5_R13_grillparzer_vs_reinhard,FR2_MB2_PD5,grillparzer,reinhard,2.0,2.0,5.0,a3bde31e35ac45b08cfe49384ff3e94c673dadef28c5b4c4aa590ba9df201971,106,114,300,125,181,80,181,true,19,56,true,true
FR2_MB2_PD5_R14_grillparzer_vs_reuenthal,FR2_MB2_PD5,grillparzer,reuenthal,2.0,2.0,5.0,564100ec022303d4720b4602ddaef4713635aef36e386d60573e93f8d9314203,110,117,300,144,175,94,175,true,34,31,true,true
FR2_MB2_PD5_R15_kircheis_vs_bittenfeld,FR2_MB2_PD5,kircheis,bittenfeld,2.0,2.0,5.0,616cee2ebc08b1d9fd9290eb5463c0763daebc91d09830dbf80611ba390a0c29,104,113,300,225,170,82,170,true,121,-55,true,true
FR2_MB2_PD5_R16_kircheis_vs_grillparzer,FR2_MB2_PD5,kircheis,grillparzer,2.0,2.0,5.0,2b94dd3adf5fffbf9a53ef327061833ed2634110deca55b2200a656fcc0af708,105,115,300,224,172,224,172,false,119,-52,true,true
FR2_MB2_PD5_R17_kircheis_vs_knappstein,FR2_MB2_PD5,kircheis,knappstein,2.0,2.0,5.0,e1f915030e5e810b985ed2daea161338c29d5237fc2938f00ac532cf10498c3d,104,113,300,282,199,282,199,false,178,-83,true,true
FR2_MB2_PD5_R18_kircheis_vs_mittermeyer,FR2_MB2_PD5,kircheis,mittermeyer,2.0,2.0,5.0,81e2c4c7b731c180002181212f565d612d06333da0becfb877f3105b4c81ea97,106,115,300,125,170,90,170,true,19,45,true,true
FR2_MB2_PD5_R19_kircheis_vs_muller,FR2_MB2_PD5,kircheis,muller,2.0,2.0,5.0,f0694bbf1c5a91bfa480ffb6e0941b6aa4edd50632788e64681f3bdc03773226,104,113,300,282,199,282,199,false,178,-83,true,true
FR2_MB2_PD5_R20_kircheis_vs_reinhard,FR2_MB2_PD5,kircheis,reinhard,2.0,2.0,5.0,f97a7f006422daf9d5fd97c1800c1611a3c583eaf505375372d8523646a8b5ae,105,114,300,N/A,169,108,169,false,N/A,N/A,false,true
FR2_MB2_PD5_R21_kircheis_vs_reuenthal,FR2_MB2_PD5,kircheis,reuenthal,2.0,2.0,5.0,4a45fe31d349bd1fb31274c91bff6f221dfea0b77d7fd575232795ed7d8af101,109,117,300,137,198,70,198,true,28,61,true,true
FR2_MB2_PD5_R22_knappstein_vs_bittenfeld,FR2_MB2_PD5,knappstein,bittenfeld,2.0,2.0,5.0,efb3e81daef92524d9ed3256cdd6fd9f32ad84d81f8560553da2d084535a269e,103,113,300,122,207,82,207,true,19,85,true,true
FR2_MB2_PD5_R23_knappstein_vs_grillparzer,FR2_MB2_PD5,knappstein,grillparzer,2.0,2.0,5.0,62f94e16f13a2a17588148a75761fc315895d83e44fdffe77d88a5ee579198ce,105,113,300,191,175,94,175,true,86,-16,true,true
FR2_MB2_PD5_R24_knappstein_vs_kircheis,FR2_MB2_PD5,knappstein,kircheis,2.0,2.0,5.0,31e176bb7a642d6d3059480b3ced6cf048166340876e004dde2e718af49b297f,103,113,300,122,207,82,207,true,19,85,true,true
FR2_MB2_PD5_R25_knappstein_vs_mittermeyer,FR2_MB2_PD5,knappstein,mittermeyer,2.0,2.0,5.0,07659bd11011b9df8da075ee2650bcd27945f42bee6cbc64c5c2a39d80d8040e,107,115,300,126,183,72,183,true,19,57,true,true
FR2_MB2_PD5_R26_knappstein_vs_muller,FR2_MB2_PD5,knappstein,muller,2.0,2.0,5.0,e5cadcc0197af80e0fef953b7012f32b3f66e5b8f19b0c71e9f75e2f49b46b14,103,113,300,286,163,111,163,false,183,-123,true,true
FR2_MB2_PD5_R27_knappstein_vs_reinhard,FR2_MB2_PD5,knappstein,reinhard,2.0,2.0,5.0,6473e59ba6ab159e807d0a73787ea85c922ea84ab84bfbafd7f3cc265a12463e,104,113,300,124,192,124,192,false,20,68,true,true
FR2_MB2_PD5_R28_knappstein_vs_reuenthal,FR2_MB2_PD5,knappstein,reuenthal,2.0,2.0,5.0,bfad5083583d2645beebf1180e8219bb51eb1d4ec06e91b0786b91f7063d9165,109,117,300,135,135,64,135,true,26,0,true,true
