scenario_id,cell_FR,cell_MB,cell_PD,opponent_archetype_id,run_id_v1,run_id_v3a,delta_end_tick_v3a_minus_v1,delta_first_contact_tick_v3a_minus_v1,delta_first_kill_tick_v3a_minus_v1,delta_tactical_cut_tick_T_v3a_minus_v1,delta_tactical_pocket_tick_T_v3a_minus_v1,delta_strategic_inflection_tick_v3a_minus_v1,delta_remaining_units_A_v3a_minus_v1,delta_remaining_units_B_v3a_minus_v1,delta_max_outlier_persistence_global_v3a_minus_v1,delta_mean_outlier_total_per_tick_v3a_minus_v1,delta_pct_ticks_outlier_total_gt0_v3a_minus_v1,exemplar_score
FR7_MB2_PD5,7,2,5,bittenfeld,task3_FR7_MB2_PD5_vs_bittenfeld_v1,task3_FR7_MB2_PD5_vs_bittenfeld_v3a,-87.0,-2.0,-1.0,279.0,19.0,-85.0,-7.0,19.0,2.0,0.059393382352941115,-15.354779411764707,279.0
FR7_MB2_PD5,7,2,5,kircheis,task3_FR7_MB2_PD5_vs_kircheis_v1,task3_FR7_MB2_PD5_vs_kircheis_v3a,7.0,-2.0,0.0,94.0,58.0,-1.0,-2.0,0.0,17.0,0.3148972950986375,-26.42159853569249,94.0
FR7_MB2_PD5,7,2,5,mittermeyer,task3_FR7_MB2_PD5_vs_mittermeyer_v1,task3_FR7_MB2_PD5_vs_mittermeyer_v3a,-69.0,-2.0,-2.0,-2.0,15.0,N/A,8.0,0.0,-39.0,0.2531969309462916,-36.86700767263427,69.0
FR7_MB2_PD5,7,2,5,muller,task3_FR7_MB2_PD5_vs_muller_v1,task3_FR7_MB2_PD5_vs_muller_v3a,-14.0,-1.0,-2.0,155.0,51.0,61.0,-23.0,22.0,-4.0,-0.23264486684914232,-30.906289576123307,155.0
FR7_MB2_PD5,7,2,5,reinhard,task3_FR7_MB2_PD5_vs_reinhard_v1,task3_FR7_MB2_PD5_vs_reinhard_v3a,-81.0,-2.0,-1.0,26.0,21.0,-78.0,21.0,-8.0,-125.0,0.046208852958236735,-20.397241154292345,125.0
FR7_MB2_PD5,7,2,5,reuenthal,task3_FR7_MB2_PD5_vs_reuenthal_v1,task3_FR7_MB2_PD5_vs_reuenthal_v3a,26.0,-1.0,0.0,-1.0,14.0,13.0,-2.0,0.0,11.0,-0.07667314859828234,-18.24987846378221,26.0
FR7_MB5_PD5,7,5,5,bittenfeld,task3_FR7_MB5_PD5_vs_bittenfeld_v1,task3_FR7_MB5_PD5_vs_bittenfeld_v3a,-91.0,-2.0,-2.0,157.0,-5.0,N/A,-2.0,7.0,3.0,0.09498752926804432,-8.315305914690015,157.0
FR7_MB5_PD5,7,5,5,kircheis,task3_FR7_MB5_PD5_vs_kircheis_v1,task3_FR7_MB5_PD5_vs_kircheis_v3a,-8.0,-2.0,-2.0,-2.0,25.0,N/A,-18.0,20.0,-2.0,0.3116732831697202,-23.367052583204604,25.0
FR7_MB5_PD5,7,5,5,mittermeyer,task3_FR7_MB5_PD5_vs_mittermeyer_v1,task3_FR7_MB5_PD5_vs_mittermeyer_v3a,48.0,-2.0,-2.0,-2.0,-10.0,53.0,-17.0,10.0,22.0,0.1473165207954894,-21.06253980985633,48.0
FR7_MB5_PD5,7,5,5,muller,task3_FR7_MB5_PD5_vs_muller_v1,task3_FR7_MB5_PD5_vs_muller_v3a,37.0,-1.0,-2.0,207.0,-11.0,68.0,8.0,-16.0,-57.0,-0.7882882882882882,-32.65765765765765,207.0
FR7_MB5_PD5,7,5,5,reinhard,task3_FR7_MB5_PD5_vs_reinhard_v1,task3_FR7_MB5_PD5_vs_reinhard_v3a,-16.0,-2.0,-2.0,-2.0,40.0,111.0,13.0,-10.0,-67.0,0.02463058592090861,-23.516419645451904,67.0
FR7_MB5_PD5,7,5,5,reuenthal,task3_FR7_MB5_PD5_vs_reuenthal_v1,task3_FR7_MB5_PD5_vs_reuenthal_v3a,1.0,-1.0,-1.0,290.0,-24.0,28.0,-17.0,14.0,-37.0,-0.19413103624197947,-26.028687479151543,290.0
FR7_MB8_PD5,7,8,5,bittenfeld,task3_FR7_MB8_PD5_vs_bittenfeld_v1,task3_FR7_MB8_PD5_vs_bittenfeld_v3a,33.0,-2.0,-2.0,181.0,6.0,-5.0,14.0,-20.0,20.0,0.06815353987806394,-20.690245116336946,181.0
FR7_MB8_PD5,7,8,5,kircheis,task3_FR7_MB8_PD5_vs_kircheis_v1,task3_FR7_MB8_PD5_vs_kircheis_v3a,-118.0,-2.0,-2.0,-2.0,9.0,N/A,0.0,11.0,24.0,0.43069314740030284,-20.79599949520444,118.0
