run_id,scenario_id,cell_FR,cell_MB,cell_PD,opponent_archetype_id,opponent_archetype_name,opponent_archetype_index,injected_test_persona_vector,injected_opponent_vector,movement_model,test_mode,runtime_decision_source_effective,winner,end_tick,remaining_units_A,remaining_units_B,first_contact_tick,first_kill_tick,tactical_cut_tick_T,tactical_pocket_tick_T,pocket_no_cut,strategic_inflection_tick,collapse_shadow_tick,max_outlier_persistence_global,mean_outlier_total_per_tick,pct_ticks_outlier_total_gt0,first_tick_persistent_outlier,determinism_digest
task3_FR7_MB2_PD5_vs_reinhard_v1,FR7_MB2_PD5,7,2,5,reinhard,reinhard,1,"{""force_concentration_ratio"":7.0,""formation_rigidity"":5.0,""mobility_bias"":2.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":5.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}","{""force_concentration_ratio"":9.0,""formation_rigidity"":5.0,""mobility_bias"":5.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":7.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}",v1,1,v2,B,512,0,8,107,115,381,185,False,243,176,179,1.134765625,55.6640625,108,b228ffca5837c7acbeff404de0e55820b85a25f3360a2c6b7e1b1d87c1222490
task3_FR7_MB2_PD5_vs_kircheis_v1,FR7_MB2_PD5,7,2,5,kircheis,kircheis,2,"{""force_concentration_ratio"":7.0,""formation_rigidity"":5.0,""mobility_bias"":2.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":5.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}","{""force_concentration_ratio"":5.0,""formation_rigidity"":5.0,""mobility_bias"":7.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":5.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}",v1,1,v2,A,440,17,0,107,115,126,138,False,108,321,48,1.1772727272727272,58.63636363636363,98,4a9aa31f9ffa470d6d919a52092ef895acaa7a0095f3e4b172885532710e2925
task3_FR7_MB2_PD5_vs_reuenthal_v1,FR7_MB2_PD5,7,2,5,reuenthal,reuenthal,3,"{""force_concentration_ratio"":7.0,""formation_rigidity"":5.0,""mobility_bias"":2.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":5.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}","{""force_concentration_ratio"":6.0,""formation_rigidity"":5.0,""mobility_bias"":5.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":4.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}",v1,1,v2,A,484,9,0,106,114,125,181,False,107,438,50,1.1962809917355373,54.13223140495868,84,9e8beab50abfdbab5657e31cd4914484dc8b65802bd7704b29c4dc7800a6d8c5
task3_FR7_MB2_PD5_vs_mittermeyer_v1,FR7_MB2_PD5,7,2,5,mittermeyer,mittermeyer,4,"{""force_concentration_ratio"":7.0,""formation_rigidity"":5.0,""mobility_bias"":2.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":5.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}","{""force_concentration_ratio"":4.0,""formation_rigidity"":5.0,""mobility_bias"":9.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":7.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}",v1,1,v2,A,460,20,0,107,115,126,185,False,N/A,339,111,1.434782608695652,73.69565217391305,84,2042a634ce49dd3f76c8dc0c0f5f41b0bc85130d706ae49cfb1680d8300eb0b3
task3_FR7_MB2_PD5_vs_bittenfeld_v1,FR7_MB2_PD5,7,2,5,bittenfeld,bittenfeld,5,"{""force_concentration_ratio"":7.0,""formation_rigidity"":5.0,""mobility_bias"":2.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":5.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}","{""force_concentration_ratio"":8.0,""formation_rigidity"":5.0,""mobility_bias"":4.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":9.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}",v1,1,v2,A,512,7,0,107,115,126,170,False,218,106,49,0.9453125,44.53125,168,e0c75f226146e5d9936871d614ed1ffed4b70d17e21fc16d4afcc04e455de188
task3_FR7_MB2_PD5_vs_muller_v1,FR7_MB2_PD5,7,2,5,muller,muller,6,"{""force_concentration_ratio"":7.0,""formation_rigidity"":5.0,""mobility_bias"":2.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":5.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}","{""force_concentration_ratio"":3.0,""formation_rigidity"":5.0,""mobility_bias"":3.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":4.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}",v1,1,v2,A,421,23,0,106,115,125,174,False,111,81,62,1.5938242280285035,65.7957244655582,92,2d1cce3b91b8e06bd204c670596a93d495dceec156c3448be8b316a76bf76e2d
task3_FR7_MB2_PD5_vs_reinhard_v3a,FR7_MB2_PD5,7,2,5,reinhard,reinhard,1,"{""force_concentration_ratio"":7.0,""formation_rigidity"":5.0,""mobility_bias"":2.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":5.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}","{""force_concentration_ratio"":9.0,""formation_rigidity"":5.0,""mobility_bias"":5.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":7.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}",v3a,2,v3_test,A,431,21,0,105,114,407,206,False,165,332,54,1.1809744779582367,35.266821345707655,83,afbd0819841c44e78604d86f9156312ef05d20112a3ed405dce3ed69a966419c
task3_FR7_MB2_PD5_vs_kircheis_v3a,FR7_MB2_PD5,7,2,5,kircheis,kircheis,2,"{""force_concentration_ratio"":7.0,""formation_rigidity"":5.0,""mobility_bias"":2.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":5.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}","{""force_concentration_ratio"":5.0,""formation_rigidity"":5.0,""mobility_bias"":7.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":5.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}",v3a,2,v3_test,A,447,15,0,105,115,220,196,False,107,218,65,1.4921700223713648,32.214765100671144,72,8d9599ae1cc6b0b9afd52c00b8d961615396b60fa182f3bbf0e62b6ab00e14da
task3_FR7_MB2_PD5_vs_reuenthal_v3a,FR7_MB2_PD5,7,2,5,reuenthal,reuenthal,3,"{""force_concentration_ratio"":7.0,""formation_rigidity"":5.0,""mobility_bias"":2.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":5.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}","{""force_concentration_ratio"":6.0,""formation_rigidity"":5.0,""mobility_bias"":5.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":4.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}",v3a,2,v3_test,A,510,7,0,105,114,124,195,False,120,374,61,1.119607843137255,35.88235294117647,77,e238729a86a56797546e6af39f2b4e61bb431c407cb960ac4968e6e0434359ce
task3_FR7_MB2_PD5_vs_mittermeyer_v3a,FR7_MB2_PD5,7,2,5,mittermeyer,mittermeyer,4,"{""force_concentration_ratio"":7.0,""formation_rigidity"":5.0,""mobility_bias"":2.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":5.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}","{""force_concentration_ratio"":4.0,""formation_rigidity"":5.0,""mobility_bias"":9.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":7.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}",v3a,2,v3_test,A,391,28,0,105,113,124,200,False,N/A,288,72,1.6879795396419437,36.828644501278774,73,8ab67246331fbcd64b652b79ef1710666180bcabe7e62f6a8f42e6c5d859b891
task3_FR7_MB2_PD5_vs_bittenfeld_v3a,FR7_MB2_PD5,7,2,5,bittenfeld,bittenfeld,5,"{""force_concentration_ratio"":7.0,""formation_rigidity"":5.0,""mobility_bias"":2.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":5.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}","{""force_concentration_ratio"":8.0,""formation_rigidity"":5.0,""mobility_bias"":4.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":9.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}",v3a,2,v3_test,B,425,0,19,105,114,405,189,False,133,291,51,1.0047058823529411,29.176470588235293,90,c1cb7fde5418c0d6c21ef4b7fcc8ec2e758d29c307b8fa9400961dc4d12c81b5
task3_FR7_MB2_PD5_vs_muller_v3a,FR7_MB2_PD5,7,2,5,muller,muller,6,"{""force_concentration_ratio"":7.0,""formation_rigidity"":5.0,""mobility_bias"":2.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":5.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}","{""force_concentration_ratio"":3.0,""formation_rigidity"":5.0,""mobility_bias"":3.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":4.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}",v3a,2,v3_test,B,407,0,22,105,113,280,225,False,172,163,58,1.3611793611793612,34.88943488943489,78,74669d6d200a9926cc3c173afafe49869e0a9641a04164fa7b5249404caeecd6
task3_FR7_MB5_PD5_vs_reinhard_v1,FR7_MB5_PD5,7,5,5,reinhard,reinhard,1,"{""force_concentration_ratio"":7.0,""formation_rigidity"":5.0,""mobility_bias"":5.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":5.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}","{""force_concentration_ratio"":9.0,""formation_rigidity"":5.0,""mobility_bias"":5.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":7.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}",v1,1,v2,B,481,0,10,107,116,126,146,False,121,371,137,1.4033264033264032,54.054054054054056,102,0a5612e18730e963608bcbdcdd969f76723525e04a9b52abc14d3cc52f108d3e
