cell_FR,cell_MB,cell_PD,opponent_id,run_id_v1,run_id_v3a,delta_end_tick_v3a_minus_v1,delta_first_contact_tick_v3a_minus_v1,delta_first_kill_tick_v3a_minus_v1,delta_tactical_cut_tick_T_v3a_minus_v1,delta_tactical_pocket_tick_T_v3a_minus_v1,delta_remaining_units_A_v3a_minus_v1,delta_remaining_units_B_v3a_minus_v1,exemplar_score
2,2,5,bittenfeld,doe_b3_FR2_MB2_PD5_vs_bittenfeld_v1,doe_b3_FR2_MB2_PD5_vs_bittenfeld_v3a,5.0,0.0,-1.0,3.0,-35.0,-11.0,0.0,35.0
2,2,5,kircheis,doe_b3_FR2_MB2_PD5_vs_kircheis_v1,doe_b3_FR2_MB2_PD5_vs_kircheis_v3a,118.0,-1.0,-1.0,-2.0,-96.0,-35.0,0.0,118.0
2,2,5,mittermeyer,doe_b3_FR2_MB2_PD5_vs_mittermeyer_v1,doe_b3_FR2_MB2_PD5_vs_mittermeyer_v3a,26.0,-2.0,-1.0,8.0,-1.0,-8.0,0.0,26.0
2,2,5,muller,doe_b3_FR2_MB2_PD5_vs_muller_v1,doe_b3_FR2_MB2_PD5_vs_muller_v3a,-80.0,-1.0,-1.0,5.0,-10.0,-21.0,26.0,80.0
2,2,5,reinhard,doe_b3_FR2_MB2_PD5_vs_reinhard_v1,doe_b3_FR2_MB2_PD5_vs_reinhard_v3a,1.0,0.0,0.0,2.0,-6.0,-11.0,0.0,6.0
2,2,5,reuenthal,doe_b3_FR2_MB2_PD5_vs_reuenthal_v1,doe_b3_FR2_MB2_PD5_vs_reuenthal_v3a,8.0,-1.0,-1.0,-10.0,-1.0,4.0,0.0,10.0
2,5,5,bittenfeld,doe_b3_FR2_MB5_PD5_vs_bittenfeld_v1,doe_b3_FR2_MB5_PD5_vs_bittenfeld_v3a,35.0,0.0,-1.0,-6.0,1.0,-22.0,0.0,35.0
2,5,5,kircheis,doe_b3_FR2_MB5_PD5_vs_kircheis_v1,doe_b3_FR2_MB5_PD5_vs_kircheis_v3a,249.0,-1.0,-1.0,2.0,-92.0,-33.0,0.0,249.0
2,5,5,mittermeyer,doe_b3_FR2_MB5_PD5_vs_mittermeyer_v1,doe_b3_FR2_MB5_PD5_vs_mittermeyer_v3a,2.0,-1.0,-1.0,-4.0,89.0,-3.0,0.0,89.0
2,5,5,muller,doe_b3_FR2_MB5_PD5_vs_muller_v1,doe_b3_FR2_MB5_PD5_vs_muller_v3a,-48.0,-1.0,-1.0,3.0,26.0,0.0,-2.0,48.0
2,5,5,reinhard,doe_b3_FR2_MB5_PD5_vs_reinhard_v1,doe_b3_FR2_MB5_PD5_vs_reinhard_v3a,1.0,-1.0,-1.0,3.0,39.0,-24.0,17.0,39.0
2,5,5,reuenthal,doe_b3_FR2_MB5_PD5_vs_reuenthal_v1,doe_b3_FR2_MB5_PD5_vs_reuenthal_v3a,-34.0,-1.0,-2.0,-41.0,-19.0,5.0,0.0,41.0
2,8,5,bittenfeld,doe_b3_FR2_MB8_PD5_vs_bittenfeld_v1,doe_b3_FR2_MB8_PD5_vs_bittenfeld_v3a,96.0,-1.0,-1.0,14.0,36.0,-32.0,6.0,96.0
2,8,5,kircheis,doe_b3_FR2_MB8_PD5_vs_kircheis_v1,doe_b3_FR2_MB8_PD5_vs_kircheis_v3a,-23.0,-2.0,-3.0,7.0,-42.0,-20.0,16.0,42.0
2,8,5,mittermeyer,doe_b3_FR2_MB8_PD5_vs_mittermeyer_v1,doe_b3_FR2_MB8_PD5_vs_mittermeyer_v3a,-28.0,-2.0,-1.0,-11.0,-46.0,-1.0,0.0,46.0
2,8,5,muller,doe_b3_FR2_MB8_PD5_vs_muller_v1,doe_b3_FR2_MB8_PD5_vs_muller_v3a,-126.0,-1.0,0.0,17.0,-31.0,-11.0,23.0,126.0
