run_id,cell_FR,cell_MB,cell_PD,test_persona_FCR_fixed,opponent_FCR_effective,opponent_id,opponent_name,opponent_index,movement_model,test_mode,runtime_decision_source_effective,injected_test_vector,injected_opponent_vector,preflight_assert_1_cellFR_eq_injectedFR,preflight_assert_2_cellMB_eq_injectedMB,preflight_assert_3_testFCR_eq5,preflight_assert_4_schema_ok,winner,end_tick,remaining_units_A,remaining_units_B,first_contact_tick,first_kill_tick,tactical_cut_tick_T,tactical_pocket_tick_T,strategic_inflection_tick,collapse_shadow_tick,determinism_digest
doe_b3_FR2_MB2_PD5_vs_reinhard_v1,2,2,5,5,5,reinhard,reinhard,1,v1,1,v2,"{""force_concentration_ratio"":5.0,""formation_rigidity"":2.0,""mobility_bias"":2.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":5.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}","{""force_concentration_ratio"":5.0,""formation_rigidity"":6.0,""mobility_bias"":5.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":7.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}",True,True,True,True,A,436,37,0,109,117,132,205,111,52,ce4eb8d40e724d91ab8e010f0471059429ed8e94e18bd4d0fba7ca526df16ffa
doe_b3_FR2_MB2_PD5_vs_reinhard_v3a,2,2,5,5,5,reinhard,reinhard,1,v3a,2,v3_test,"{""force_concentration_ratio"":5.0,""formation_rigidity"":2.0,""mobility_bias"":2.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":5.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}","{""force_concentration_ratio"":5.0,""formation_rigidity"":6.0,""mobility_bias"":5.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":7.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}",True,True,True,True,A,437,26,0,109,117,134,199,N/A,61,c399252a7f5dc58b8f6c07cda3eb4624eeef84fc5ec604a1214e4b4070a24ab2
doe_b3_FR2_MB2_PD5_vs_kircheis_v1,2,2,5,5,5,kircheis,kircheis,2,v1,1,v2,"{""force_concentration_ratio"":5.0,""formation_rigidity"":2.0,""mobility_bias"":2.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":5.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}","{""force_concentration_ratio"":5.0,""formation_rigidity"":7.0,""mobility_bias"":7.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":5.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}",True,True,True,True,A,431,41,0,109,118,140,233,110,77,048b7e7297be4ec5c9353d08e0dfe4c5b5622c7255ab091fb53b944073ea3b12
doe_b3_FR2_MB2_PD5_vs_kircheis_v3a,2,2,5,5,5,kircheis,kircheis,2,v3a,2,v3_test,"{""force_concentration_ratio"":5.0,""formation_rigidity"":2.0,""mobility_bias"":2.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":5.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}","{""force_concentration_ratio"":5.0,""formation_rigidity"":7.0,""mobility_bias"":7.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":5.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}",True,True,True,True,A,549,6,0,108,117,138,137,109,64,2459714a18838bfacec0dda905b383a1b373292abe6024ea2b2afbb115894d81
doe_b3_FR2_MB2_PD5_vs_reuenthal_v1,2,2,5,5,5,reuenthal,reuenthal,3,v1,1,v2,"{""force_concentration_ratio"":5.0,""formation_rigidity"":2.0,""mobility_bias"":2.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":5.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}","{""force_concentration_ratio"":5.0,""formation_rigidity"":2.0,""mobility_bias"":5.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":4.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}",True,True,True,True,A,418,18,0,113,121,185,138,116,61,52ef57b6e5b670458ebdf9a069e37aa06154ee1d8b385dd11f457b6a06a97643
doe_b3_FR2_MB2_PD5_vs_reuenthal_v3a,2,2,5,5,5,reuenthal,reuenthal,3,v3a,2,v3_test,"{""force_concentration_ratio"":5.0,""formation_rigidity"":2.0,""mobility_bias"":2.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":5.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}","{""force_concentration_ratio"":5.0,""formation_rigidity"":2.0,""mobility_bias"":5.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":4.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}",True,True,True,True,A,426,22,0,112,120,175,137,N/A,59,2101bd4a68ee4c9f608e4779914bc33e8d658f677269124c32515ca782e14ed0
doe_b3_FR2_MB2_PD5_vs_mittermeyer_v1,2,2,5,5,5,mittermeyer,mittermeyer,4,v1,1,v2,"{""force_concentration_ratio"":5.0,""formation_rigidity"":2.0,""mobility_bias"":2.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":5.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}","{""force_concentration_ratio"":5.0,""formation_rigidity"":4.0,""mobility_bias"":9.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":7.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}",True,True,True,True,A,404,37,0,112,119,131,137,N/A,56,44b86546bf7b016b8231a8b6990da35a555f06a4f6d925e0f6c8f3e3a8d6eab9
doe_b3_FR2_MB2_PD5_vs_mittermeyer_v3a,2,2,5,5,5,mittermeyer,mittermeyer,4,v3a,2,v3_test,"{""force_concentration_ratio"":5.0,""formation_rigidity"":2.0,""mobility_bias"":2.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":5.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}","{""force_concentration_ratio"":5.0,""formation_rigidity"":4.0,""mobility_bias"":9.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":7.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}",True,True,True,True,A,430,29,0,110,118,139,136,N/A,60,bb82b6e508f764ac64ae8f723a653510d49bd8a934d40d4f4c9d8c2dac539f2f
doe_b3_FR2_MB2_PD5_vs_bittenfeld_v1,2,2,5,5,5,bittenfeld,bittenfeld,5,v1,1,v2,"{""force_concentration_ratio"":5.0,""formation_rigidity"":2.0,""mobility_bias"":2.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":5.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}","{""force_concentration_ratio"":5.0,""formation_rigidity"":7.0,""mobility_bias"":4.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":9.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}",True,True,True,True,A,433,37,0,109,117,139,197,N/A,48,c3d53012222e060a9987ea2d96bfefb5e5a2657d5b98138fa758e74c2261dad2
doe_b3_FR2_MB2_PD5_vs_bittenfeld_v3a,2,2,5,5,5,bittenfeld,bittenfeld,5,v3a,2,v3_test,"{""force_concentration_ratio"":5.0,""formation_rigidity"":2.0,""mobility_bias"":2.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":5.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}","{""force_concentration_ratio"":5.0,""formation_rigidity"":7.0,""mobility_bias"":4.0,""offense_defense_weight"":5.0,""perception_radius"":5.0,""pursuit_drive"":9.0,""retreat_threshold"":5.0,""risk_appetite"":5.0,""targeting_logic"":5.0,""time_preference"":5.0}",True,True,True,True,A,438,26,0,109,116,142,162,N/A,80,15b1a8e2499679de4e157224f36d7f25375e1b84e95104891f794340d4b1c246
