run_id,movement_model,cell_FR,cell_MB,opponent_name,distance_p95_A_mean,distance_p95_A_p90,low_neighbor_ratio_A_mean,lcc_ratio_A_p10
doe_b3_FR8_MB2_PD5_vs_reinhard_v1,v1,8,2,reinhard,8.536695679329052,14.956368491655779,0.084012432537176,1.0
doe_b3_FR8_MB2_PD5_vs_reinhard_v3a,v3a,8,2,reinhard,8.030480973513248,15.648599171681047,0.058823529411764705,1.0
doe_b3_FR8_MB2_PD5_vs_kircheis_v1,v1,8,2,kircheis,9.445878312504638,15.126541966714933,0.007901998378204536,0.992
doe_b3_FR8_MB2_PD5_vs_kircheis_v3a,v3a,8,2,kircheis,10.150882058754124,16.55020969832112,0.0002913752913752914,1.0
doe_b3_FR8_MB2_PD5_vs_reuenthal_v1,v1,8,2,reuenthal,9.200572157616824,14.32955842639201,0.03858116851447709,0.9644088669950739
doe_b3_FR8_MB2_PD5_vs_reuenthal_v3a,v3a,8,2,reuenthal,8.64346354506891,14.426000760385477,0.0,1.0
doe_b3_FR8_MB2_PD5_vs_mittermeyer_v1,v1,8,2,mittermeyer,8.083889216202612,14.044265299558756,0.09311807174926813,1.0
doe_b3_FR8_MB2_PD5_vs_mittermeyer_v3a,v3a,8,2,mittermeyer,9.98464955801272,16.388607585513245,0.0,1.0
doe_b3_FR8_MB2_PD5_vs_bittenfeld_v1,v1,8,2,bittenfeld,8.927295601633384,14.893898205969425,0.04474474474474475,1.0
doe_b3_FR8_MB2_PD5_vs_bittenfeld_v3a,v3a,8,2,bittenfeld,9.111007041130947,16.126215775714034,0.024318181818181822,1.0
doe_b3_FR8_MB2_PD5_vs_muller_v1,v1,8,2,muller,9.777095389416845,14.706844195716538,0.004799560178946982,0.9864718614718615
doe_b3_FR8_MB2_PD5_vs_muller_v3a,v3a,8,2,muller,7.012949972833845,15.006969227177713,0.11133786848072562,1.0
doe_b3_FR8_MB5_PD5_vs_reinhard_v1,v1,8,5,reinhard,10.953971061409721,16.021942753180557,0.0039458466832747565,0.9856277056277057
doe_b3_FR8_MB5_PD5_vs_reinhard_v3a,v3a,8,5,reinhard,8.418939851504087,17.177452533202498,0.0011219724093999724,1.0
doe_b3_FR8_MB5_PD5_vs_kircheis_v1,v1,8,5,kircheis,8.900810874481055,14.912692734388308,0.05171209992587989,1.0
doe_b3_FR8_MB5_PD5_vs_kircheis_v3a,v3a,8,5,kircheis,7.021845770473844,15.960049236210205,0.11380085915744843,1.0
doe_b3_FR8_MB5_PD5_vs_reuenthal_v1,v1,8,5,reuenthal,9.296980420151135,14.267483798238791,0.022721661054994388,1.0
doe_b3_FR8_MB5_PD5_vs_reuenthal_v3a,v3a,8,5,reuenthal,8.734338923423575,14.869263059425833,0.0003223726627981947,1.0
doe_b3_FR8_MB5_PD5_vs_mittermeyer_v1,v1,8,5,mittermeyer,8.553421269531507,14.909234016110574,0.0451042649614389,1.0
doe_b3_FR8_MB5_PD5_vs_mittermeyer_v3a,v3a,8,5,mittermeyer,10.258845451074036,17.33477591285492,0.0008262108262108262,1.0
doe_b3_FR8_MB5_PD5_vs_bittenfeld_v1,v1,8,5,bittenfeld,9.951965308768441,16.430175290335676,0.030848733568663394,1.0
doe_b3_FR8_MB5_PD5_vs_bittenfeld_v3a,v3a,8,5,bittenfeld,8.689994232729504,17.36466370812237,0.021312260536398467,1.0
doe_b3_FR8_MB5_PD5_vs_muller_v1,v1,8,5,muller,8.420724095660141,14.821563373289049,0.029969540059192255,0.9805183946488294
doe_b3_FR8_MB5_PD5_vs_muller_v3a,v3a,8,5,muller,8.543856046272255,17.327181766292163,0.04323651754331233,1.0
doe_b3_FR8_MB8_PD5_vs_reinhard_v1,v1,8,8,reinhard,9.089264014051354,16.16372193650989,0.04615034206976172,1.0
doe_b3_FR8_MB8_PD5_vs_reinhard_v3a,v3a,8,8,reinhard,8.675760998124902,18.098937452679426,0.04543190928713593,1.0
doe_b3_FR8_MB8_PD5_vs_kircheis_v1,v1,8,8,kircheis,9.656216012023478,16.066622610643144,0.03461437433385032,1.0
doe_b3_FR8_MB8_PD5_vs_kircheis_v3a,v3a,8,8,kircheis,8.62784419356537,18.88525521627823,0.06268378319069563,1.0
doe_b3_FR8_MB8_PD5_vs_reuenthal_v1,v1,8,8,reuenthal,9.604190485315002,14.818443550031285,0.025502723209533385,1.0
doe_b3_FR8_MB8_PD5_vs_reuenthal_v3a,v3a,8,8,reuenthal,9.331109321339163,15.943554435960058,0.0,1.0
doe_b3_FR8_MB8_PD5_vs_mittermeyer_v1,v1,8,8,mittermeyer,9.59319431843139,15.597433229236877,0.02695281955357191,1.0
doe_b3_FR8_MB8_PD5_vs_mittermeyer_v3a,v3a,8,8,mittermeyer,9.775096962719628,18.686171572946584,0.0021857425140598876,1.0
doe_b3_FR8_MB8_PD5_vs_bittenfeld_v1,v1,8,8,bittenfeld,8.758313351280043,14.628770979863482,0.060196744835920094,1.0
doe_b3_FR8_MB8_PD5_vs_bittenfeld_v3a,v3a,8,8,bittenfeld,9.251698207683848,18.670357174789352,0.02433281004709576,1.0
doe_b3_FR8_MB8_PD5_vs_muller_v1,v1,8,8,muller,9.442258706575105,15.43818097000581,0.052387886469711584,1.0
doe_b3_FR8_MB8_PD5_vs_muller_v3a,v3a,8,8,muller,9.28508890053019,19.462196551215087,0.04890506916285324,1.0
