movement_model,cell_FR,cell_MB,cell_PD,n_runs,win_rate_A,first_contact_tick_mean,tactical_cut_tick_T_mean,tactical_pocket_tick_T_mean,ar_p90_A_mean,wedge_p50_A_mean,split_p90_A_mean,angle_coverage_p90_A_mean
v1,2,2,5,6,1.0,110.16666666666667,143.33333333333334,177.66666666666666,2.824905853901317,1.11330294466335,1.8470876127664422,0.8638888888888888
v1,2,5,5,6,0.8333333333333334,110.16666666666667,161.33333333333334,156.16666666666666,2.4862113116499582,1.0936934517985049,1.833052004715859,0.8444444444444446
v1,2,8,5,6,0.6666666666666666,110.66666666666667,141.66666666666666,170.33333333333334,1.9152198409336094,1.0587557456297068,1.8422463316675037,0.8055555555555557
v1,5,2,5,6,0.8333333333333334,106.33333333333333,165.16666666666666,170.0,2.0795324508007185,0.9754291736766155,1.8810197297115216,0.7458333333333332
v1,5,5,5,6,0.5,106.66666666666667,127.83333333333333,167.0,1.8280382473184364,0.9464378327314683,1.8808313142485549,0.8013888888888889
v1,5,8,5,6,0.3333333333333333,107.0,127.33333333333333,179.33333333333334,1.860770230457274,0.9741688966637931,1.8687595662075969,0.8055555555555555
v1,8,2,5,6,0.3333333333333333,105.0,171.5,172.0,2.2480920192144502,0.8581237694534197,2.1919077723532583,0.8958333333333334
v1,8,5,5,6,0.16666666666666666,104.83333333333333,161.83333333333334,171.83333333333334,2.1914712444880773,0.8889798177682643,1.876163179404859,0.8194444444444443
v1,8,8,5,6,0.0,104.5,177.33333333333334,186.83333333333334,2.108809182663348,0.9111667875883792,1.8465082847339431,0.8194444444444445
v3a,2,2,5,6,0.8333333333333334,109.33333333333333,144.33333333333334,152.83333333333334,2.026893848905622,1.0824056815088963,1.8567389081427434,0.8472222222222222
v3a,2,5,5,6,0.6666666666666666,109.33333333333333,154.16666666666666,163.5,2.1581083498213665,1.0819322664448572,1.8514455688619857,0.813888888888889
v3a,2,8,5,6,0.3333333333333333,109.33333333333333,163.33333333333334,163.83333333333334,1.9044142237130208,1.0408088117440037,1.855622132151456,0.8472222222222222
v3a,5,2,5,6,0.3333333333333333,105.16666666666667,209.66666666666666,184.0,2.0646904073129098,0.9175548365679193,1.811444796689364,0.8374999999999999
v3a,5,5,5,6,0.16666666666666666,105.33333333333333,177.33333333333334,195.33333333333334,2.06519474181518,0.9401935875243165,1.8388864804976912,0.8333333333333334
v3a,5,8,5,6,0.8333333333333334,105.5,235.0,188.0,1.884089778926879,0.9489619228461622,1.8157982874429022,0.8180555555555555
v3a,8,2,5,6,0.5,104.0,123.0,181.66666666666666,2.5909830105966574,0.9024319346722299,1.8194673831982195,0.8791666666666665
v3a,8,5,5,6,0.5,103.66666666666667,125.0,186.16666666666666,2.4977086495990117,0.9453421821979155,1.8997645624211639,0.9097222222222222
v3a,8,8,5,6,0.3333333333333333,103.5,124.5,171.5,2.4407115337594676,0.8928693101866156,2.190883780954198,0.9277777777777777
