cell_FR,cell_MB,cell_PD,opponent_archetype_name,delta_end_tick_v3b1_minus_v3a,delta_win_A_v3b1_minus_v3a,delta_ar_p90_A_v3b1_minus_v3a,delta_ar_p99_A_v3b1_minus_v3a,delta_wedge_p50_A_v3b1_minus_v3a,delta_cut_tick_T_v3b1_minus_v3a
8,2,5,bittenfeld,-31.0,0,0.20769082201639177,-858687399.8544955,0.06115802265163617,-118.0
8,2,5,kircheis,0.0,0,0.0503663313735947,0.26322808853535085,-0.01817656146687696,180.0
8,2,5,mittermeyer,-16.0,0,0.03528420486293449,0.30075639100916707,-0.10579402962494378,38.0
8,2,5,muller,-80.0,1,-0.07014622467171217,-1079291859.6997766,-0.1406360132458122,62.0
8,2,5,reinhard,-9.0,0,0.06657383328862831,0.26651754154948204,-0.016350464371870377,192.0
8,2,5,reuenthal,-63.0,0,0.03384219345058748,-1.953666905597752,0.0950604102067304,0.0
8,5,5,bittenfeld,-52.0,0,0.17665684617596966,-918470501.5209379,0.02431241031194098,140.0
8,5,5,kircheis,-112.0,0,-0.17646058030132217,-6.124228483826194,0.061449840477045714,-13.0
8,5,5,mittermeyer,-3.0,-1,0.22136513924098122,958695615.84918,0.01986782077394622,44.0
8,5,5,muller,-55.0,-1,0.315299288830968,322578041.5526532,0.054193780466547214,175.0
8,5,5,reinhard,17.0,-1,0.12983898223395496,892070551.899293,0.0018286575744540512,293.0
8,5,5,reuenthal,80.0,0,0.050121341132886243,-0.06302399292166028,-0.029099697113579515,-3.0
8,8,5,bittenfeld,4.0,-1,0.09886276881373357,849211748.9113154,0.039149253793362315,156.0
8,8,5,kircheis,-41.0,0,-0.018089118361213963,-888783556.7905444,-0.1014039966444974,-51.0
8,8,5,mittermeyer,-30.0,1,-0.004253184668588261,0.07441637733378847,0.025974420023081035,188.0
8,8,5,muller,-54.0,0,0.0999786248471577,-467512326.6552141,-0.11224613838197817,-215.0
8,8,5,reinhard,18.0,0,-0.006224466008373231,0.014247018239266662,-0.07446409421775302,89.0
8,8,5,reuenthal,-25.0,1,-0.3046561881835306,-1062831512.1331787,-0.0349255373270827,1.0
