run_id,cell_FR,cell_MB,cell_PD,movement_model,runtime_decision_source_effective,opponent_archetype_name,opponent_archetype_index,injected_test_persona_vector,injected_opponent_vector,winner,end_tick,remaining_units_A,remaining_units_B,first_contact_tick,first_kill_tick,tactical_cut_tick_T,tactical_pocket_tick_T,ar_p90_A,ar_p99_A,wedge_p50_A,split_p90_A,determinism_digest
doe_3b1_FR8_MB2_PD5_vs_reinhard_v3a,8,2,5,v3a,v2,reinhard,1,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 6.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,464,16,0,105,113,124,269,2.0285316487920486,2.2980095603519484,0.9753941723933445,1.7619537135934713,1c7ef884806a5221f81b6f90e191b8bee196ddac0ca97e00be0b6b371ae00ebc
doe_3b1_FR8_MB2_PD5_vs_reinhard_v3b1,8,2,5,v3b1,v2,reinhard,1,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 6.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,455,14,0,105,113,316,188,2.095105482080677,2.5645271019014304,0.9590437080214741,1.762562594770046,a220477ff2bbb717fd2a9c8291ac8c53ca580f708c0a3809f25da738b2346067
doe_3b1_FR8_MB2_PD5_vs_kircheis_v3a,8,2,5,v3a,v2,kircheis,2,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 7.0, ""mobility_bias"": 7.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,422,18,0,105,114,124,186,2.092994650935594,2.337375267828031,0.9431128839557581,1.7888478672929773,f21adedc822888ae4061897cb31ed76f78ac5b0a905e4d68c80997eb018127cb
doe_3b1_FR8_MB2_PD5_vs_kircheis_v3b1,8,2,5,v3b1,v2,kircheis,2,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 7.0, ""mobility_bias"": 7.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,422,18,0,104,112,304,169,2.1433609823091886,2.600603356363382,0.9249363224888811,1.779601506514586,81206c481281cda6983281aa4646a1c8eb353589b2c175ddbfe8dc3a48207c95
doe_3b1_FR8_MB2_PD5_vs_reuenthal_v3a,8,2,5,v3a,v2,reuenthal,3,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 4.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,459,15,0,108,117,132,135,2.108925505447964,4.391510444030673,0.8044980853525858,1.7811006007411212,223138284c5dc6c14e05fad543c0e455d7fedc2376ed5bbbbd56080bf426d07f
doe_3b1_FR8_MB2_PD5_vs_reuenthal_v3b1,8,2,5,v3b1,v2,reuenthal,3,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 4.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,396,33,0,109,116,132,135,2.1427676988985516,2.437843538432921,0.8995584955593162,1.758142358815289,f5316ce5245ef4125155c2018404bd4811f8d54f89aaede678708869b9290cec
doe_3b1_FR8_MB2_PD5_vs_mittermeyer_v3a,8,2,5,v3a,v2,mittermeyer,4,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 4.0, ""mobility_bias"": 9.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,435,20,0,107,115,126,211,1.9912963876599785,2.2473981217634726,1.058873372661198,1.826758032041102,9760d590a1da53cdc0c8b493f22e3481a8b49b5d95a950be7edfbc55d8222634
doe_3b1_FR8_MB2_PD5_vs_mittermeyer_v3b1,8,2,5,v3b1,v2,mittermeyer,4,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 4.0, ""mobility_bias"": 9.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,419,28,0,107,115,164,198,2.026580592522913,2.5481545127726397,0.9530793430362543,1.740358212381127,3032121ce6a20805b85e1580ea74b8cffea924deb2c1ba2713724cb0dbd76121
doe_3b1_FR8_MB2_PD5_vs_bittenfeld_v3a,8,2,5,v3a,v2,bittenfeld,5,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 7.0, ""mobility_bias"": 4.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 9.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,463,0,13,105,113,293,201,2.1433252656694814,971328719.8033316,0.9388419773483638,1.9833203754027564,767e9ec25ff4ebab5dc90c972ce36feabff9e2edf6a62c9d295d6f03d0cc2ad2
doe_3b1_FR8_MB2_PD5_vs_bittenfeld_v3b1,8,2,5,v3b1,v2,bittenfeld,5,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 7.0, ""mobility_bias"": 4.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 9.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,432,0,16,105,113,175,159,2.3510160876858732,112641319.94883609,1.0,1.8003939958255364,62b3f5383daf3ffe2ac3b0bc99909d89fa4bd571f583d94cecb20aa1cfbcafb3
