cell_FR,cell_MB,cell_PD,opponent_archetype_name,candidate_variant_id,candidate_probe_scale,delta_precontact_ar_p90_A,delta_precontact_wedge_p10_A,delta_precontact_persistent_outlier_p90,delta_precontact_max_persistence_max,delta_precontact_split_p90_A,delta_first_contact_tick,delta_tactical_cut_tick_T,delta_tactical_pocket_tick_T,abs_delta_first_contact_tick,abs_delta_tactical_cut_tick_T,abs_delta_tactical_pocket_tick_T,delta_precontact_ar_p90_gap_AB,delta_precontact_wedge_p10_gap_AB,delta_precontact_ar_jitter_A,delta_precontact_wedge_jitter_A,delta_precontact_split_jitter_A
8,2,5,bittenfeld,probe_0.40,0.4,-0.027966966752806854,0.4534747678680393,-1.0,-39.0,-0.023985181945389344,5.0,-10.0,-6.0,5.0,10.0,6.0,-0.20842735438422433,0.08214250590114847,-0.012712475495207409,-0.0027791907751969352,-0.00042685423766444927
8,2,5,bittenfeld,probe_0.60,0.6,-0.13508398612163663,0.16693903455291625,-1.0,-39.0,-0.010188601246843065,3.0,-166.0,-6.0,3.0,166.0,6.0,-0.19457367943524528,-0.1617056053523196,-0.008773044372338678,-0.0017202076020287754,-0.0003258002073921987
8,2,5,bittenfeld,probe_0.80,0.8,-0.2160266218471294,0.0631339261773276,-1.0,-39.0,-0.004799619414407985,1.0,-168.0,36.0,1.0,168.0,36.0,-0.18973307363868352,-0.06285539382978633,-0.0031040259230408727,-0.0008168861901413638,-0.00015179398995306993
8,2,5,bittenfeld,probe_1.00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2,5,kircheis,probe_0.40,0.4,-0.021103137530624316,0.47733450476715666,-4.0,-46.0,-0.03354955722171127,5.0,237.0,12.0,5.0,237.0,12.0,-0.024878496546277606,0.11729604792718451,-0.012647842284121536,-0.0036201789989883104,-0.0024157404096779565
8,2,5,kircheis,probe_0.60,0.6,-0.12485598606564619,0.16219860434602063,-4.0,-46.0,-0.022282286026198417,3.0,3.0,-50.0,3.0,3.0,50.0,-0.07159947904371755,-0.16494192917347827,-0.007995875592571498,0.0012715124035387326,-0.0012630712241864794
8,2,5,kircheis,probe_0.80,0.8,-0.20070565617882052,0.07251044155858477,-4.0,-28.0,-0.0192716603659151,1.0,1.0,26.0,1.0,1.0,26.0,-0.0746808809767201,-0.0799605562076191,-0.00300268140260658,-0.002683798851853998,-0.0013400189654382095
8,2,5,kircheis,probe_1.00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2,5,mittermeyer,probe_0.40,0.4,0.12482460553497043,0.4574153189950577,0.0,-18.0,-0.019808189157282552,4.0,61.0,-74.0,4.0,61.0,74.0,0.005376240648696129,0.09596431617880352,-0.010640415295007725,-0.007757380459887072,-0.0012482098522297537
8,2,5,mittermeyer,probe_0.60,0.6,0.029734410994480154,0.1604790852926452,0.0,-18.0,-0.004614744053584197,2.0,2.0,-75.0,2.0,2.0,75.0,0.03770291279652804,-0.16979326138974637,-0.006880675402251842,-0.00464961747103591,-9.026370243223319e-06
8,2,5,mittermeyer,probe_0.80,0.8,-0.04698235078856028,0.08466042040397126,0.0,-18.0,-0.01036040401125038,1.0,34.0,-38.0,1.0,34.0,38.0,0.1152266585775461,-0.12080885134663844,-0.003324004202991466,-0.002213134968755269,-0.00018060870337312197
8,2,5,mittermeyer,probe_1.00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2,5,muller,probe_0.40,0.4,0.010521887711229194,0.4664810667258943,-5.0,-55.0,-0.024774926270289432,4.0,212.0,-53.0,4.0,212.0,53.0,-0.1396774565842418,0.0927786865762209,-0.012450781127974583,-0.008065027160627252,-0.0013499802550529581
8,2,5,muller,probe_0.60,0.6,-0.08674840377959203,0.16729901094564836,-5.0,-55.0,-0.004093328874878344,2.0,2.0,-6.0,2.0,2.0,6.0,-0.1407071408270406,-0.1445269072720945,-0.007406734954907585,-0.0027820636900338057,-0.00019040958894156901
8,2,5,muller,probe_0.80,0.8,-0.16859973972721343,0.017038359811400228,-5.0,-27.0,-0.016090499761345578,0.0,0.0,-17.0,0.0,0.0,17.0,-0.10263537975780124,-0.004067172411446829,-0.002462411117778014,-0.0023655547038422993,-7.610295325602423e-05
8,2,5,muller,probe_1.00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2,5,reinhard,probe_0.40,0.4,-0.018468355261704428,0.48754407876655936,-1.0,-36.0,-0.022097498625455847,5.0,103.0,-133.0,5.0,103.0,133.0,-0.1645021617147826,0.10277224068898738,-0.012371619669312951,-0.0038185333979995108,-0.00020980101262074204
