run_id,movement_model,movement_v3a_experiment,movement_v3a_variant_id,centroid_probe_scale,runtime_decision_source_effective,cell_FR,cell_MB,cell_PD,opponent_archetype_name,opponent_archetype_index,injected_test_vector,injected_opponent_vector,winner,end_tick,remaining_units_A,remaining_units_B,first_contact_tick,first_kill_tick,tactical_cut_tick_T,tactical_pocket_tick_T,precontact_window_last_tick,precontact_ar_p90_A,precontact_ar_p90_B,precontact_wedge_p10_A,precontact_wedge_p10_B,precontact_split_p90_A,precontact_split_p90_B,precontact_persistent_outlier_p90,precontact_max_persistence_max,precontact_ar_p90_gap_AB,precontact_wedge_p10_gap_AB,precontact_split_p90_gap_AB,precontact_ar_jitter_A,precontact_ar_jitter_B,precontact_wedge_jitter_A,precontact_wedge_jitter_B,precontact_split_jitter_A,precontact_split_jitter_B,cut_before_contact,pocket_before_contact,determinism_digest,rep_index,precontact_outlier_total_p90,phase_label
FR8_MB2_PD5_vs_reinhard_base_rep01,v3a,base,base,1.0,v2,8,2,5,reinhard,1,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 6.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,464,16,0,105,113,124,269,100,2.163863231894323,1.9716735150157096,0.6492819890119245,0.8387827994012405,1.7374338003067702,1.7279584563046622,1.0,36.0,0.1921897168786133,0.189500810389316,0.009475344002108033,0.02307007938735405,0.019276672855201026,0.016425196193858134,0.015996986891361514,0.0031415146641354773,0.0031769363932910777,False,False,1c7ef884806a5221f81b6f90e191b8bee196ddac0ca97e00be0b6b371ae00ebc,1,3.0,phase2_causal_sweep
FR8_MB2_PD5_vs_reinhard_probe_1.00_rep01,v3a,exp_precontact_centroid_probe,probe_1.00,1.0,v2,8,2,5,reinhard,1,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 6.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,464,16,0,105,113,124,269,100,2.163863231894323,1.9716735150157096,0.6492819890119245,0.8387827994012405,1.7374338003067702,1.7279584563046622,1.0,36.0,0.1921897168786133,0.189500810389316,0.009475344002108033,0.02307007938735405,0.019276672855201026,0.016425196193858134,0.015996986891361514,0.0031415146641354773,0.0031769363932910777,False,False,1c7ef884806a5221f81b6f90e191b8bee196ddac0ca97e00be0b6b371ae00ebc,1,3.0,phase2_causal_sweep
FR8_MB2_PD5_vs_reinhard_probe_0.80_rep01,v3a,exp_precontact_centroid_probe,probe_0.80,0.8,v2,8,2,5,reinhard,1,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 6.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,555,0,6,107,114,126,162,100,1.9717054407915986,2.0588995608251164,0.7413375842346821,0.8391531703771701,1.7360781902541786,1.7348268463295058,0.0,0.0,0.08719412003351779,0.09781558614248798,0.0012513439246728542,0.01867602780643953,0.015875308161908946,0.013271213519290403,0.021357937475067038,0.002896236856667775,0.0041604994146084715,False,False,93c9dcf6fcf0a88863ca5a4b0f0c5902369e8bf75385459b6ed560f2283cbf6c,1,0.0,phase2_causal_sweep
FR8_MB2_PD5_vs_reinhard_probe_0.60_rep01,v3a,exp_precontact_centroid_probe,probe_0.60,0.6,v2,8,2,5,reinhard,1,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 6.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,405,0,26,108,116,127,172,100,2.0518641233059776,2.0959504296235223,0.8277162919722991,0.8449908974617494,1.7262470824296994,1.7110220261272242,0.0,0.0,0.04408630631754473,0.017274605489450257,0.01522505630247517,0.014920471035936632,0.012836217383193698,0.0131000451314587,0.012751634674331611,0.002911913276064556,0.0036449546735423974,False,False,39fae0feb68e8c85da4b931b3b70288f993afec44e3041b2f99824160eb557c7,1,0.0,phase2_causal_sweep
FR8_MB2_PD5_vs_reinhard_probe_0.40_rep01,v3a,exp_precontact_centroid_probe,probe_0.40,0.4,v2,8,2,5,reinhard,1,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 6.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,603,3,0,110,118,227,136,100,2.1453948766326185,2.173082431796449,1.1368260677784838,0.8445530167001805,1.7153363016813143,1.705707698981206,0.0,0.0,0.0276875551638307,0.29227305107830337,0.009628602700108235,0.010698459718041098,0.009659817103503684,0.012606662795858623,0.011265827461745715,0.0029317136515147352,0.002130651078801807,False,False,cd0b67afb8a63f75db581f071684c5ac6e5554674e7064686329035d8efdc363,1,0.0,phase2_causal_sweep
FR8_MB2_PD5_vs_kircheis_base_rep01,v3a,base,base,1.0,v2,8,2,5,kircheis,2,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 7.0, ""mobility_bias"": 7.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,422,18,0,105,114,124,186,100,2.1671649665639436,2.08674316167069,0.6528611720902717,0.8499815238085313,1.7474271382842423,1.7294974495231576,4.0,46.0,0.08042180489325368,0.1971203517182596,0.017929688761084694,0.023564493304483267,0.02272591991953001,0.019157125346259046,0.02365163453832922,0.004187372181979625,0.004070001443823586,False,False,f21adedc822888ae4061897cb31ed76f78ac5b0a905e4d68c80997eb018127cb,1,5.0,phase2_causal_sweep
FR8_MB2_PD5_vs_kircheis_probe_1.00_rep01,v3a,exp_precontact_centroid_probe,probe_1.00,1.0,v2,8,2,5,kircheis,2,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 7.0, ""mobility_bias"": 7.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,422,18,0,105,114,124,186,100,2.1671649665639436,2.08674316167069,0.6528611720902717,0.8499815238085313,1.7474271382842423,1.7294974495231576,4.0,46.0,0.08042180489325368,0.1971203517182596,0.017929688761084694,0.023564493304483267,0.02272591991953001,0.019157125346259046,0.02365163453832922,0.004187372181979625,0.004070001443823586,False,False,f21adedc822888ae4061897cb31ed76f78ac5b0a905e4d68c80997eb018127cb,1,5.0,phase2_causal_sweep
FR8_MB2_PD5_vs_kircheis_probe_0.80_rep01,v3a,exp_precontact_centroid_probe,probe_0.80,0.8,v2,8,2,5,kircheis,2,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 7.0, ""mobility_bias"": 7.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,603,0,3,106,114,125,212,100,1.9664593103851231,1.9722002343016567,0.7253716136488565,0.842531409159497,1.7281554779183272,1.7353730140173136,0.0,18.0,0.00574092391653358,0.11715979551064049,0.0072175360989863435,0.020561811901876687,0.02083743717770073,0.016473326494405048,0.016546694019972986,0.0028473532165414154,0.0028667881634025804,False,False,7f8dbf499907457e6c4cdc6547b14f028ca013d09619349a945d55cae4a75790,1,3.0,phase2_causal_sweep
FR8_MB2_PD5_vs_kircheis_probe_0.60_rep01,v3a,exp_precontact_centroid_probe,probe_0.60,0.6,v2,8,2,5,kircheis,2,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 7.0, ""mobility_bias"": 7.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,504,9,0,108,116,127,136,100,2.0423089804982975,2.0334866546487613,0.8150597764362923,0.8472381989810737,1.725144852258044,1.725280875019056,0.0,0.0,0.008822325849536128,0.032178422544781315,0.0001360227610121001,0.015568617711911769,0.016374607174770593,0.02042863774979778,0.015917648484410758,0.0029243009577931455,0.0038430649088615275,False,False,1f2d5a2dae304373dc3b05df64b19f75518219dbc512d9d64a65525dddd156f2,1,0.0,phase2_causal_sweep
FR8_MB2_PD5_vs_kircheis_probe_0.40_rep01,v3a,exp_precontact_centroid_probe,probe_0.40,0.4,v2,8,2,5,kircheis,2,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 7.0, ""mobility_bias"": 7.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,462,13,0,110,117,361,198,100,2.1460618290333193,2.0905185206863433,1.1301956768574284,0.8157792772119843,1.713877581062531,1.7024512224372408,0.0,0.0,0.05554330834697607,0.3144163996454441,0.01142635862529029,0.01091665102036173,0.012289005628135763,0.015536946347270736,0.015715337526168688,0.0017716317723016684,0.0027440337224215435,False,False,1ce86317913a421dfae17eb281412ec40f0075443485cb21f9db081de7b3ba00,1,0.0,phase2_causal_sweep
