movement_model,movement_v3a_variant_id,cell_MB,n_runs,win_rate_A,precontact_ar_p90_A_mean,precontact_wedge_p10_A_mean,precontact_split_p90_A_mean,precontact_persistent_outlier_p90_mean,precontact_max_persistence_max_mean,first_contact_tick_mean,tactical_cut_tick_T_mean,tactical_pocket_tick_T_mean,precontact_ar_p90_gap_AB_mean,precontact_wedge_p10_gap_AB_mean,precontact_ar_jitter_A_mean,precontact_wedge_jitter_A_mean,precontact_split_jitter_A_mean
v3a,base,2,6,0.6666666666666666,2.107846416028253,0.6626377511814175,1.7373587755857007,1.8333333333333333,34.5,105.83333333333333,153.83333333333334,203.16666666666666,0.15345514891851372,0.17654933189209263,0.022465021467639724,0.018243378964616978,0.003242717695266595
v3a,base,5,6,0.8333333333333334,2.1533088788864383,0.628954493020105,1.7371697541474023,2.8500000000000014,40.0,105.66666666666667,154.5,180.33333333333334,0.16891548094955244,0.19791441763114934,0.02328489478290552,0.020008838575457846,0.004778533877540648
v3a,base,8,6,0.5,2.146875179415408,0.6109485141740546,1.726420201826488,4.1833333333333345,48.833333333333336,105.83333333333333,219.0,164.16666666666666,0.14974949173547705,0.22009268412192826,0.02349848925752865,0.020273272556553475,0.006041975245719933
v3a,probe_0.40,2,6,0.5,2.147600489595754,1.1239133946241286,1.7143027318996664,0.0,0.0,110.33333333333333,260.0,161.0,0.04231923613719594,0.282495215621631,0.010684778604433036,0.013490281432996751,0.0020310838589496388
v3a,probe_0.40,5,6,0.0,2.1446065395740184,1.0557502726252008,1.7126481954643102,0.0,0.0,110.0,233.66666666666666,160.66666666666666,0.03153748634564953,0.21972419308430213,0.011351133919098075,0.015890482314144787,0.0018998534153241951
v3a,probe_0.40,8,6,0.0,2.13064680901832,1.0174766905976245,1.7127909910106747,0.0,0.0,109.83333333333333,186.83333333333334,142.0,0.03206493380909917,0.17477196844673246,0.012685074292544044,0.01802811720642841,0.0033343752402052555
v3a,probe_0.60,2,6,0.5,2.0507637140213664,0.8205846343590372,1.7258950181402126,0.0,0.0,108.5,127.5,164.33333333333334,0.056916888100888276,0.028638553663786686,0.014743011850720154,0.016252996788029155,0.002834046463876323
v3a,probe_0.60,5,6,0.3333333333333333,2.0313389311650876,0.8132145273142996,1.7203954364720602,0.0,0.0,107.83333333333333,133.5,210.33333333333334,0.0638154580406211,0.028646005440053246,0.01541286264769586,0.018418225778347067,0.002525916558903748
v3a,probe_0.60,8,6,0.16666666666666666,2.0332689274814704,0.7896215596606031,1.7281155569874251,0.0,1.3333333333333333,108.16666666666667,156.16666666666666,155.66666666666666,0.07348655750752313,0.0516430836817788,0.017057939775680566,0.02229362943346166,0.0033220553459266202
v3a,probe_0.80,2,6,0.0,1.9733078125281607,0.7331457805716687,1.7292928820068185,0.0,7.666666666666667,107.0,132.0,197.33333333333334,0.09435597022689242,0.10591763311984242,0.019289746639997774,0.015720218596075478,0.0028345757045688895
v3a,probe_0.80,5,6,0.3333333333333333,1.9765694260725144,0.7493259762403629,1.7299447401977914,0.3333333333333333,17.166666666666668,106.83333333333333,154.16666666666666,150.0,0.11247948581808516,0.09773934359698573,0.0207132092036801,0.01994362905674448,0.0036109728296202324
v3a,probe_0.80,8,6,0.5,1.9881394356913737,0.6710007230525438,1.731420030696906,0.6666666666666666,25.666666666666668,107.16666666666667,156.0,186.5,0.08350616580165245,0.17646395491998323,0.020535256288796697,0.0183706637586008,0.004434761604045827
v3a,probe_1.00,2,6,0.6666666666666666,2.107846416028253,0.6626377511814175,1.7373587755857007,1.8333333333333333,34.5,105.83333333333333,153.83333333333334,203.16666666666666,0.15345514891851372,0.17654933189209263,0.022465021467639724,0.018243378964616978,0.003242717695266595
v3a,probe_1.00,5,6,0.8333333333333334,2.1533088788864383,0.628954493020105,1.7371697541474023,2.8500000000000014,40.0,105.66666666666667,154.5,180.33333333333334,0.16891548094955244,0.19791441763114934,0.02328489478290552,0.020008838575457846,0.004778533877540648
v3a,probe_1.00,8,6,0.5,2.146875179415408,0.6109485141740546,1.726420201826488,4.1833333333333345,48.833333333333336,105.83333333333333,219.0,164.16666666666666,0.14974949173547705,0.22009268412192826,0.02349848925752865,0.020273272556553475,0.006041975245719933
