run_id,movement_model,movement_v3a_experiment,movement_v3a_variant_id,centroid_probe_scale,runtime_decision_source_effective,cell_FR,cell_MB,cell_PD,opponent_archetype_name,opponent_archetype_index,injected_test_vector,injected_opponent_vector,winner,end_tick,remaining_units_A,remaining_units_B,first_contact_tick,first_kill_tick,tactical_cut_tick_T,tactical_pocket_tick_T,precontact_window_last_tick,precontact_ar_p90_A,precontact_ar_p90_B,precontact_wedge_p10_A,precontact_wedge_p10_B,precontact_split_p90_A,precontact_split_p90_B,precontact_persistent_outlier_p90,precontact_max_persistence_max,precontact_ar_p90_gap_AB,precontact_wedge_p10_gap_AB,precontact_split_p90_gap_AB,precontact_ar_jitter_A,precontact_ar_jitter_B,precontact_wedge_jitter_A,precontact_wedge_jitter_B,precontact_split_jitter_A,precontact_split_jitter_B,cut_before_contact,pocket_before_contact,determinism_digest,rep_index,precontact_outlier_total_p90,phase_label
FR8_MB2_PD5_vs_reinhard_base_rep01,v3a,base,base,1.0,v2,8,2,5,reinhard,1,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 6.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,464,16,0,105,113,124,269,100,2.163863231894323,1.9716735150157096,0.6492819890119245,0.8387827994012405,1.7374338003067702,1.7279584563046622,1.0,36.0,0.1921897168786133,0.189500810389316,0.009475344002108033,0.02307007938735405,0.019276672855201026,0.016425196193858134,0.015996986891361514,0.0031415146641354773,0.0031769363932910777,False,False,1c7ef884806a5221f81b6f90e191b8bee196ddac0ca97e00be0b6b371ae00ebc,1,3.0,phase3_cv3_stability_recheck
FR8_MB2_PD5_vs_reinhard_base_rep02,v3a,base,base,1.0,v2,8,2,5,reinhard,1,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 6.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,464,16,0,105,113,124,269,100,2.163863231894323,1.9716735150157096,0.6492819890119245,0.8387827994012405,1.7374338003067702,1.7279584563046622,1.0,36.0,0.1921897168786133,0.189500810389316,0.009475344002108033,0.02307007938735405,0.019276672855201026,0.016425196193858134,0.015996986891361514,0.0031415146641354773,0.0031769363932910777,False,False,1c7ef884806a5221f81b6f90e191b8bee196ddac0ca97e00be0b6b371ae00ebc,2,3.0,phase3_cv3_stability_recheck
FR8_MB2_PD5_vs_reinhard_probe_0.65_rep01,v3a,exp_precontact_centroid_probe,probe_0.65,0.65,v2,8,2,5,reinhard,1,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 6.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,454,0,14,107,115,126,155,100,2.022838823926726,2.076012744562421,0.8397113589559012,0.8448143386898603,1.733817938037986,1.7240667815989112,0.0,0.0,0.05317392063569493,0.005102979733959123,0.009751156439074649,0.015213269350714749,0.013719330610919291,0.0160425769385234,0.010648654911417007,0.0022442876200113636,0.0036240256686149216,False,False,422ffaa451d5c38d3f2a828a80c43164e8e0b614b083035f6d91f8d02903a5bb,1,0.0,phase3_cv3_stability_recheck
FR8_MB2_PD5_vs_reinhard_probe_0.65_rep02,v3a,exp_precontact_centroid_probe,probe_0.65,0.65,v2,8,2,5,reinhard,1,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 6.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,454,0,14,107,115,126,155,100,2.022838823926726,2.076012744562421,0.8397113589559012,0.8448143386898603,1.733817938037986,1.7240667815989112,0.0,0.0,0.05317392063569493,0.005102979733959123,0.009751156439074649,0.015213269350714749,0.013719330610919291,0.0160425769385234,0.010648654911417007,0.0022442876200113636,0.0036240256686149216,False,False,422ffaa451d5c38d3f2a828a80c43164e8e0b614b083035f6d91f8d02903a5bb,2,0.0,phase3_cv3_stability_recheck
FR8_MB2_PD5_vs_reinhard_probe_0.70_rep01,v3a,exp_precontact_centroid_probe,probe_0.70,0.7,v2,8,2,5,reinhard,1,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 6.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,414,20,0,107,116,126,167,100,2.009876672565259,2.0768079138874405,0.7617214661301063,0.8380632961120835,1.7338455145584717,1.7166345682124664,0.0,0.0,0.06693124132218164,0.07634182998197725,0.017210946346005285,0.01719257294762296,0.013590260672289689,0.019667376944463823,0.015186238964356783,0.0032235910627416244,0.0032034067086831016,False,False,2bd1402bea9bdcc1e21d579a3ede6d816ae8bb18099f4a1fda8515e8e4c98df5,1,0.0,phase3_cv3_stability_recheck
FR8_MB2_PD5_vs_reinhard_probe_0.70_rep02,v3a,exp_precontact_centroid_probe,probe_0.70,0.7,v2,8,2,5,reinhard,1,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 6.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,414,20,0,107,116,126,167,100,2.009876672565259,2.0768079138874405,0.7617214661301063,0.8380632961120835,1.7338455145584717,1.7166345682124664,0.0,0.0,0.06693124132218164,0.07634182998197725,0.017210946346005285,0.01719257294762296,0.013590260672289689,0.019667376944463823,0.015186238964356783,0.0032235910627416244,0.0032034067086831016,False,False,2bd1402bea9bdcc1e21d579a3ede6d816ae8bb18099f4a1fda8515e8e4c98df5,2,0.0,phase3_cv3_stability_recheck
FR8_MB2_PD5_vs_kircheis_base_rep01,v3a,base,base,1.0,v2,8,2,5,kircheis,2,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 7.0, ""mobility_bias"": 7.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,422,18,0,105,114,124,186,100,2.1671649665639436,2.08674316167069,0.6528611720902717,0.8499815238085313,1.7474271382842423,1.7294974495231576,4.0,46.0,0.08042180489325368,0.1971203517182596,0.017929688761084694,0.023564493304483267,0.02272591991953001,0.019157125346259046,0.02365163453832922,0.004187372181979625,0.004070001443823586,False,False,f21adedc822888ae4061897cb31ed76f78ac5b0a905e4d68c80997eb018127cb,1,5.0,phase3_cv3_stability_recheck
FR8_MB2_PD5_vs_kircheis_base_rep02,v3a,base,base,1.0,v2,8,2,5,kircheis,2,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 7.0, ""mobility_bias"": 7.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,422,18,0,105,114,124,186,100,2.1671649665639436,2.08674316167069,0.6528611720902717,0.8499815238085313,1.7474271382842423,1.7294974495231576,4.0,46.0,0.08042180489325368,0.1971203517182596,0.017929688761084694,0.023564493304483267,0.02272591991953001,0.019157125346259046,0.02365163453832922,0.004187372181979625,0.004070001443823586,False,False,f21adedc822888ae4061897cb31ed76f78ac5b0a905e4d68c80997eb018127cb,2,5.0,phase3_cv3_stability_recheck
FR8_MB2_PD5_vs_kircheis_probe_0.65_rep01,v3a,exp_precontact_centroid_probe,probe_0.65,0.65,v2,8,2,5,kircheis,2,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 7.0, ""mobility_bias"": 7.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,516,0,9,107,115,126,276,100,2.028899384912283,2.0105207515260815,0.809939397835351,0.8190642855161009,1.72895579036,1.7366407381904925,0.0,1.0,0.018378633386201493,0.009124887680749927,0.007684947830492561,0.017232727670043073,0.01790887360579233,0.0180215299335832,0.013892877168700087,0.002978275501637888,0.0059015422776442245,False,False,f77e9ef63e33ccf0c763dd573dee40ce11693a5439714611e39ba9ac916209df,1,0.0,phase3_cv3_stability_recheck
FR8_MB2_PD5_vs_kircheis_probe_0.65_rep02,v3a,exp_precontact_centroid_probe,probe_0.65,0.65,v2,8,2,5,kircheis,2,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 7.0, ""mobility_bias"": 7.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,516,0,9,107,115,126,276,100,2.028899384912283,2.0105207515260815,0.809939397835351,0.8190642855161009,1.72895579036,1.7366407381904925,0.0,1.0,0.018378633386201493,0.009124887680749927,0.007684947830492561,0.017232727670043073,0.01790887360579233,0.0180215299335832,0.013892877168700087,0.002978275501637888,0.0059015422776442245,False,False,f77e9ef63e33ccf0c763dd573dee40ce11693a5439714611e39ba9ac916209df,2,0.0,phase3_cv3_stability_recheck
