run_id,movement_model,movement_v3a_experiment,cell_FR,cell_MB,cell_PD,opponent_archetype_name,opponent_archetype_index,runtime_decision_source_effective,winner,end_tick,remaining_units_A,remaining_units_B,first_contact_tick,first_kill_tick,tactical_cut_tick_T,tactical_pocket_tick_T,precontact_ar_p90_A,precontact_ar_max_A,precontact_wedge_p10_A,precontact_wedge_min_A,precontact_split_p90_A,precontact_outlier_total_p90,precontact_persistent_outlier_p90,precontact_max_persistence_max,overall_ar_p90_A,overall_wedge_p50_A,determinism_digest
precontact_FR8_MB2_PD5_vs_reinhard_base,v3a,base,8,2,5,reinhard,1,v2,A,464,16,0,105,113,124,269,2.163863231894323,2.242317461062685,0.6492819890119245,0.6385363909507374,1.7374338003067702,3.0,1.0,36.0,2.0285316487920486,0.9753941723933445,1c7ef884806a5221f81b6f90e191b8bee196ddac0ca97e00be0b6b371ae00ebc
precontact_FR8_MB2_PD5_vs_reinhard_exp_a_reduced_centroid,v3a,exp_a_reduced_centroid,8,2,5,reinhard,1,v2,B,465,0,13,107,115,126,171,1.9877664917357936,2.195845285048795,0.7603774657457489,0.7489112045863114,1.7249805023188565,0.0,0.0,0.0,1.901960414141914,1.101273459507294,1a7c7147b67a251f539f1aa527bf883f9dac7039644b571f75e650301bdbd535
precontact_FR8_MB2_PD5_vs_reinhard_exp_b_distance_capped,v3a,exp_b_distance_capped,8,2,5,reinhard,1,v2,B,410,0,22,105,113,124,209,2.164225414239104,2.246286465062519,0.6343728752110499,0.623139080280202,1.7389597049762933,3.0,1.0,32.0,2.192719552368101,0.8449746899647407,9badecbf1fc1861e410a3fadb100264c8604b20e34477312034d816b8cddf756
precontact_FR8_MB2_PD5_vs_reinhard_exp_c_frame_translation,v3a,exp_c_frame_translation,8,2,5,reinhard,1,v2,A,469,12,0,105,113,124,178,2.0594645652628314,2.189738780396574,0.619287767131259,0.6133543727556616,1.7483794829400807,1.0,0.0,18.0,2.0222802053635363,0.9687910137977458,90f37a2aef6758c74e7e02e973f4c3fd4a806bcae2de90f19fd702ea4fc4325f
precontact_FR8_MB2_PD5_vs_kircheis_base,v3a,base,8,2,5,kircheis,2,v2,A,422,18,0,105,114,124,186,2.1671649665639436,2.287461234770021,0.6528611720902717,0.6320409731689608,1.7474271382842423,5.0,4.0,46.0,2.092994650935594,0.9431128839557581,f21adedc822888ae4061897cb31ed76f78ac5b0a905e4d68c80997eb018127cb
precontact_FR8_MB2_PD5_vs_kircheis_exp_a_reduced_centroid,v3a,exp_a_reduced_centroid,8,2,5,kircheis,2,v2,A,485,10,0,106,114,125,214,1.9826211203552295,2.195845285048795,0.7512887333132211,0.7333572706571719,1.7284139916622188,2.0,0.0,21.0,1.9017357497026028,0.9411912550849884,d1a55775850f392e9e9d883d84b6d19997f4f4c5fd49afbec29ae9ccdd3e2071
precontact_FR8_MB2_PD5_vs_kircheis_exp_b_distance_capped,v3a,exp_b_distance_capped,8,2,5,kircheis,2,v2,A,449,14,0,105,113,396,231,2.1838904521360503,2.2580261453721895,0.62536512765378,0.6048514878538158,1.7328348547527739,5.0,3.1000000000000085,47.0,2.050051940255373,1.0366389459526513,181f24d9fb77e0b35c53980440a77f7544bba94377cd25075645f8e28536fab5
precontact_FR8_MB2_PD5_vs_kircheis_exp_c_frame_translation,v3a,exp_c_frame_translation,8,2,5,kircheis,2,v2,A,468,10,0,105,113,124,189,2.059679812990628,2.189738780396574,0.6200134190456338,0.6028059537360144,1.7407248774372457,3.0,2.0,41.0,1.9507783571820847,0.9740509520538355,0b9dc6f7229f761eae4d712350baaee8e772e95553b189312d4d035a5449803e
precontact_FR8_MB2_PD5_vs_reuenthal_base,v3a,base,8,2,5,reuenthal,3,v2,A,459,15,0,108,117,132,135,1.9755744071558732,2.1862687152412863,0.7002160827132036,0.6882175656857035,1.7278565173906955,1.0,0.0,13.0,2.108925505447964,0.8044980853525858,223138284c5dc6c14e05fad543c0e455d7fedc2376ed5bbbbd56080bf426d07f
precontact_FR8_MB2_PD5_vs_reuenthal_exp_a_reduced_centroid,v3a,exp_a_reduced_centroid,8,2,5,reuenthal,3,v2,A,461,15,0,110,118,139,136,2.0025696504135535,2.195845285048795,0.8092241373152922,0.7558094576942641,1.7302264909594691,0.0,0.0,0.0,2.0258878797093294,1.135063571098999,3b02cc452f3ca5e519b1fac2edcecf1a792244655545010af9e51680fcf43aa9
precontact_FR8_MB2_PD5_vs_reuenthal_exp_b_distance_capped,v3a,exp_b_distance_capped,8,2,5,reuenthal,3,v2,B,465,0,19,109,117,133,135,1.9776339924222532,2.1860083637441012,0.6576669939079184,0.649654134841158,1.7330953684085602,0.0,0.0,3.0,2.1465916013652575,0.8228690497336669,b4aefb1107e8d266f917b59f94ec3b8ba375e2f146af0012003c4be8bfde4fe0
precontact_FR8_MB2_PD5_vs_reuenthal_exp_c_frame_translation,v3a,exp_c_frame_translation,8,2,5,reuenthal,3,v2,B,448,0,21,109,117,136,135,1.9359324023435087,2.189738780396574,0.7160162684660705,0.6709171522956398,1.730479837598438,0.0,0.0,0.0,2.003842085286102,0.8830424609576142,ae42a351dba9aa7e742c3e6c3c41bd288a42f054b09206a7caccd5b37e5cd877
