cell_FR,cell_MB,cell_PD,n_pairs,delta_persistent_outlier_p90_mean,delta_max_persistence_mean,delta_wedge_p10_A_mean,delta_ar_p90_A_mean,delta_split_p90_A_mean,delta_first_contact_tick_mean
2,2,2,6,-1.0,-23.666666666666668,0.023015398895434507,0.049465273720993595,0.009330585303903996,2.3333333333333335
2,2,5,6,-0.8333333333333334,-23.333333333333332,0.026272148168525522,0.017675330896836112,0.003315649017443967,1.5
2,2,8,6,-0.6666666666666666,-22.333333333333332,0.009626820477882436,0.012811033370297912,0.002975385364866523,1.8333333333333333
2,5,2,6,-0.8333333333333334,-24.833333333333332,0.027863491445414185,0.05445113285314259,0.006893756146086412,2.5
2,5,5,6,-0.8333333333333334,-22.333333333333332,-0.030527165539615986,0.009520641630407223,0.0016406175686514517,1.5
2,5,8,6,-0.8500000000000014,-22.666666666666668,-0.020976005993823914,0.008861462996255343,0.003980193441540362,1.8333333333333333
2,8,2,6,-1.1666666666666667,-24.666666666666668,0.047289072005837395,0.047212034678514536,0.004295798928034407,2.3333333333333335
2,8,5,6,-0.6666666666666666,-21.833333333333332,-0.01395904099373261,0.030491255622631996,0.007351875250737179,1.8333333333333333
2,8,8,6,-0.8333333333333334,-23.333333333333332,-0.01082580293302493,0.021655467145072677,0.008398621942327914,1.5
5,2,2,6,-5.833333333333333,-50.666666666666664,0.5298461867747558,0.027625820377894295,-0.015829073027688916,5.333333333333333
5,2,5,6,-2.183333333333335,-32.5,0.3640603528741413,0.17496401432011507,-0.013425818686096417,4.5
5,2,8,6,-1.6666666666666667,-29.666666666666668,0.32883096624250385,0.1649052715784535,-0.015300257122153696,4.166666666666667
5,5,2,6,-6.666666666666667,-52.333333333333336,0.5033920861011599,0.11320870015012796,-0.08709722676881748,5.166666666666667
5,5,5,6,-2.3500000000000014,-35.5,0.43519347497184135,0.18234642356319344,-0.018465430119491238,4.5
5,5,8,6,-1.7000000000000028,-30.833333333333332,0.34944218258943943,0.17122458005075,-0.018054101501815894,4.333333333333333
5,8,2,6,-6.833333333333333,-57.333333333333336,0.45697420320442017,0.17745503546075156,-0.2510397499469011,4.5
5,8,5,6,-3.1666666666666665,-38.5,0.4990628387842125,0.2053767924210018,-0.041163444866017196,3.8333333333333335
5,8,8,6,-2.183333333333335,-34.666666666666664,0.43335671852830643,0.17846136339581053,-0.025879676804244484,3.5
8,2,2,6,-7.833333333333333,-74.33333333333333,0.25963296929268304,-0.6323350224320382,-0.6629065338439599,6.333333333333333
8,2,5,6,-5.666666666666667,-54.333333333333336,0.4606585591126133,-0.18303503487982561,-0.023126099846145814,4.166666666666667
8,2,8,6,-5.333333333333333,-50.333333333333336,0.4528003998788413,-0.06731193754314065,-0.014794027946721725,3.8333333333333335
8,5,2,6,-7.900000000000001,-71.66666666666667,0.20758080631467202,-0.5276813185045397,-0.9686752012003876,6.0
8,5,5,6,-6.333333333333333,-62.166666666666664,0.3041437582697591,-0.12748895927043882,-0.022003972421204887,5.0
8,5,8,6,-6.5,-57.0,0.3062753205363735,-0.056197456932759314,-0.01586249215470496,3.6666666666666665
8,8,2,6,-6.866666666666667,-68.16666666666667,0.15261688412045105,-0.45687887803963084,-1.3666619067716,7.666666666666667
8,8,5,6,-7.033333333333336,-64.5,0.3282185692807651,-0.010333685929158953,-0.0919444900492961,4.666666666666667
8,8,8,6,-6.833333333333333,-59.833333333333336,0.3080157483385127,0.03493558741813944,-0.031119266035090187,3.8333333333333335
