cell_FR,cell_MB,cell_PD,opponent_archetype_name,delta_end_tick,delta_first_contact_tick,delta_cut_tick,delta_pocket_tick,delta_ar_p90_A,delta_wedge_p10_A,delta_split_p90_A,delta_persistent_outlier_p90,delta_max_persistence,delta_mirror_ar_gap,delta_mirror_wedge_gap,delta_jitter_ar_A,delta_jitter_wedge_A,cut_exists_v1,cut_exists_v3a,pocket_exists_v1,pocket_exists_v3a
2,2,2,bittenfeld,-45.0,3.0,3.0,-18.0,0.05631129151901737,0.06441954736906852,0.012938921610008203,-1.0,-35.0,-0.1138150204029671,0.03949314941523463,-0.008240778730729793,-0.006922163824453983,True,True,True,True
2,2,2,kircheis,-66.0,2.0,-20.0,-57.0,0.04878400063129895,0.08983215404083333,0.005753714659324949,-2.0,-43.0,-0.11081834263908208,0.10392147865421364,-0.007749805507324842,-0.009478860512040093,True,True,True,True
2,2,2,mittermeyer,1.0,2.0,2.0,-17.0,0.027792487693482304,-0.06406957762616061,0.0041582983202475,0.0,0.0,-0.12713410388454216,-0.07144493382183226,-0.006267684010503572,-0.014053209223119366,True,True,True,True
2,2,2,muller,-56.0,3.0,-16.0,-30.0,0.08248662849004917,0.009109218273384512,0.01030891065842554,-3.0,-48.0,0.13320129810984094,-0.013552284748515109,-0.00804693180638533,0.0005937398624652097,True,True,True,True
2,2,2,reinhard,-37.0,3.0,3.0,-63.0,0.060119162936828285,0.04894512490887992,0.014875044901788037,0.0,-16.0,-0.14124369383449253,0.05766336223443902,-0.008727209339970284,-0.0014843171071691197,True,True,True,True
2,2,2,reuenthal,4.0,1.0,-2.0,0.0,0.021298071055285472,-0.01014407359339864,0.007948621673629752,0.0,0.0,-0.0288833392710659,-0.007169000320400132,-0.003762055322591777,0.00042320522398628206,True,True,True,True
2,2,5,bittenfeld,-46.0,3.0,3.0,-89.0,0.017986234185376038,-0.04650490084713432,0.0033220423654114484,-1.0,-31.0,-0.15654907697122633,-0.06348947889536127,-0.004285378604734769,-0.01011826661542204,True,True,True,True
2,2,5,kircheis,41.0,1.0,1.0,-45.0,0.019525813723839658,-0.011432144537916189,0.002608062852862858,-2.0,-40.0,-0.13592024020110705,-0.003411157622036476,-0.004256146835220834,-0.013922491707626022,True,True,True,True
2,2,5,mittermeyer,15.0,1.0,1.0,1.0,0.018160559978622537,0.026461870639582497,0.002588465945659646,0.0,0.0,-0.15629426992291062,0.04687928241969075,-0.002932311643452617,-0.00748283046008744,True,True,True,True
2,2,5,muller,-111.0,2.0,2.0,-2.0,0.01959859813578202,0.09089559758008714,0.0027233805363855446,-2.0,-47.0,0.08029010870692854,0.07832826352364608,-0.004297821993023166,-0.021375136980140357,True,True,True,True
2,2,5,reinhard,8.0,2.0,2.0,-20.0,0.009776839614136001,0.03477178375386436,0.00442849944257917,0.0,-22.0,-0.19545089607423694,0.008812221907247952,-0.004075982173986501,-0.010837737283374787,True,True,True,True
2,2,5,reuenthal,-29.0,0.0,0.0,0.0,0.021003939743260425,0.06344068242266965,0.004223442961765134,0.0,0.0,-0.011989612455709064,0.04704421667057912,-0.0032609880278933238,-0.004377526070979045,True,True,True,True
2,2,8,bittenfeld,-32.0,2.0,2.0,-46.0,0.011180253023694409,0.08073457477919654,0.003625059621342297,-1.0,-31.0,-0.14511919282196106,0.08079504319897013,-0.0033352294493243172,-0.00043276294547069105,True,True,True,True
2,2,8,kircheis,8.0,2.0,2.0,-58.0,0.006159459237542464,-0.008940165070915107,0.003391468309461798,-1.0,-40.0,-0.1680869281856614,-0.011496375503821654,-0.004295420252390932,-0.00793241019099621,True,True,True,True
