movement_model,n_runs,win_rate_A,mean_survivors_A,median_end_tick,first_contact_tick_mean,cut_exists_rate,pocket_exists_rate,cut_tick_p50,pocket_tick_p50,precontact_ar_p90_A_mean,precontact_wedge_p10_A_mean,precontact_split_p90_A_mean,precontact_persistent_outlier_p90_mean,precontact_max_persistence_max_mean,mirror_ar_gap_mean,mirror_wedge_gap_mean,jitter_ar_A_mean,jitter_wedge_A_mean,runtime_cap_hit_count,factor,level
v1,54,0.8333333333333334,19.01851851851852,457.5,110.27777777777777,1.0,1.0,130.0,144.5,2.2249845491886617,1.0717165338198815,1.7155817095382868,0.8537037037037039,23.22222222222222,0.1994191575486425,0.23984165056699902,0.009239278690817516,0.018007157640110943,0,FR,2
v1,54,0.5,7.685185185185185,455.0,106.18518518518519,1.0,1.0,125.0,158.5,2.025065803396526,0.6619845959396037,1.7696582742539873,3.6203703703703716,40.22222222222222,0.13558302514129153,0.17575655756109146,0.019389241716577885,0.021759937326705933,0,FR,5
v1,54,0.3148148148148148,4.2592592592592595,447.0,103.81481481481481,1.0,1.0,123.0,161.0,2.302556524599924,0.5927851169405837,2.0763006572294183,6.71851851851852,63.925925925925924,0.2822892838077231,0.2428832554280382,0.026201572442384875,0.025367208004974183,0,FR,8
v3a,54,0.8518518518518519,19.77777777777778,446.5,112.18518518518519,1.0,1.0,131.0,136.0,2.2530005084013465,1.0781364133235363,1.720935318756464,0.0,0.0,0.11847310746369259,0.2378197239845834,0.0043873001445349225,0.013169572838978218,0,FR,2
v3a,54,0.6111111111111112,9.722222222222221,463.0,110.61111111111111,1.0,1.0,133.5,136.0,2.1801289146540928,1.0953355970585794,1.7156299654936287,0.0,0.0,0.06539376026291178,0.25472243253052995,0.010316917889756872,0.015306012404120519,0,FR,5
v3a,54,0.2222222222222222,2.6481481481481484,461.0,108.83333333333333,1.0,1.0,128.0,136.0,2.0774091128095473,0.9016676741788802,1.721067991643962,0.018518518518518517,1.4444444444444444,0.07081350284977615,0.11259440301025976,0.014127532513517211,0.01895604039506485,0,FR,8
v1,54,0.5925925925925926,11.5,461.0,106.74074074074075,1.0,1.0,127.5,155.0,2.2219757541244207,0.801924630077809,1.7993843539447052,3.4462962962962966,40.129629629629626,0.22479724871118711,0.20603036144804301,0.018121369309150166,0.01950830505461753,0,MB,2
v1,54,0.5925925925925926,10.907407407407407,456.0,106.77777777777777,1.0,1.0,126.0,159.0,2.195973029235683,0.7777155890592667,1.8432577148858442,3.774074074074075,42.592592592592595,0.20804634966145827,0.22459903677680926,0.018184136201983944,0.020919210891765957,0,MB,5
v1,54,0.46296296296296297,8.555555555555555,448.0,106.75925925925925,1.0,1.0,128.0,160.0,2.134658093825008,0.7468460275629932,1.918898572191141,3.972222222222223,44.648148148148145,0.18444786812501177,0.2278520653312763,0.018524587338646162,0.024706787025407583,0,MB,8
v3a,54,0.7407407407407407,15.648148148148149,446.5,110.51851851851852,1.0,1.0,130.5,136.0,2.1736162818365976,1.0746739413797395,1.7182998883017546,0.0,0.0,0.08403227387998768,0.24962825453745163,0.008367538495583035,0.014082051705217953,0,MB,2
v3a,54,0.5370370370370371,9.666666666666666,469.5,110.61111111111111,1.0,1.0,130.0,136.0,2.1768891632952543,1.0090920278031799,1.71907506410694,0.0,0.4444444444444444,0.0868992779625574,0.18832430152460786,0.009500250691735048,0.01551684808195176,0,MB,5
v3a,54,0.4074074074074074,6.833333333333333,459.0,110.5,1.0,1.0,130.0,136.0,2.1600330907331338,0.9913737153780767,1.7202583234853586,0.018518518518518517,1.0,0.08374881873383543,0.16718400346331352,0.010963961360490918,0.017832725850993877,0,MB,8
v1,54,0.4444444444444444,7.12962962962963,455.0,105.46296296296296,1.0,1.0,125.0,160.5,2.2604297299210483,0.7374532344322072,2.0911221037546053,5.011111111111112,51.166666666666664,0.2748331954983019,0.24151673784736727,0.021618473773532338,0.025846382453275682,0,PD,2
v1,54,0.5555555555555556,11.685185185185185,457.5,107.20370370370371,1.0,1.0,127.5,159.0,2.152992887787253,0.7796332109746061,1.7402713880533722,3.2296296296296303,39.44444444444444,0.17565030858984762,0.2173531083472078,0.017043280756729697,0.020853964201444385,0,PD,5
v1,54,0.6481481481481481,12.148148148148149,455.5,107.61111111111111,1.0,1.0,128.0,151.5,2.139184259476812,0.8093998012932557,1.7301471492137128,2.9518518518518526,36.75925925925926,0.1668079624095077,0.1996116173615535,0.01616833831951824,0.018433956317071003,0,PD,8
v3a,54,0.5,9.055555555555555,456.0,110.14814814814815,1.0,1.0,130.0,136.0,2.132932260839406,0.9828100231160769,1.720934375845569,0.018518518518518517,1.4259259259259258,0.08949350606726113,0.18945134916864156,0.011047648233168419,0.016461676009678766,0,PD,2
v3a,54,0.5925925925925926,10.851851851851851,458.5,110.70370370370371,1.0,1.0,130.5,136.0,2.186272529828892,1.043313599299996,1.7182912642587707,0.0,0.0,0.08219355066070916,0.20761753940171493,0.00901585933568254,0.015205658471609422,0,PD,5
v3a,54,0.5925925925925926,12.24074074074074,463.0,110.77777777777777,1.0,1.0,131.0,136.0,2.1913337451966877,1.0490160621449236,1.7184076357897138,0.0,0.018518518518518517,0.08299331384841023,0.20806767095501644,0.008768242978958042,0.015764291156875408,0,PD,8
