movement_model,opponent_archetype_name,n_runs,win_rate_A,mean_survivors_A,median_end_tick,first_contact_tick_mean,cut_exists_rate,pocket_exists_rate,cut_tick_p50,pocket_tick_p50,precontact_ar_p90_A_mean,precontact_wedge_p10_A_mean,precontact_split_p90_A_mean,precontact_persistent_outlier_p90_mean,precontact_max_persistence_max_mean,mirror_ar_gap_mean,mirror_wedge_gap_mean,jitter_ar_A_mean,jitter_wedge_A_mean,runtime_cap_hit_count
v1,bittenfeld,27,0.48148148148148145,9.185185185185185,457.0,105.85185185185185,1.0,1.0,125.0,159.0,2.1984663969425378,0.7663325903791539,1.8890858366159473,4.2592592592592595,48.77777777777778,0.20575404546388856,0.21982687328889097,0.019061733659727846,0.02154791293845191,0
v1,kircheis,27,0.7407407407407407,14.925925925925926,451.0,105.48148148148148,1.0,1.0,125.0,163.0,2.2106973199781574,0.766897892440248,1.8897619179830885,5.892592592592593,57.25925925925926,0.23423889709021456,0.22443091653169023,0.019067360894197503,0.023005328132570915,0
v1,mittermeyer,27,0.5925925925925926,11.666666666666666,448.0,108.29629629629629,1.0,1.0,127.0,154.0,2.1655558214545203,0.7781967084541065,1.8453121438358753,1.9259259259259258,26.666666666666668,0.17592939976219124,0.22261268988446012,0.01807105976957464,0.02176353315587459,0
v1,muller,27,0.7037037037037037,11.74074074074074,461.0,104.22222222222223,1.0,1.0,124.0,163.0,2.188370119482763,0.7650166718422459,1.8799017754996015,6.051851851851852,62.111111111111114,0.21770808496802282,0.22388591809855185,0.01887725316770185,0.022786123165834397,0
v1,reinhard,27,0.5555555555555556,12.222222222222221,445.0,106.11111111111111,1.0,1.0,125.0,159.0,2.217744933746384,0.7711053365422971,1.888515501020937,3.400000000000002,42.51851851851852,0.29383900995437684,0.22779485732011448,0.018950370190602386,0.021531436876912103,0
v1,reuenthal,27,0.2222222222222222,2.185185185185185,467.0,110.5925925925926,1.0,1.0,131.0,138.0,2.124379162765864,0.8054232937420864,1.7305041070879357,0.8555555555555558,17.40740740740741,0.10711349575662046,0.19841167198854934,0.01563240801775633,0.019634271673938206,0
v3a,bittenfeld,27,0.6666666666666666,12.481481481481481,469.0,110.07407407407408,1.0,1.0,130.0,136.0,2.1666821269824217,1.0190100002920568,1.7199146735627633,0.0,0.2962962962962963,0.0855461742203781,0.2021237575705655,0.009757749491918963,0.016238099232460803,0
v3a,kircheis,27,0.6666666666666666,14.25925925925926,463.0,109.55555555555556,1.0,1.0,129.0,136.0,2.1667790497253785,1.0061451861122803,1.7199910358710728,0.0,0.4444444444444444,0.10923363416161012,0.1939017769689956,0.010042226691442176,0.016139378332096735,0
v3a,mittermeyer,27,0.5555555555555556,9.592592592592593,447.0,111.29629629629629,1.0,1.0,132.0,137.0,2.1739610702747862,1.029565298559694,1.718448666885631,0.0,0.0,0.06926561916952297,0.19135541949909787,0.009146851047430984,0.014806648665680553,0
v3a,muller,27,0.7777777777777778,15.962962962962964,454.0,109.37037037037037,1.0,1.0,129.0,136.0,2.163008269480177,1.0059324608107938,1.7202396701879745,0.037037037037037035,2.1481481481481484,0.10586687650118091,0.20868834670798556,0.010427015392788133,0.01682719617847516,0
v3a,reinhard,27,0.5185185185185185,9.518518518518519,462.0,110.51851851851852,1.0,1.0,131.0,136.0,2.1689712636751253,1.0357862785895307,1.7190882616502003,0.0,0.0,0.07328942035114856,0.2096246374243193,0.009474579222960425,0.015825777282642717,0
v3a,reuenthal,27,0.18518518518518517,2.4814814814814814,459.0,112.44444444444444,1.0,1.0,132.0,136.0,2.1816752915920836,1.0538401447576378,1.7175842436304658,0.0,0.0,0.06615901674892041,0.2045791808797823,0.008815079249077332,0.015026151584971222,0
