run_id,movement_model,movement_v3a_experiment,movement_v3a_variant_id,centroid_probe_scale,runtime_decision_source_effective,cell_FR,cell_MB,cell_PD,opponent_archetype_name,opponent_archetype_index,injected_test_vector,injected_opponent_vector,winner,end_tick,remaining_units_A,remaining_units_B,first_contact_tick,first_kill_tick,tactical_cut_tick_T,tactical_pocket_tick_T,precontact_window_last_tick,precontact_ar_p90_A,precontact_ar_p90_B,precontact_wedge_p10_A,precontact_wedge_p10_B,precontact_split_p90_A,precontact_split_p90_B,precontact_persistent_outlier_p90,precontact_max_persistence_max,precontact_ar_p90_gap_AB,precontact_wedge_p10_gap_AB,precontact_split_p90_gap_AB,precontact_ar_jitter_A,precontact_ar_jitter_B,precontact_wedge_jitter_A,precontact_wedge_jitter_B,precontact_split_jitter_A,precontact_split_jitter_B,cut_before_contact,pocket_before_contact,determinism_digest,rep_index,precontact_outlier_total_p90,movement_model_effective,movement_v3a_experiment_effective,centroid_probe_scale_effective,cut_exists,pocket_exists,hit_runtime_cap,boundary_enabled_effective,boundary_soft_strength_effective,boundary_hard_enabled_effective,random_seed_effective,background_map_seed_effective,metatype_random_seed_effective
FR2_MB2_PD2_vs_reinhard_base_rep01,v1,base,base,1.0,v2,2,2,2,reinhard,1,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 6.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,454,24,0,109,117,128,199,100,2.1855737935360393,1.9193380536662017,1.0668046102474844,0.813979149994804,1.70850401148291,1.7367704810804923,0.0,16.0,0.2662357398698376,0.2528254602526804,0.028266469597582278,0.012346595080513813,0.018437266758081543,0.01656594457014466,0.022588675633282648,0.002441035465404847,0.004540143516855793,False,False,59cf592d21289742090701094469c6d49d81a5b8ff94be16b88be3470f3babea,1,1.0,v1,N/A,N/A,True,True,False,False,1.0,False,1981813971,897304369,3095987153
FR2_MB2_PD2_vs_reinhard_probe_0.50_rep01,v3a,exp_precontact_centroid_probe,probe_0.50,0.5,v2,2,2,2,reinhard,1,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 6.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,417,26,0,112,120,131,136,100,2.2456929564728676,2.1207009104375225,1.1157497351563643,0.8052609126692449,1.723379056384698,1.7077672667136907,0.0,0.0,0.12499204603534508,0.3104888224871194,0.015611789671007292,0.003619385740543528,0.010915598872163054,0.01508162746297554,0.010734530025699305,0.0011409254625697365,0.0023516841300598203,False,False,a85d45b0022085e71950deb25dc7fc0a8fa4a694bcfed759efb70164f88da98a,1,0.0,v3a,exp_precontact_centroid_probe,0.5,True,True,False,False,1.0,False,1981813971,897304369,3095987153
FR2_MB2_PD2_vs_kircheis_base_rep01,v1,base,base,1.0,v2,2,2,2,kircheis,2,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 7.0, ""mobility_bias"": 7.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,489,13,0,109,117,150,193,100,2.2014157052980985,1.922494953724283,1.050208487618532,0.8384265831137365,1.7143967572124637,1.7477742504626383,2.0,43.0,0.27892075157381546,0.2117819045047955,0.033377493250174695,0.012160306027068572,0.02090450846755299,0.018440500251012935,0.027171590588752386,0.0033669563965245917,0.0066171103621073795,False,False,31c893805c89a6f4f835f2210d36bcf80f1f4c21b05efbcc9f2b83d71ee7de7b,1,4.0,v1,N/A,N/A,True,True,False,False,1.0,False,1981813971,897304369,3095987153
FR2_MB2_PD2_vs_kircheis_probe_0.50_rep01,v3a,exp_precontact_centroid_probe,probe_0.50,0.5,v2,2,2,2,kircheis,2,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 7.0, ""mobility_bias"": 7.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,423,28,0,111,119,130,136,100,2.2501997059293974,2.082097296994664,1.1400406416593654,0.8243372585003562,1.7201504718717886,1.7076038497688424,0.0,0.0,0.16810240893473338,0.31570338315900914,0.012546622102946214,0.00441050051974373,0.012323549550246237,0.008961639738972842,0.017781813682885565,0.0013423234870581294,0.0035332467210196943,False,False,bb882c432987245d11982fdae2ee570b2952f0883e70f3435b285a3c4a025d5c,1,0.0,v3a,exp_precontact_centroid_probe,0.5,True,True,False,False,1.0,False,1981813971,897304369,3095987153
FR2_MB2_PD2_vs_reuenthal_base_rep01,v1,base,base,1.0,v2,2,2,2,reuenthal,3,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 4.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,536,6,0,113,121,135,137,100,2.2397364224603376,2.1848755756480362,1.1379284394294462,0.8521172204599863,1.7153142305497608,1.7119376203007486,0.0,0.0,0.0548608468123013,0.28581121896945993,0.0033766102490122574,0.006750428048953235,0.006670813885839102,0.014526804081667687,0.007090178016015383,0.002048716950053723,0.001923686683844202,False,False,c7e7cef6b124f708ab9013710f76e2c66ca66bdad18e2f16ffd67804983df00e,1,0.0,v1,N/A,N/A,True,True,False,False,1.0,False,1981813971,897304369,3095987153
FR2_MB2_PD2_vs_reuenthal_probe_0.50_rep01,v3a,exp_precontact_centroid_probe,probe_0.50,0.5,v2,2,2,2,reuenthal,3,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 4.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,540,0,5,114,121,133,137,100,2.261034493515623,2.2350569859743876,1.1277843658360476,0.8491421471869878,1.7232628522233906,1.7188958525651183,0.0,0.0,0.0259775075412354,0.2786422186490598,0.0043669996582722526,0.002988372726361458,0.003180623011357407,0.01495000930565397,0.006820681779565748,0.0015655432879091008,0.0014333371184480884,False,False,d4084cef6fb44087cb9996ec83b641c16eaf280be5340fb5637257181fa9153f,1,0.0,v3a,exp_precontact_centroid_probe,0.5,True,True,False,False,1.0,False,1981813971,897304369,3095987153
FR2_MB2_PD2_vs_mittermeyer_base_rep01,v1,base,base,1.0,v2,2,2,2,mittermeyer,4,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 4.0, ""mobility_bias"": 9.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,411,30,0,111,119,130,153,100,2.227616819080943,2.0059358719884015,1.1177021989469496,0.8452101786752078,1.7185427212538635,1.729891317076797,0.0,0.0,0.22168094709254138,0.2724920202717418,0.011348595822933571,0.009556011594159995,0.015229197085692023,0.01998664422798948,0.01523781500310646,0.0032517218428595694,0.0035329345482191356,False,False,09c3b80421cd3a4f250c80c25f1bd8edd1d3f11bdb24e88cc916e5af7aeceaa0,1,0.0,v1,N/A,N/A,True,True,False,False,1.0,False,1981813971,897304369,3095987153
FR2_MB2_PD2_vs_mittermeyer_probe_0.50_rep01,v3a,exp_precontact_centroid_probe,probe_0.50,0.5,v2,2,2,2,mittermeyer,4,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 4.0, ""mobility_bias"": 9.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,412,30,0,113,120,132,136,100,2.255409306774425,2.160862463566426,1.053632621320789,0.8525855348708794,1.722701019574111,1.7108721242486118,0.0,0.0,0.09454684320799922,0.20104708644990954,0.011828895325499245,0.0032883275836564233,0.009172084045862398,0.005933435004870114,0.010959821616006801,0.0012917330788505914,0.002295725455314758,False,False,85f9dbec557621c6b5dd705a67becea9e9eac1e3ec57eb718a10154687ae3554,1,0.0,v3a,exp_precontact_centroid_probe,0.5,True,True,False,False,1.0,False,1981813971,897304369,3095987153
FR2_MB2_PD2_vs_bittenfeld_base_rep01,v1,base,base,1.0,v2,2,2,2,bittenfeld,5,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 7.0, ""mobility_bias"": 4.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 9.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,457,15,0,108,116,127,153,100,2.1951705019820866,1.9486904974864463,1.0721628108691297,0.8208592334382689,1.7082183183911253,1.7291659035893803,1.0,35.0,0.24648000449564034,0.25130357743086074,0.020947585198255014,0.01182902236103182,0.02109162172944078,0.016575057404401336,0.021772595754342563,0.0023081997942782768,0.0038707139104957678,False,False,216fc4b1419fd5eccb9764b0cb1619e2f15ab7909c55e0d7699267b473341d1a,1,3.0,v1,N/A,N/A,True,True,False,False,1.0,False,1981813971,897304369,3095987153
FR2_MB2_PD2_vs_bittenfeld_probe_0.50_rep01,v3a,exp_precontact_centroid_probe,probe_0.50,0.5,v2,2,2,2,bittenfeld,5,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 7.0, ""mobility_bias"": 4.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 9.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,412,31,0,111,119,130,135,100,2.251481793501104,2.1188168094084308,1.1365823582381982,0.8457856313921028,1.7211572400011335,1.7039564442936537,0.0,0.0,0.13266498409267324,0.29079672684609537,0.017200795707479788,0.0035882436303020277,0.010884586826353631,0.009652893579947353,0.01054881301854476,0.0013244436210020159,0.0022687731039291795,False,False,91ce6dbaae48660f9db5c270820350621333a780dd1a248df92e7795c429f8d5,1,0.0,v3a,exp_precontact_centroid_probe,0.5,True,True,False,False,1.0,False,1981813971,897304369,3095987153
