cell_FR,cell_MB,cell_PD,opponent_archetype_name,delta_first_contact_tick,delta_first_kill_tick,delta_cut_tick,delta_pocket_tick,delta_A_v2_mean,delta_A_fragmentation_mean,delta_A_dispersion_mean,delta_A_outlier_mass_mean,delta_A_elongation_mean,delta_A_v3_mean,delta_A_c_conn_mean,delta_A_c_scale_mean,delta_A_rho_mean,delta_B_v2_mean,delta_B_v3_mean,delta_B_c_scale_mean,delta_B_rho_mean
2,2,5,kircheis,0.0,-1.0,0.0,1.0,-0.0013515339385966364,0.01629999999999976,-0.008784554217076412,0.0,-0.011277913200999468,-0.01629999999999987,-0.01629999999999987,0.0,-0.002884065405609648,0.021939835842899033,0.044800000000000034,0.0,-0.005702594455325338
2,2,5,reinhard,-1.0,0.0,-1.0,0.0,0.0007833726032873585,0.0036999999999995925,0.003348006046252461,0.0,-0.02408450915526894,-0.003699999999999981,-0.003699999999999981,0.0,-0.0035089797656274735,0.008697800722372015,0.004100000000000076,0.0,-0.005213876258318373
2,2,5,reuenthal,0.0,0.0,0.0,0.0,0.0015794632911176713,-0.004000000000000226,-0.0035887847659006322,0.0,-0.021048455898239116,0.003999999999999976,0.003999999999999976,0.0,-0.0034514153043515017,0.001575073317290409,0.001999999999999974,0.0,-0.0022780106026573654
2,5,5,kircheis,-1.0,-1.0,-1.0,-1.0,0.0008132266568610137,0.0017999999999993577,0.0013810036930092529,0.0,-0.03731381204777284,-0.001800000000000107,-0.001800000000000107,0.0,-0.006107326069824004,0.01624861203401721,0.038599999999999995,0.0,-0.005200699080407767
2,5,5,reinhard,-1.0,-1.0,-1.0,0.0,0.0009855914309091149,-0.0018000000000003569,-0.0021502208654149424,0.0,-0.015328446293683351,0.0018000000000000516,0.0018000000000000516,0.0,-0.003249665945708302,0.008684725154992107,0.02619999999999989,0.0,-0.0030435392916169923
2,5,5,reuenthal,0.0,0.0,0.0,0.0,0.0009503094395179636,-0.007600000000000273,-0.006345835441569747,0.0,0.00044789635520359194,0.007600000000000107,0.007600000000000107,0.0,0.0007892505641806102,-0.0006825288133230131,-0.012999999999999928,0.0,-0.0035677640777676545
2,8,5,kircheis,-1.0,0.0,-1.0,0.0,0.00134981755948178,-0.0006000000000011552,-0.012808874283585459,0.0,-0.03162921561530552,0.0005999999999998229,0.0005999999999998229,0.0,-0.0031131444002268083,0.022101790588778078,0.05379999999999993,0.0,-0.006803492768503561
2,8,5,reinhard,-1.0,0.0,-1.0,0.0,0.006004157769459645,-0.027900000000000036,-0.019759714347312163,0.0,-0.03981058198126475,0.027899999999999953,0.027899999999999953,0.0,-0.0032741673354886314,0.01659223680716153,0.03829999999999992,0.0,-0.0062067095760854896
2,8,5,reuenthal,0.0,0.0,0.0,0.0,-0.00038453927689680034,0.00509999999999966,0.00417441147164721,0.0,-0.019396611315402934,-0.005099999999999966,-0.005099999999999966,0.0,-0.0033290874568868145,0.0033987415343963417,0.020500000000000004,0.0,-0.0018359699273095553
5,2,5,kircheis,-2.0,-2.0,-28.0,-1.0,0.008590504067265255,0.025800000000000045,-0.03463869768222211,0.0,-0.1872791215965336,-0.025800000000000184,-0.025800000000000184,0.0,-0.009836100790443447,0.02834262509874179,0.0637000000000002,0.0,-0.006608782148929571
5,2,5,reinhard,-1.0,-2.0,13.0,0.0,0.007916568191234215,0.00909999999999933,-0.017256483031726666,0.0,-0.1413188653665428,-0.009100000000000136,-0.009100000000000136,0.0,-0.007382426293358224,0.01753604764923361,0.03880000000000003,0.0,-0.0064756408632834495
5,2,5,reuenthal,-2.0,-1.0,28.0,0.0,0.002049492121644944,0.010600000000000498,-0.0058809435494928675,0.0,-0.05505201288695549,-0.010599999999999998,-0.010599999999999998,0.0,-0.004400211987054037,-0.00069949627709592,-0.01620000000000027,0.0,-0.007551717248838297
5,5,2,kircheis,-2.0,-1.0,-2.0,0.0,0.05332594207174769,-0.11230000000000029,-0.02344678815966794,0.0,-0.07884984159068509,0.11230000000000004,0.11230000000000004,0.0,-0.0083182134610984,0.06157175002174133,0.15540000000000007,0.0,-0.009167763434538567
5,5,2,reinhard,-2.0,-1.0,-41.0,64.0,0.0343044635493533,-0.06960000000000022,-0.011827422767296758,0.0,-0.12796637643572728,0.06960000000000016,0.06960000000000016,0.0,-0.008331986695359006,0.013987812149521224,0.02279999999999993,0.0,-0.008348884515194444
5,5,2,reuenthal,-1.0,-1.0,-1.0,-1.0,0.02493994817835734,-0.04799999999999982,-0.023181004203100652,0.0,-0.18203943936681083,0.048000000000000126,0.048000000000000126,0.0,-0.009777878455993094,-0.0011960723826575353,-0.020100000000000215,0.0,-0.0033418199461326403
5,5,5,kircheis,-2.0,-2.0,-2.0,7.0,0.01872521481736305,-0.010100000000000331,-0.037189325713828436,0.0,-0.1539293538378541,0.010100000000000081,0.010100000000000081,0.0,-0.007462902723543885,0.03189913204569408,0.0676,0.0,-0.007834086301528431
5,5,5,reinhard,-2.0,-3.0,-67.0,54.0,0.008585963185035399,0.01949999999999985,-0.03422485174014356,0.0,-0.2001370801171244,-0.01950000000000021,-0.01950000000000021,0.0,-0.009811339267739971,0.02113590864520682,0.04409999999999997,0.0,-0.006457349481084895
5,5,5,reuenthal,-1.0,-1.0,-1.0,0.0,0.004038576473615378,0.0010999999999999899,-0.021682195579179775,0.0,-0.08943787660173963,-0.001100000000000101,-0.001100000000000101,0.0,-0.006494106396749744,-0.0008148415489380324,-0.010100000000000109,0.0,-0.004747862350518051
5,5,8,kircheis,-1.0,-1.0,29.0,16.0,0.008996817068404113,-0.01670000000000038,-0.012424127686536446,0.0,-0.09469374725418767,0.0166999999999998,0.0166999999999998,0.0,-0.0055190396362053695,0.03144416906019406,0.06839999999999988,0.0,-0.00732257136249731
5,5,8,reinhard,-2.0,-1.0,-39.0,0.0,0.005307889423789541,-0.000800000000000245,-0.013587100171253086,0.0,-0.07519760619281413,0.0008000000000000507,0.0008000000000000507,0.0,-0.0046890449903239095,0.012558143461489361,0.01849999999999985,0.0,-0.007370864190925974
5,5,8,reuenthal,-1.0,-1.0,-25.0,0.0,0.0012379071186956747,0.012900000000000134,-0.0017003329181383697,0.0,-0.04737892027676771,-0.012900000000000023,-0.012900000000000023,0.0,-0.004094509035997396,-0.0026731178467985714,-0.03470000000000002,0.0,-0.00436710226110687
5,8,5,kircheis,-2.0,-1.0,-2.0,9.0,0.023638249140666527,-0.05700000000000016,-0.01911926382798601,0.0,-0.1597627445165704,0.05699999999999991,0.05699999999999991,0.0,-0.007959972836384333,0.044165696431979165,0.10170000000000026,0.0,-0.008229811305229984
5,8,5,reinhard,-2.0,-1.0,-30.0,0.0,0.015122643372245212,-0.022199999999999998,-0.030739286657301967,0.0,-0.18821171553378158,0.022200000000000025,0.022200000000000025,0.0,-0.008001863552661026,0.00951106306124095,0.01559999999999992,0.0,-0.00734419445928397
5,8,5,reuenthal,0.0,0.0,0.0,0.0,0.014465751800853337,-0.04939999999999989,-0.012222064049832393,0.0,-0.056737716574422836,0.049399999999999944,0.049399999999999944,0.0,-0.0032946827555430103,-0.0004925081730000405,-0.019700000000000065,0.0,-0.006205826265674064
8,2,5,kircheis,-2.0,-3.0,-2.0,5.0,0.06404953265278893,-0.13819999999999977,-0.0005766614105439105,0.0,-0.02374871180103394,0.13820000000000027,0.13820000000000027,0.0,-0.008164143697907689,0.07111577026619625,0.2079000000000002,0.0,-0.009116867029337616
8,2,5,reinhard,-2.0,-1.0,-2.0,13.0,0.03470672770207541,-0.04359999999999986,-0.010946147430295095,0.0,-0.09193025579133146,0.04360000000000008,0.04360000000000008,0.0,-0.007076774295682764,0.021461873109684983,0.04670000000000002,0.0,-0.0078302496757226
8,2,5,reuenthal,-1.0,-1.0,-1.0,-1.0,0.012231570784721514,-0.000800000000000356,-0.0062468251136687525,0.0,-0.08121231162483927,0.0008000000000000784,0.0008000000000000784,0.0,-0.004266684055321601,-0.002873929542294285,-0.029700000000000074,0.0,-0.005241243342499868
8,5,5,kircheis,-3.0,-3.0,-3.0,8.0,0.06385507221778822,-0.20069999999999988,0.012541156704918344,0.0,0.03247038148799658,0.20070000000000027,0.20070000000000027,0.0,-0.008529889337605567,0.0746875268811028,0.23380000000000006,0.0,-0.009712107604388953
8,5,5,reinhard,-2.0,-1.0,-2.0,9.0,0.03810742568554115,-0.0677000000000001,0.006862806666234067,0.0,-0.04109998186959679,0.0677000000000001,0.0677000000000001,0.0,-0.005820261828120954,0.026240007127213506,0.05989999999999995,0.0,-0.007828663412184522
8,5,5,reuenthal,-1.0,-1.0,-1.0,-1.0,0.006614746727515691,0.014399999999999746,0.0037380229110727248,0.0,-0.07764375089469167,-0.014399999999999857,-0.014399999999999857,0.0,-0.004699903786283488,-0.0007787559087897491,-0.019300000000000164,0.0,-0.006355364320898282
8,8,5,kircheis,-2.0,-2.0,-2.0,-12.0,0.053497202898731375,-0.17949999999999988,0.026675843042006375,0.0,0.024577516963662005,0.17950000000000016,0.17950000000000016,0.0,-0.006466594163063388,0.06578730236110501,0.19450000000000003,0.0,-0.010139327140729237
8,8,5,reinhard,-2.0,-1.0,-2.0,-1.0,0.04566735476512719,-0.10379999999999978,0.013755153430950462,0.0,0.002175478235783901,0.10379999999999989,0.10379999999999989,0.0,-0.006325965851978754,0.025868028602946326,0.057499999999999885,0.0,-0.007329471279714728
8,8,5,reuenthal,-1.0,-1.0,-1.0,0.0,0.018779751583784046,-0.04480000000000006,0.001977709215816248,0.0,-0.04131657130712868,0.04480000000000006,0.04480000000000006,0.0,-0.0046011522016981,0.002629512123271319,0.006799999999999973,0.0,-0.004278639265351658
