tick,v2_A_cohesion_v2,v2_A_fragmentation,v2_A_dispersion,v2_A_outlier_mass,v2_A_elongation,v2_A_c_v3,v2_A_c_conn,v2_A_c_scale,v2_A_rho,v2_B_cohesion_v2,v2_B_fragmentation,v2_B_dispersion,v2_B_outlier_mass,v2_B_elongation,v2_B_c_v3,v2_B_c_conn,v2_B_c_scale,v2_B_rho,v3_test_A_cohesion_v2,v3_test_A_fragmentation,v3_test_A_dispersion,v3_test_A_outlier_mass,v3_test_A_elongation,v3_test_A_c_v3,v3_test_A_c_conn,v3_test_A_c_scale,v3_test_A_rho,v3_test_B_cohesion_v2,v3_test_B_fragmentation,v3_test_B_dispersion,v3_test_B_outlier_mass,v3_test_B_elongation,v3_test_B_c_v3,v3_test_B_c_conn,v3_test_B_c_scale,v3_test_B_rho
1,0.11072014605024239,0.08999999999999997,0.4023675019402526,0.0,0.7964125268285901,0.91,0.91,1.0,0.46636093764694186,0.02568259558347097,0.79,0.39751897340310005,0.0,0.7970092520625879,0.21,0.21,1.0,0.4672238654807761,0.10954905673329518,0.09999999999999998,0.40257917680010247,0.0,0.7962555548429926,0.9,0.9,1.0,0.4661980866558871,0.025725554683196705,0.79,0.39969821918945536,0.0,0.7959315709789349,0.21,0.21,1.0,0.4660834567415314
2,0.05590873587297296,0.53,0.409097194331525,0.0,0.7986898081454065,0.47,0.47,1.0,0.4683273554210207,0.0743509907266181,0.39,0.409271529891994,0.0,0.7936668432091127,0.61,0.61,1.0,0.4642733154740042,0.08324114618653133,0.30000000000000004,0.4109676680310598,0.0,0.7981164756676096,0.7,0.7,1.0,0.467540555016796,0.08603656081841249,0.30000000000000004,0.4145294382815483,0.0,0.7900673737771323,0.7,0.7,1.0,0.46038226363185475
3,0.10158166443755279,0.15000000000000002,0.4036635972701601,0.0,0.7995966035819735,0.85,0.85,1.0,0.4682241971674551,0.05939434561166945,0.51,0.4153917974065017,0.0,0.7926595116350408,0.49,0.49,1.0,0.46373542180043215,0.09845847895606108,0.18000000000000005,0.40556252083501076,0.0,0.7980085038232456,0.82,0.82,1.0,0.46565889092104873,0.08350817864786975,0.31999999999999995,0.4251201198308283,0.0,0.7863794693349537,0.68,0.68,1.0,0.4575978160511598
4,0.06967575710148399,0.41000000000000003,0.4126652255350586,0.0,0.798931531562352,0.59,0.59,1.0,0.4679050568558152,0.08809484739925644,0.28,0.4132224628553103,0.0,0.7914815292409207,0.72,0.72,1.0,0.46294762854533084,0.09716910602009898,0.18999999999999995,0.4122513608747286,0.0,0.7958959812095722,0.81,0.81,1.0,0.46427091704235357,0.07299051023433456,0.43000000000000005,0.40954497393892775,0.0,0.7831273829928278,0.57,0.57,1.0,0.45525885158235396
5,0.0407212040311854,0.6599999999999999,0.4080029506370958,0.0,0.7976877633436895,0.34,0.34,1.0,0.46747457726011676,0.04592759383072953,0.63,0.40741440279296104,0.0,0.7905304608144632,0.37,0.37,1.0,0.46260534056127084,0.07504168100147757,0.38,0.41522853255627146,0.0,0.7930217596177964,0.62,0.62,1.0,0.4626969939409438,0.0794265993493698,0.39,0.41109749989915,0.0,0.7788979671597565,0.61,0.61,1.0,0.4532139210161861
6,0.08309798924280098,0.31000000000000005,0.4071955696562547,0.0,0.7968438454517055,0.69,0.69,1.0,0.46703362301623486,0.08142745129100248,0.35,0.40542619743869623,0.0,0.7893062199402212,0.65,0.65,1.0,0.4620745815306943,0.07837809640273696,0.36,0.41975831204425895,0.0,0.7889400603725362,0.64,0.64,1.0,0.4604714277169494,0.07648778450754978,0.41000000000000003,0.4257402983749611,0.0,0.7742479363294954,0.59,0.59,1.0,0.4514134472857993
7,0.06270712053479577,0.47,0.41893230473514875,0.0,0.7963828952668978,0.53,0.53,1.0,0.4665922471414811,0.051153886289329265,0.5900000000000001,0.4089895536313589,0.0,0.7888944652636223,0.41,0.41,1.0,0.4620139916356048,0.0742784413572537,0.4,0.42073189956813417,0.0,0.7862865188506082,0.6,0.6,1.0,0.45917175350095835,0.07558483277152062,0.43000000000000005,0.42335922898866063,0.0,0.7700388587819954,0.57,0.57,1.0,0.4500079575360917
8,0.05167051877622364,0.5700000000000001,0.4128765628421561,0.0,0.7953343546704588,0.43,0.43,1.0,0.46588451968302297,0.046393668812620636,0.63,0.4121905989950302,0.0,0.7866854564187145,0.37,0.37,1.0,0.4612940063685926,0.07601069530966442,0.39,0.4261651054179054,0.0,0.7828509586895969,0.61,0.61,1.0,0.457471668207224,0.05609977115179943,0.5900000000000001,0.4175501413258902,0.0,0.7650807050793739,0.41,0.41,1.0,0.4483703558503175
9,0.06271475286461425,0.48,0.4123895026181922,0.0,0.7947529962317076,0.52,0.52,1.0,0.4658625133000366,0.05469979766340627,0.5700000000000001,0.409189939461546,0.0,0.7846874312542556,0.43,0.43,1.0,0.46055193967421015,0.07034905832590843,0.43999999999999995,0.428972250255355,0.0,0.7800048798061057,0.56,0.56,1.0,0.4566317350302246,0.07150331090015993,0.49,0.414568825791659,0.0,0.7605139996481027,0.51,0.51,1.0,0.4469371235727796
10,0.06572939050923066,0.45999999999999996,0.4064694152753422,0.0,0.7949202675173355,0.54,0.54,1.0,0.46617259359396,0.061410782763852256,0.52,0.4134789790713017,0.0,0.7818677827515091,0.48,0.48,1.0,0.45935625080716136,0.060795654421064715,0.54,0.4131143978324625,0.0,0.774803699997703,0.46,0.46,1.0,0.4544892524654666,0.08594059248205199,0.39,0.42348853837560396,0.0,0.7556228686473524,0.61,0.61,1.0,0.4460934704264762
