runtime_decision_source_effective,semantic_connectivity_multiplier,cell_FR,cell_MB,cell_PD,runs,first_contact_tick_mean,cut_tick_mean,pocket_tick_mean,first_deep_pursuit_tick_A_mean,pct_ticks_deep_pursuit_A_mean,mean_enemy_collapse_signal_A_mean,A_v2_mean_mean,A_fragmentation_mean_mean,A_v3_mean_mean,A_c_conn_mean_mean,anomaly_count
v2,1.0,2,2,5,1,112.0,131.0,136.0,1.0,98.87892376681614,0.8896800029312015,0.021564299535506218,0.8234,0.17659999999999992,0.17659999999999992,0
v2,1.0,2,5,5,1,112.0,131.0,136.0,1.0,98.1981981981982,0.8755424244006753,0.018092489913036965,0.8552000000000003,0.1448,0.1448,0
v2,1.0,2,8,5,1,112.0,131.0,137.0,1.0,99.54648526077098,0.8866228245026527,0.018501610551758495,0.8561000000000001,0.14390000000000008,0.14390000000000008,0
v2,1.0,5,2,5,1,110.0,188.0,136.0,1.0,98.15242494226328,0.8958039368177354,0.03562735893409132,0.7626000000000002,0.23740000000000006,0.23740000000000006,1
v2,1.0,5,5,5,1,111.0,195.0,136.0,1.0,100.0,0.9019523943375091,0.03732148887798909,0.7663000000000001,0.23370000000000019,0.23370000000000019,1
v2,1.0,5,8,5,1,111.0,158.0,136.0,1.0,97.9633401221996,0.8888046578423974,0.034347611486135986,0.8014,0.19859999999999992,0.19859999999999992,1
v2,1.0,8,2,5,1,109.0,128.0,137.0,1.0,100.0,0.9193755197485942,0.05998807778016544,0.7258,0.27419999999999994,0.27419999999999994,0
v2,1.0,8,5,5,1,109.0,128.0,135.0,1.0,94.30485762144053,0.8565099346304609,0.057378397888566024,0.7471000000000001,0.25289999999999985,0.25289999999999985,0
v2,1.0,8,8,5,1,109.0,128.0,136.0,1.0,99.77272727272727,0.9058147734190264,0.07080678587005788,0.7425,0.2574999999999999,0.2574999999999999,0
v2,1.5,2,2,5,1,112.0,131.0,136.0,1.0,52.73972602739726,0.6134631139050032,0.13582174314787343,0.0,0.20629999999999987,0.20629999999999987,0
v2,1.5,2,5,5,1,111.0,130.0,136.0,1.0,52.27272727272727,0.5875704344011299,0.15172621124165298,0.0,0.1901999999999999,0.1901999999999999,0
v2,1.5,2,8,5,1,112.0,133.0,136.0,1.0,64.69194312796209,0.6213925652679065,0.15600378844629986,0.0,0.14469999999999997,0.14469999999999997,0
v2,1.5,5,2,5,1,109.0,128.0,176.0,1.0,83.04721030042919,0.6797098332747047,0.2727321431300928,0.0,0.3375,0.3375,0
v2,1.5,5,5,5,1,109.0,128.0,143.0,1.0,78.83495145631068,0.6748370779915519,0.28923492809893075,0.0,0.29980000000000007,0.29980000000000007,0
v2,1.5,5,8,5,1,109.0,128.0,140.0,1.0,74.949083503055,0.63204623993581,0.32394939807042633,0.0,0.27,0.27,0
v2,1.5,8,2,5,1,107.0,126.0,152.0,1.0,84.0,0.7144353466462047,0.31710229137955737,0.0006000000000000005,0.40809999999999996,0.40809999999999996,0
v2,1.5,8,5,5,1,107.0,126.0,135.0,1.0,61.53846153846154,0.6214567168306387,0.30457225709732744,0.0,0.41229999999999983,0.41229999999999983,0
v2,1.5,8,8,5,1,107.0,126.0,139.0,1.0,74.19354838709677,0.6501542479832304,0.30408346227694866,0.0,0.4598,0.4598,0
v2,2.0,2,2,5,1,112.0,131.0,136.0,1.0,63.10043668122271,0.6285433326962621,0.13582174314787343,0.0,0.20629999999999987,0.20629999999999987,0
