runtime_decision_source_effective,cell_FR,cell_MB,cell_PD,opponent_archetype_name,multiplier_level,delta_first_contact_tick,delta_cut_tick,delta_pocket_tick,delta_first_deep_pursuit_tick_A,delta_pct_ticks_deep_pursuit_A,delta_mean_enemy_collapse_signal_A,delta_A_v2_mean,delta_A_fragmentation_mean,delta_A_v3_mean,delta_A_c_conn_mean
v2,2,2,5,reinhard,1.5,0.0,0.0,0.0,0.0,-46.13919773941888,-0.27621688902619834,0.11425744361236721,-0.8234,0.02969999999999995,0.02969999999999995
v2,2,5,5,reinhard,1.5,-1.0,-1.0,0.0,0.0,-45.925470925470925,-0.28797198999954543,0.133633721328616,-0.8552000000000003,0.045399999999999885,0.045399999999999885
v2,2,8,5,reinhard,1.5,0.0,2.0,-1.0,0.0,-34.85454213280889,-0.2652302592347462,0.13750217789454136,-0.8561000000000001,0.0007999999999998841,0.0007999999999998841
v2,5,2,5,reinhard,1.5,-1.0,-60.0,40.0,0.0,-15.105214641834095,-0.2160941035430307,0.23710478419600148,-0.7626000000000002,0.10009999999999997,0.10009999999999997
v2,5,5,5,reinhard,1.5,-2.0,-67.0,7.0,0.0,-21.165048543689323,-0.22711531634595716,0.25191343922094167,-0.7663000000000001,0.06609999999999988,0.06609999999999988
v2,5,8,5,reinhard,1.5,-2.0,-30.0,4.0,0.0,-23.014256619144604,-0.2567584179065874,0.28960178658429037,-0.8014,0.0714000000000001,0.0714000000000001
v2,8,2,5,reinhard,1.5,-2.0,-2.0,15.0,0.0,-16.0,-0.20494017310238954,0.2571142135993919,-0.7252,0.13390000000000002,0.13390000000000002
v2,8,5,5,reinhard,1.5,-2.0,-2.0,0.0,0.0,-32.76639608297899,-0.23505321779982213,0.2471938592087614,-0.7471000000000001,0.1594,0.1594
v2,8,8,5,reinhard,1.5,-2.0,-2.0,3.0,0.0,-25.579178885630498,-0.255660525435796,0.23327667640689076,-0.7425,0.2023000000000001,0.2023000000000001
v2,2,2,5,reinhard,2.0,0.0,0.0,0.0,0.0,-35.77848708559343,-0.26113667023493947,0.11425744361236721,-0.8234,0.02969999999999995,0.02969999999999995
v2,2,5,5,reinhard,2.0,-1.0,-1.0,0.0,0.0,-34.96290408055114,-0.22869983962516427,0.133633721328616,-0.8552000000000003,0.045399999999999885,0.045399999999999885
v2,2,8,5,reinhard,2.0,0.0,0.0,-1.0,0.0,-34.619554154299166,-0.2716622543134559,0.13750217789454136,-0.8561000000000001,0.0007999999999998841,0.0007999999999998841
v2,5,2,5,reinhard,2.0,-1.0,-60.0,0.0,0.0,-16.089644673204987,-0.22666209359623957,0.23710478419600148,-0.7626000000000002,0.10009999999999997,0.10009999999999997
v2,5,5,5,reinhard,2.0,-2.0,-67.0,5.0,0.0,-32.50517598343686,-0.2720233842434646,0.25191343922094167,-0.7663000000000001,0.06609999999999988,0.06609999999999988
v2,5,8,5,reinhard,2.0,-2.0,-30.0,4.0,0.0,-27.830596759367737,-0.27420618640540395,0.28960178658429037,-0.8014,0.0714000000000001,0.0714000000000001
v2,8,2,5,reinhard,2.0,-2.0,-2.0,39.0,0.0,-23.643410852713174,-0.293577081883758,0.2577301832235768,-0.7258,0.13360000000000022,0.13360000000000022
v2,8,5,5,reinhard,2.0,-2.0,-2.0,0.0,0.0,-14.476531441183027,-0.1685657039009385,0.2471938592087614,-0.7471000000000001,0.1594,0.1594
v2,8,8,5,reinhard,2.0,-2.0,-2.0,7.0,0.0,-31.908033826638473,-0.3128331479976342,0.23327667640689076,-0.7425,0.2023000000000001,0.2023000000000001
v2,2,2,5,reinhard,2.5,0.0,0.0,0.0,0.0,-37.79196724507701,-0.26105239205334807,0.11425744361236721,-0.8234,0.02969999999999995,0.02969999999999995
v2,2,5,5,reinhard,2.5,-1.0,-1.0,0.0,0.0,-48.31367163930675,-0.27820956084593496,0.133633721328616,-0.8552000000000003,0.045399999999999885,0.045399999999999885
v2,2,8,5,reinhard,2.5,0.0,0.0,-1.0,0.0,-28.62449944516814,-0.25363774333035227,0.13750217789454136,-0.8561000000000001,0.0007999999999998841,0.0007999999999998841
v2,5,2,5,reinhard,2.5,-1.0,-60.0,0.0,0.0,-26.812218756696268,-0.2637414146975906,0.23710478419600148,-0.7626000000000002,0.10009999999999997,0.10009999999999997
v2,5,5,5,reinhard,2.5,-2.0,-67.0,51.0,0.0,-26.93156732891832,-0.24204105332754422,0.25191343922094167,-0.7663000000000001,0.06609999999999988,0.06609999999999988
v2,5,8,5,reinhard,2.5,-2.0,-30.0,4.0,0.0,-23.861260727114527,-0.2301802714298271,0.28960178658429037,-0.8014,0.0714000000000001,0.0714000000000001
v2,8,2,5,reinhard,2.5,-2.0,-2.0,33.0,0.0,-19.831223628691987,-0.27056269019805923,0.2577301832235768,-0.7258,0.13360000000000022,0.13360000000000022
v2,8,5,5,reinhard,2.5,-2.0,-2.0,0.0,0.0,-29.78872858918247,-0.23185301535868363,0.2471938592087614,-0.7471000000000001,0.1594,0.1594
v2,8,8,5,reinhard,2.5,-2.0,-2.0,7.0,0.0,-43.392216831892,-0.328941668264244,0.23327667640689076,-0.7425,0.2023000000000001,0.2023000000000001
v2,2,2,5,reinhard,3.0,0.0,0.0,0.0,0.0,-37.79196724507701,-0.26105239205334807,0.11425744361236721,-0.8234,0.02969999999999995,0.02969999999999995
v2,2,5,5,reinhard,3.0,-1.0,-1.0,0.0,0.0,-52.78876891780118,-0.27930093458824257,0.133633721328616,-0.8552000000000003,0.045399999999999885,0.045399999999999885
v2,2,8,5,reinhard,3.0,0.0,0.0,-1.0,0.0,-45.7490169063406,-0.29945549939670957,0.13750217789454136,-0.8561000000000001,0.0007999999999998841,0.0007999999999998841
v2,5,2,5,reinhard,3.0,-1.0,-60.0,0.0,0.0,-14.47473899185006,-0.22081046089622347,0.23710478419600148,-0.7626000000000002,0.10009999999999997,0.10009999999999997
v2,5,5,5,reinhard,3.0,-2.0,-67.0,51.0,0.0,-33.61884368308351,-0.2776765997137076,0.25191343922094167,-0.7663000000000001,0.06609999999999988,0.06609999999999988
v2,5,8,5,reinhard,3.0,-2.0,-30.0,4.0,0.0,-20.262190696912242,-0.23911460641437332,0.28960178658429037,-0.8014,0.0714000000000001,0.0714000000000001
v2,8,2,5,reinhard,3.0,-2.0,-2.0,33.0,0.0,-26.829268292682926,-0.26920811402107037,0.2577301832235768,-0.7258,0.13360000000000022,0.13360000000000022
v2,8,5,5,reinhard,3.0,-2.0,-2.0,0.0,0.0,-29.796464336068837,-0.21630371894661315,0.2471938592087614,-0.7471000000000001,0.1594,0.1594
v2,8,8,5,reinhard,3.0,-2.0,-2.0,7.0,0.0,-22.448464234178516,-0.2512896117621469,0.23327667640689076,-0.7425,0.2023000000000001,0.2023000000000001
v3_test,2,2,5,reinhard,1.1,-1.0,-1.0,0.0,402.0,-63.93736257401445,-0.4163530862312638,0.0011391947230324773,-0.0015999999999994907,0.8061999999999997,0.8061999999999997
v3_test,2,5,5,reinhard,1.1,-1.0,-1.0,0.0,239.0,-71.27785497401061,-0.42659385869092803,0.005806275684011781,-0.02739999999999998,0.7516,0.7516
v3_test,2,8,5,reinhard,1.1,-1.0,-1.0,-1.0,300.0,-59.18141592920354,-0.40524839257324013,-0.0010890656386167395,0.019199999999999773,0.6220999999999997,0.6220999999999997
v3_test,5,2,5,reinhard,1.1,-2.0,-75.0,28.0,251.0,-51.38447971781305,-0.3638279859341631,0.03336697131412003,-0.04549999999999932,0.6285000000000002,0.6285000000000002
v3_test,5,5,5,reinhard,1.1,-2.0,-2.0,-18.0,371.0,-79.03561677644265,-0.4450290819309296,0.0420215677740601,-0.09939999999999993,0.6441,0.6441
v3_test,5,8,5,reinhard,1.1,-1.0,-1.0,35.0,172.0,-63.15934065934066,-0.39237829829444504,0.046185006022622675,-0.09989999999999999,0.6084999999999998,0.6084999999999998
v3_test,8,2,5,reinhard,1.1,-1.0,-1.0,16.0,151.0,-67.04269598743396,-0.44348203330772007,0.05665093108198482,-0.22990000000000005,0.5911999999999997,0.5911999999999997
v3_test,8,5,5,reinhard,1.1,-1.0,-1.0,-8.0,251.0,-71.33626873794093,-0.3962579225661143,0.04692092022892022,-0.20880000000000004,0.5586999999999998,0.5586999999999998
v3_test,8,8,5,reinhard,1.1,-1.0,-1.0,47.0,198.0,-61.769578313253014,-0.37503418484948287,0.04537655154565723,-0.19410000000000027,0.5055000000000001,0.5055000000000001
v3_test,2,2,5,reinhard,1.2,-1.0,-1.0,0.0,417.0,-67.27530450567552,-0.5663998424986916,0.0011391947230324773,-0.0015999999999994907,0.8264000000000001,0.8264000000000001
v3_test,2,5,5,reinhard,1.2,-1.0,-1.0,0.0,461.0,-73.63527643721955,-0.5352666570989879,0.005633762559551721,-0.026799999999999935,0.8507999999999993,0.8507999999999993
v3_test,2,8,5,reinhard,1.2,-1.0,-1.0,-1.0,338.0,-57.83799533799534,-0.4525051517602585,-0.00044689533181342667,0.016399999999999415,0.8208999999999997,0.8208999999999997
v3_test,5,2,5,reinhard,1.2,-2.0,-75.0,8.0,395.0,-62.698584856936264,-0.4879927288415433,0.03336697131412003,-0.04549999999999932,0.7340000000000007,0.7340000000000007
v3_test,5,5,5,reinhard,1.2,-2.0,-2.0,8.0,309.0,-77.05284457202015,-0.4975813605949809,0.05124763185876256,-0.11679999999999957,0.7461000000000003,0.7461000000000003
v3_test,5,8,5,reinhard,1.2,-1.0,-1.0,83.0,374.0,-80.63805759457934,-0.6054137359296812,0.05092876674145625,-0.1106999999999998,0.7379999999999998,0.7379999999999998
v3_test,8,2,5,reinhard,1.2,-1.0,-1.0,16.0,nan,-69.50354609929079,-0.547585691230535,0.05665093108198482,-0.22990000000000005,0.6635744002112804,0.6635999999999997
v3_test,8,5,5,reinhard,1.2,-1.0,-1.0,-8.0,351.0,-87.76422764227642,-0.6113462575792926,0.04692092022892022,-0.20880000000000004,0.6466603840126846,0.6466999999999998
v3_test,8,8,5,reinhard,1.2,-1.0,-1.0,47.0,492.0,-69.28028318808832,-0.5018237248194224,0.04537655154565723,-0.19410000000000027,0.5918264864907774,0.5918999999999994
v3_test,2,2,5,reinhard,1.3,-1.0,-1.0,0.0,411.0,-67.24192796826877,-0.5903043291029709,0.0011391947230324773,-0.0015999999999994907,0.8269998120888559,0.8270000000000002
v3_test,2,5,5,reinhard,1.3,-1.0,-1.0,0.0,424.0,-73.54887090726562,-0.5772949618379892,0.005633762559551721,-0.026799999999999935,0.8523967228144661,0.8523999999999996
v3_test,2,8,5,reinhard,1.3,-1.0,-1.0,-1.0,nan,-62.5,-0.5806574500183966,-0.00044689533181342667,0.016399999999999415,0.8266780661852561,0.8266999999999993
v3_test,5,2,5,reinhard,1.3,-2.0,-75.0,8.0,403.0,-63.57142857142857,-0.5380208478648032,0.03336697131412003,-0.04549999999999932,0.7633009147997859,0.7647999999999994
v3_test,5,5,5,reinhard,1.3,-2.0,-2.0,8.0,395.0,-81.65940950303687,-0.5692190570340397,0.05124763185876256,-0.11679999999999957,0.7779980628551898,0.7793999999999992
v3_test,5,8,5,reinhard,1.3,-1.0,-1.0,83.0,482.0,-79.57046332046332,-0.5663680621753773,0.05092876674145625,-0.1106999999999998,0.7744544593885077,0.7756999999999992
v3_test,8,2,5,reinhard,1.3,-1.0,-1.0,16.0,nan,-69.50354609929079,-0.6066116857651258,0.05665093108198482,-0.22990000000000005,0.6750027679537873,0.6776999999999997
v3_test,8,5,5,reinhard,1.3,-1.0,-1.0,-8.0,nan,-88.78048780487805,-0.6656804367779845,0.04692092022892022,-0.20880000000000004,0.6725518935030532,0.6753999999999993
v3_test,8,8,5,reinhard,1.3,-1.0,-1.0,47.0,436.0,-69.0714075815457,-0.5563871601660654,0.04537655154565723,-0.19410000000000027,0.6215389849808084,0.6244999999999996
v3_test,2,2,5,reinhard,1.4,-1.0,-1.0,0.0,416.0,-67.1397474029053,-0.62076259322339,0.0011391947230324773,-0.0015999999999994907,0.8250746289135957,0.8271000000000001
v3_test,2,5,5,reinhard,1.4,-1.0,-1.0,0.0,nan,-75.85301837270342,-0.6587593809211725,0.005633762559551721,-0.026799999999999935,0.8513212685853071,0.8533999999999999
v3_test,2,8,5,reinhard,1.4,-1.0,-1.0,-1.0,nan,-62.5,-0.6087802589026974,-0.00044689533181342667,0.016399999999999415,0.8255546399916481,0.8279999999999998
v3_test,5,2,5,reinhard,1.4,-2.0,-75.0,8.0,403.0,-63.56626381572151,-0.565483206506171,0.03336697131412003,-0.04549999999999932,0.7612745724283332,0.7702999999999993
v3_test,5,5,5,reinhard,1.4,-2.0,-2.0,8.0,454.0,-81.85969747468273,-0.6336656903718141,0.05124763185876256,-0.11679999999999957,0.7768892834590239,0.7857
v3_test,5,8,5,reinhard,1.4,-1.0,-1.0,83.0,nan,-81.42857142857143,-0.6872026159740177,0.05092876674145625,-0.1106999999999998,0.7707100289980586,0.7790999999999999
v3_test,8,2,5,reinhard,1.4,-1.0,-1.0,16.0,nan,-69.50354609929079,-0.6257016369539897,0.05665093108198482,-0.22990000000000005,0.6708110032735326,0.6819999999999999
v3_test,8,5,5,reinhard,1.4,-1.0,-1.0,-8.0,nan,-88.78048780487805,-0.7029885636193256,0.04692092022892022,-0.20880000000000004,0.6678445019053345,0.6792
v3_test,8,8,5,reinhard,1.4,-1.0,-1.0,47.0,nan,-69.47791164658635,-0.6062997058147299,0.04537655154565723,-0.19410000000000027,0.6237885195692796,0.6352999999999998
v3_test,2,2,5,reinhard,1.5,-1.0,-1.0,0.0,409.0,-67.23059003551404,-0.6330599268116388,0.0011391947230324773,-0.0015999999999994907,0.8174384816798103,0.8271000000000001
v3_test,2,5,5,reinhard,1.5,-1.0,-1.0,0.0,582.0,-74.16382918351422,-0.6013490561360101,0.005633762559551721,-0.026799999999999935,0.8436990586107503,0.8533999999999999
v3_test,2,8,5,reinhard,1.5,-1.0,-1.0,-1.0,nan,-62.5,-0.6126852156065777,-0.00044689533181342667,0.016399999999999415,0.8179481385955745,0.8281999999999999
v3_test,5,2,5,reinhard,1.5,-2.0,-75.0,8.0,449.0,-63.77373171490818,-0.5939964467092064,0.03336697131412003,-0.04549999999999932,0.7507127644641258,0.7717
v3_test,5,5,5,reinhard,1.5,-2.0,-2.0,8.0,445.0,-81.81706769067364,-0.6526579922269801,0.05124763185876256,-0.11679999999999957,0.765135513090319,0.7858
v3_test,5,8,5,reinhard,1.5,-1.0,-1.0,83.0,nan,-81.42857142857143,-0.6821809803048656,0.05092876674145625,-0.1106999999999998,0.7591388487473467,0.7792000000000001
v3_test,8,2,5,reinhard,1.5,-1.0,-1.0,16.0,nan,-69.50354609929079,-0.6452546745893684,0.05665093108198482,-0.22990000000000005,0.6583927271671581,0.6821999999999999
v3_test,8,5,5,reinhard,1.5,-1.0,-1.0,-8.0,nan,-88.78048780487805,-0.7152585712212343,0.04692092022892022,-0.20880000000000004,0.6554160472112653,0.6794
v3_test,8,8,5,reinhard,1.5,-1.0,-1.0,47.0,nan,-69.47791164658635,-0.6257282256408734,0.04537655154565723,-0.19410000000000027,0.6143804590262707,0.6386000000000001
