run_id,seed_profile_id,opponent_archetype_name,runtime_decision_source_effective,semantic_connectivity_multiplier,v2_connect_radius_multiplier,v3_connect_radius_multiplier,v3_r_ref_radius_multiplier,movement_model_requested,movement_model_effective,movement_v3a_experiment_effective,centroid_probe_scale_effective,cell_FR,cell_MB,cell_PD,random_seed_effective,background_map_seed_effective,metatype_random_seed_effective,first_contact_tick,first_kill_tick,cut_tick,pocket_tick,first_deep_pursuit_tick_A,first_deep_pursuit_tick_B,pct_ticks_deep_pursuit_A,pct_ticks_deep_pursuit_B,mean_pursuit_intensity_A,mean_pursuit_intensity_B,mean_enemy_collapse_signal_A,mean_enemy_collapse_signal_B,p95_enemy_collapse_signal_A,p95_enemy_collapse_signal_B,ar_forward_p90_A,wedge_ratio_p10_A,split_separation_p90_A,missing_cut,pocket_without_cut,event_order_anomaly,A_v2_mean,A_fragmentation_mean,A_dispersion_mean,A_elongation_mean,A_v3_mean,A_c_conn_mean,A_c_scale_mean,A_rho_mean,B_v2_mean,B_fragmentation_mean,B_dispersion_mean,B_elongation_mean,B_v3_mean,B_c_conn_mean,B_c_scale_mean,B_rho_mean,determinism_digest
FR2_MB2_PD5_reinhard_v2_m1.0,SP01,reinhard,v2,1.0,1.0,1.0,1.0,baseline,v3a,exp_precontact_centroid_probe,0.5,2,2,5,1981813971,897304369,3095987153,112,119,131,136,1,1,98.87892376681614,100.0,0.7657934595100028,0.9055622348210101,0.8896800029312015,0.9370414898806718,0.9939121684105473,0.9919797454920757,2.2460315042921284,1.1056700035128777,1.7204239620670982,False,False,False,0.021564299535506218,0.8234,0.4029691608549477,0.7862735378395506,0.17659999999999992,0.17659999999999992,1.0,0.469671648407445,0.032549998396873406,0.8267999999999998,0.3614620655670664,0.6069533092328645,0.17319999999999997,0.17319999999999997,1.0,0.4499866945602273,5be0f4cf89b180c1fb3c135c349724e4ab5066c5ef991d26a3969b5bc9bc3fb3
FR2_MB5_PD5_reinhard_v2_m1.0,SP01,reinhard,v2,1.0,1.0,1.0,1.0,baseline,v3a,exp_precontact_centroid_probe,0.5,2,5,5,1981813971,897304369,3095987153,112,120,131,136,1,1,98.1981981981982,100.0,0.7424929774240417,0.9265113835778424,0.8755424244006753,0.9510075890518941,0.9844093093312674,0.9906347180662459,2.2677954625255174,1.0533718292415855,1.7197841118210406,False,False,False,0.018092489913036965,0.8552000000000003,0.4105896118475048,0.7800404909481606,0.1448,0.1448,1.0,0.47252049180181893,0.032846488168178437,0.8394999999999999,0.35476512981125163,0.5821305049078939,0.1605000000000001,0.1605000000000001,1.0,0.4488722084779424,cb2c1138c0a2ad5ae41d15ee127e6a91505288c66f0046b30f61e17c621a6d3d
FR2_MB8_PD5_reinhard_v2_m1.0,SP01,reinhard,v2,1.0,1.0,1.0,1.0,baseline,v3a,exp_precontact_centroid_probe,0.5,2,8,5,1981813971,897304369,3095987153,112,120,131,137,1,1,99.54648526077098,98.1859410430839,0.7455124630217007,0.8915528099738251,0.8866228245026527,0.9216550101261627,0.9788279503017773,0.9926516660158085,2.257627416392733,1.0145903427930874,1.7251064309254818,False,False,False,0.018501610551758495,0.8561000000000001,0.40119760712598584,0.7715958013678716,0.14390000000000008,0.14390000000000008,1.0,0.4740046568522487,0.033244685408734674,0.8327000000000004,0.3680748216864739,0.6054491958269848,0.1673,0.1673,1.0,0.4502071415037667,a242de866a3cfda91cbd23d76e0581431d5790e025bbe6c8caaf978251035ca3
FR5_MB2_PD5_reinhard_v2_m1.0,SP01,reinhard,v2,1.0,1.0,1.0,1.0,baseline,v3a,exp_precontact_centroid_probe,0.5,5,2,5,1981813971,897304369,3095987153,110,119,188,136,1,1,98.15242494226328,100.0,0.7886535460616152,0.8687848461181733,0.8958039368177354,0.9125232307454486,0.9872961883425493,0.9835750144354725,2.198984652496735,1.1417775387142455,1.71710186916859,False,False,True,0.03562735893409132,0.7626000000000002,0.3811622777132102,0.690068440332841,0.23740000000000006,0.23740000000000006,1.0,0.4535331250005646,0.031173512566218253,0.8372999999999994,0.36014294642151645,0.5886580119027865,0.16269999999999993,0.16269999999999993,1.0,0.4491194878565494,ec6504eb1c47993c0accce31b73c9efa7cf272d18982ae0526b85d6ec660f9d0
FR5_MB5_PD5_reinhard_v2_m1.0,SP01,reinhard,v2,1.0,1.0,1.0,1.0,baseline,v3a,exp_precontact_centroid_probe,0.5,5,5,5,1981813971,897304369,3095987153,111,120,195,136,1,1,100.0,94.49081803005008,0.7793928872593948,0.841581914949513,0.9019523943375091,0.8760240033998419,0.9770398356715014,1.0,2.2055980779146385,1.072529819620504,1.7187204338004511,False,False,True,0.03732148887798909,0.7663000000000001,0.3802136441040602,0.6793819701267455,0.23370000000000019,0.23370000000000019,1.0,0.4544003691190463,0.03314982400304026,0.8325,0.37012294614722185,0.5975260385796777,0.16749999999999993,0.16749999999999993,1.0,0.44946093004100923,352a1e182cd26190bf9433fd07af6068daea2da23aa72a760b79924c14e2af5c
FR5_MB8_PD5_reinhard_v2_m1.0,SP01,reinhard,v2,1.0,1.0,1.0,1.0,baseline,v3a,exp_precontact_centroid_probe,0.5,5,8,5,1981813971,897304369,3095987153,111,119,158,136,1,1,97.9633401221996,100.0,0.7752687286178988,0.8571996042011204,0.8888046578423974,0.9047997361340813,0.9841628786794896,0.9780563909797588,2.198115116909596,1.1431296771500563,1.7143746295442592,False,False,True,0.034347611486135986,0.8014,0.36837957697665386,0.6280893380784361,0.19859999999999992,0.19859999999999992,1.0,0.4527289868920235,0.037303705458407464,0.8145000000000002,0.36410881783734483,0.5893354047582977,0.18549999999999997,0.18549999999999997,1.0,0.44961564413630883,4444c4f22301df138d878345b55bd46a0db7481b0be3325af097ccba492c5631
FR8_MB2_PD5_reinhard_v2_m1.0,SP01,reinhard,v2,1.0,1.0,1.0,1.0,baseline,v3a,exp_precontact_centroid_probe,0.5,8,2,5,1981813971,897304369,3095987153,109,117,128,137,1,1,100.0,97.22735674676525,0.8185949194343355,0.8140362426235975,0.9193755197485942,0.8667820175716162,0.9806058957491322,0.9732462816780517,2.110773625397231,1.0727583257176005,1.7129081469464558,False,False,False,0.05998807778016544,0.7258,0.352895140549633,0.5231062956182249,0.27419999999999994,0.27419999999999994,1.0,0.44486065821174603,0.03393775984713921,0.8229000000000002,0.3648384684806913,0.5742869299266854,0.1770999999999999,0.1770999999999999,1.0,0.44850125444853256,89fe61f90cc0f0b1bac6df300f0813e86a45d41fa5b804aa3dc9408e0fd73cf9
FR8_MB5_PD5_reinhard_v2_m1.0,SP01,reinhard,v2,1.0,1.0,1.0,1.0,baseline,v3a,exp_precontact_centroid_probe,0.5,8,5,5,1981813971,897304369,3095987153,109,117,128,135,1,1,94.30485762144053,100.0,0.7483366326505311,0.8229171686348824,0.8565099346304609,0.8819447790899226,1.0,0.9649310102484415,2.11804530212702,0.90199485566048,1.7145009291160178,False,False,False,0.057378397888566024,0.7471000000000001,0.3509561786199116,0.4890978580397828,0.25289999999999985,0.25289999999999985,1.0,0.44373113946466497,0.034821450796692625,0.8362999999999998,0.35520055068597683,0.5693213639334007,0.16369999999999993,0.16369999999999993,1.0,0.4489436220088156,e2954a1eea89b9f187cb759995808456fb4f08fb4673ddac9fb9f8c80cf68cd9
FR8_MB8_PD5_reinhard_v2_m1.0,SP01,reinhard,v2,1.0,1.0,1.0,1.0,baseline,v3a,exp_precontact_centroid_probe,0.5,8,8,5,1981813971,897304369,3095987153,109,117,128,136,1,1,99.77272727272727,98.4090909090909,0.7882213783079441,0.7804592763398016,0.9058147734190264,0.8483364872568371,0.9743256496062316,0.9665429357768569,2.0947083047629,0.8886788148042112,1.7242611059975965,False,False,False,0.07080678587005788,0.7425,0.34022146698014055,0.4633279031113955,0.2574999999999999,0.2574999999999999,1.0,0.4435485991718723,0.040515828262465255,0.8070000000000002,0.36094564383812056,0.5639343091776435,0.1929999999999999,0.1929999999999999,1.0,0.44838095839845526,7d89b16b853695fa6a80dcd4d3b0a153237d814abd2ed109e1b7060c40f13f27
FR2_MB2_PD5_reinhard_v2_m1.5,SP01,reinhard,v2,1.5,1.5,1.0,1.0,baseline,v3a,exp_precontact_centroid_probe,0.5,2,2,5,1981813971,897304369,3095987153,112,119,131,136,1,1,52.73972602739726,100.0,0.25058520455210986,0.6302455649622453,0.6134631139050032,0.7534970433081629,0.9344429861401516,0.8827343853751287,2.2475953564845113,1.124476003386556,1.7200404689764761,False,False,False,0.13582174314787343,0.0,0.3969220897671449,0.7753453190558716,0.20629999999999987,0.20629999999999987,1.0,0.46827943402707417,0.3001714133441665,0.0,0.35752623611690537,0.5450046732302206,0.1775999999999999,0.1775999999999999,1.0,0.4471626169509083,166ae2637753f12f8a6957e566a33f0f751050c76220356fc742ca670f45a837
