seed_profile_id,cell_FR,cell_MB,cell_PD,opponent_archetype_name,delta_first_contact_tick,delta_first_kill_tick,delta_cut_tick,delta_pocket_tick,delta_first_deep_pursuit_tick_A,delta_first_deep_pursuit_tick_B,delta_pct_ticks_deep_pursuit_A,delta_pct_ticks_deep_pursuit_B,delta_mean_pursuit_intensity_A,delta_mean_pursuit_intensity_B,delta_mean_enemy_collapse_signal_A,delta_mean_enemy_collapse_signal_B,delta_p95_enemy_collapse_signal_A,delta_p95_enemy_collapse_signal_B,delta_collapse_prediction_error,delta_ar_forward_p90_A,delta_ar_forward_p90_B,delta_wedge_ratio_p10_A,delta_wedge_ratio_p10_B,delta_split_separation_p90_A,delta_split_separation_p90_B,missing_cut_v2,missing_cut_v3_test,pocket_without_cut_v2,pocket_without_cut_v3_test,event_order_anomaly_v2,event_order_anomaly_v3_test,observable_runtime_difference
SP01,2,2,2,kircheis,-1.0,0.0,-1.0,8.0,0.0,0.0,-26.360935403488597,-5.168998786020055,-0.1751961008902082,-0.3269535774530311,-0.2208256424053716,-0.1510944735819858,-0.05123891351289478,-0.04048445139524681,-8.0,-0.014272111814787714,-0.16474401901393554,-0.026118403687728886,0.014936957384197758,-0.0037383495631346797,0.012028506946290651,False,False,False,False,False,False,True
SP01,2,2,2,reinhard,-1.0,-1.0,-1.0,83.0,0.0,0.0,-31.637306976848432,-0.9345794392523317,-0.1726738093454292,-0.22836629958437815,-0.19799170348678952,-0.15309830148823622,-0.021666804651058746,-0.04043489807304412,-83.0,-0.013684729980287802,-0.07473121763995882,0.0179646201414565,0.021207192694513988,-0.005013184835518825,-0.003989398441578196,False,False,False,False,False,False,True
SP01,5,5,5,kircheis,-2.0,-2.0,-2.0,7.0,0.0,0.0,-37.6088644954176,-20.28788898669289,-0.4514605523615798,-0.4517080156378606,-0.23447798902956019,-0.22128376742834455,-0.05459960895088145,-0.0555859132615284,-7.0,-0.12966239772396504,-0.17736682843632834,-0.02871088571696978,-0.015675204934776477,-0.007903880683007625,0.03021423790771305,False,False,False,False,False,False,True
SP01,5,5,5,reinhard,-2.0,-3.0,-67.0,54.0,0.0,0.0,-15.985130111524157,2.906951486678551,-0.40625955586370627,-0.27631229156277815,-0.19603044232434497,-0.1676523747830223,-0.047039835671501495,-0.040000000000000036,-54.0,-0.11966637329727847,-0.12411846077107169,0.06690367227942295,0.02019858356964488,-0.011845156489884712,-0.007158708384197077,False,False,False,False,True,False,True
SP01,8,8,8,kircheis,-1.0,-1.0,-1.0,50.0,0.0,0.0,-0.44843049327354834,-28.987270045038443,-0.3648898114299207,-0.4140568537305227,-0.28415908388460176,-0.2099401075141044,-0.10235867629449436,-0.0628492488161656,-50.0,-0.1489064937149387,-0.1759957142705968,-0.06603863317849756,-0.026877853419847497,0.02318043656699742,0.03343156560339278,False,False,False,False,False,False,True
SP01,8,8,8,reinhard,-2.0,-1.0,-2.0,113.0,0.0,0.0,-1.2345679012345698,-4.086675724102619,-0.28452182372918267,-0.39278082507350753,-0.2221407473575817,-0.2601144557774543,-0.044847744604479045,-0.08467952352204977,-113.0,-0.14101207561793094,-0.1437241856736451,-0.11251449894449561,0.0004124465913720732,0.00895298316667792,0.008109348020118867,False,False,False,False,False,False,True
SP01,2,2,2,bittenfeld,0.0,0.0,0.0,0.0,0.0,0.0,-32.52787912518294,-0.21231422505307762,-0.20813026246268124,-0.19695972745919288,-0.21146757831448737,-0.1751413666115199,-0.05391367471751052,-0.045998084336713374,0.0,-0.020330782696368566,-0.08430667806360281,-0.006559366870007244,-0.02502910870326025,-0.003526248434768897,-0.00011921856991281565,False,False,False,False,False,False,True
SP01,2,2,2,kircheis,-1.0,0.0,-1.0,8.0,0.0,0.0,-26.360935403488597,-5.168998786020055,-0.1751961008902082,-0.3269535774530311,-0.2208256424053716,-0.1510944735819858,-0.05123891351289478,-0.04048445139524681,-8.0,-0.014272111814787714,-0.16474401901393554,-0.026118403687728886,0.014936957384197758,-0.0037383495631346797,0.012028506946290651,False,False,False,False,False,False,True
SP01,2,2,2,mittermeyer,-1.0,0.0,-1.0,0.0,0.0,0.0,-48.391570846941974,-1.1520737327188897,-0.27376710738933696,-0.2386150952556012,-0.17024429344949432,-0.16062156835039088,-0.02122197769774814,-0.040475852612994245,0.0,-0.02045534220050005,-0.07643868936928166,0.0835276438707615,0.002223722527100125,-0.003681732745084876,-0.004116371428118271,False,False,False,False,False,False,True
SP01,2,2,2,muller,-1.0,-1.0,-1.0,2.0,0.0,0.0,-42.20334984666194,-14.190453723362424,-0.19997092081323814,-0.40386573081565597,-0.32593030334877837,-0.1473737270889629,-0.08772496349131198,-0.03767612818086119,-2.0,-0.015986075057802474,-0.20420674179426523,0.04018105548671613,-0.015678419021774914,-0.00342283242054231,0.021989888778710887,False,False,False,False,False,False,True
