run_id,seed_profile_id,runtime_decision_source_requested,runtime_decision_source_effective,movement_model_requested,movement_model_effective,movement_v3a_experiment_effective,centroid_probe_scale_effective,cell_FR,cell_MB,cell_PD,opponent_archetype_name,opponent_archetype_index,injected_test_vector,injected_opponent_vector,random_seed_effective,background_map_seed_effective,metatype_random_seed_effective,winner,end_tick,remaining_units_A,remaining_units_B,first_contact_tick,first_kill_tick,cut_tick,pocket_tick,first_deep_pursuit_tick,first_deep_pursuit_tick_A,first_deep_pursuit_tick_B,pct_ticks_deep_pursuit_A,pct_ticks_deep_pursuit_B,mean_pursuit_intensity_A,mean_pursuit_intensity_B,mean_enemy_collapse_signal_A,mean_enemy_collapse_signal_B,p95_enemy_collapse_signal_A,p95_enemy_collapse_signal_B,collapse_prediction_error,ar_forward_p90_A,ar_forward_p90_B,wedge_ratio_p10_A,wedge_ratio_p10_B,split_separation_p90_A,split_separation_p90_B,missing_cut,pocket_without_cut,event_order_anomaly,determinism_digest,cohesion_gap_mean_abs_A,cohesion_gap_mean_abs_B,cohesion_gap_max_abs_A,cohesion_gap_max_abs_B,cohesion_gap_differs_A,cohesion_gap_differs_B,phase_label
FR2_MB2_PD2_reinhard_SP01_v2,SP01,v2,v2,baseline,v3a,exp_precontact_centroid_probe,0.5,2,2,2,reinhard,1,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 9.0, ""formation_rigidity"": 6.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 7.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 7.0, ""risk_appetite"": 7.0, ""targeting_logic"": 9.0, ""time_preference"": 8.0}",1981813971,897304369,3095987153,A,417,26,0,112,120,131,136,1,1,1,49.16067146282974,100.0,0.26178262903522975,0.922729250734658,0.8623734529976064,0.9484861671564385,0.9816668046510587,0.9904348980730441,-135,2.2456929564728676,2.1207009104375225,1.1157497351563643,0.8052609126692449,1.723379056384698,1.7077672667136907,False,False,False,8a5aa78bd183a305ce6266bd8517f9087d5eb534676212da7d22c1189c0aaa2d,0.17241861103666542,0.20434513981189797,0.8081824767331474,0.9996324494525304,True,True,preflight
FR2_MB2_PD2_reinhard_SP01_v3_test,SP01,v3_test,v3_test,baseline,v3a,exp_precontact_centroid_probe,0.5,2,2,2,reinhard,1,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 9.0, ""formation_rigidity"": 6.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 7.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 7.0, ""risk_appetite"": 7.0, ""targeting_logic"": 9.0, ""time_preference"": 8.0}",1981813971,897304369,3095987153,A,428,30,0,111,119,130,219,1,1,1,17.523364485981308,99.06542056074767,0.08910881968980054,0.6943629511502798,0.6643817495108169,0.7953878656682023,0.96,0.95,-218,2.23200822649258,2.0459696927975637,1.1337143552978208,0.8264681053637589,1.7183658715491792,1.7037778682721125,False,False,False,2af81d11dac08748791b038bd9f90af4f527215f1ba9f9a88514b3b21a2e8e78,0.0,0.0,0.0,0.0,False,False,preflight
FR2_MB2_PD2_kircheis_SP01_v2,SP01,v2,v2,baseline,v3a,exp_precontact_centroid_probe,0.5,2,2,2,kircheis,2,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 7.0, ""mobility_bias"": 7.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 7.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 1.0, ""time_preference"": 5.0}",1981813971,897304369,3095987153,A,423,28,0,111,119,130,136,1,1,1,38.297872340425535,99.76359338061465,0.22179519998930736,0.8713340397771152,0.8262625316553116,0.942690247436666,0.9797389135128944,0.9904844513952468,-135,2.2501997059293974,2.082097296994664,1.1400406416593654,0.8243372585003562,1.7201504718717886,1.7076038497688424,False,False,False,a2d295f5673ac003d32589f7e555099ad2f3fefeeb0b5dc8e21b09d66bec104b,0.16576956683556957,0.2328923633882685,0.8081824767331474,0.677260541795741,True,True,preflight
FR2_MB2_PD2_kircheis_SP01_v3_test,SP01,v3_test,v3_test,baseline,v3a,exp_precontact_centroid_probe,0.5,2,2,2,kircheis,2,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 7.0, ""mobility_bias"": 7.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 7.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 1.0, ""time_preference"": 5.0}",1981813971,897304369,3095987153,A,444,31,0,110,119,129,144,1,1,1,11.936936936936936,94.5945945945946,0.046599099099099144,0.5443804623240841,0.60543688924994,0.7915957738546802,0.9284999999999997,0.95,-143,2.2359275941146097,1.9173532779807285,1.1139222379716365,0.839274215884554,1.716412122308654,1.719632356715133,False,False,False,2e00886251e42015db0a179f3d6dc71081d7489f9065f3654e1da5593ade251b,0.0,0.0,0.0,0.0,False,False,preflight
FR5_MB5_PD5_reinhard_SP01_v2,SP01,v2,v2,baseline,v3a,exp_precontact_centroid_probe,0.5,5,5,5,reinhard,1,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 5.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 9.0, ""formation_rigidity"": 6.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 7.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 7.0, ""risk_appetite"": 7.0, ""targeting_logic"": 9.0, ""time_preference"": 8.0}",1981813971,897304369,3095987153,B,599,0,3,111,120,195,136,1,1,1,100.0,94.49081803005008,0.7793928872593948,0.841581914949513,0.9019523943375091,0.8760240033998419,0.9770398356715014,1.0,-135,2.2055980779146385,2.12903505570448,1.072529819620504,0.8181975896085231,1.7187204338004511,1.7046340709396293,False,False,True,352a1e182cd26190bf9433fd07af6068daea2da23aa72a760b79924c14e2af5c,0.22462859188455073,0.17974799724341772,1.0,0.9622488459592808,True,True,preflight
FR5_MB5_PD5_reinhard_SP01_v3_test,SP01,v3_test,v3_test,baseline,v3a,exp_precontact_centroid_probe,0.5,5,5,5,reinhard,1,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 5.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 9.0, ""formation_rigidity"": 6.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 7.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 7.0, ""risk_appetite"": 7.0, ""targeting_logic"": 9.0, ""time_preference"": 8.0}",1981813971,897304369,3095987153,B,538,0,7,109,117,128,190,1,1,1,84.01486988847584,97.39776951672863,0.37313333139568855,0.5652696233867348,0.7059219520131641,0.7083716286168196,0.9299999999999999,0.96,-189,2.08593170461736,2.0049165949334085,1.139433491899927,0.838396173178168,1.7068752773105664,1.6974753625554322,False,False,False,3bf63618b82843785b944a0fc9d9280a7aa7f3025e0c10aef259335db612cb21,0.0,0.0,0.0,0.0,False,False,preflight
FR5_MB5_PD5_kircheis_SP01_v2,SP01,v2,v2,baseline,v3a,exp_precontact_centroid_probe,0.5,5,5,5,kircheis,2,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 5.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 7.0, ""mobility_bias"": 7.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 7.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 1.0, ""time_preference"": 5.0}",1981813971,897304369,3095987153,A,445,21,0,110,118,129,135,1,1,1,97.97752808988764,99.5505617977528,0.6966938115366313,0.8238319825057266,0.8550960823916856,0.9214519630344983,0.9745996089508815,0.9855859132615283,-134,2.1988779249472223,2.081977137743719,1.0881893794258726,0.8558255410975418,1.7167178332895392,1.7076395000167248,False,False,False,df913285aaa8add888fbca45af5b6ea7df3856bd6bcd5adaad99ef3a9ea2be9e,0.17220559388827011,0.20075110614457775,0.7992798539497576,0.9980384627874745,True,True,preflight
FR5_MB5_PD5_kircheis_SP01_v3_test,SP01,v3_test,v3_test,baseline,v3a,exp_precontact_centroid_probe,0.5,5,5,5,kircheis,2,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 5.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 7.0, ""mobility_bias"": 7.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 7.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 1.0, ""time_preference"": 5.0}",1981813971,897304369,3095987153,A,434,18,0,108,116,127,142,1,1,1,60.36866359447004,79.26267281105991,0.2452332591750516,0.37212396686786603,0.6206180933621254,0.7001681956061537,0.92,0.9299999999999999,-141,2.0692155272232573,1.9046103093073905,1.0594784937089028,0.8401503361627654,1.7088139526065316,1.7378537379244379,False,False,False,34c2f88300b2511dc0ab1787c5af31760a4321d8e1159275730fb6ab896bb829,0.0,0.0,0.0,0.0,False,False,preflight
FR8_MB8_PD8_reinhard_SP01_v2,SP01,v2,v2,baseline,v3a,exp_precontact_centroid_probe,0.5,8,8,8,reinhard,1,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 8.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 8.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 9.0, ""formation_rigidity"": 6.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 7.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 7.0, ""risk_appetite"": 7.0, ""targeting_logic"": 9.0, ""time_preference"": 8.0}",1981813971,897304369,3095987153,B,418,0,27,109,117,128,136,1,1,1,100.0,98.32535885167464,0.8984988888036491,0.8320522580530169,0.9210546912917273,0.8824527015409273,0.974847744604479,0.9846795235220498,-135,2.1118379448622533,2.1358960376593257,0.8696209212941057,0.8374413997266834,1.7211254207737132,1.703426488629395,False,False,False,cd6b97b1901e7aabc22576933ffd9a482721eb64f7594d5ca5b5350a2fe8c40e,0.2618608376604898,0.14974149756361116,0.9999996662743127,0.5356605583465809,True,True,preflight
FR8_MB8_PD8_reinhard_SP01_v3_test,SP01,v3_test,v3_test,baseline,v3a,exp_precontact_centroid_probe,0.5,8,8,8,reinhard,1,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 8.0, ""mobility_bias"": 8.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 8.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 9.0, ""formation_rigidity"": 6.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 7.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 7.0, ""risk_appetite"": 7.0, ""targeting_logic"": 9.0, ""time_preference"": 8.0}",1981813971,897304369,3095987153,B,486,0,13,107,116,126,249,1,1,1,98.76543209876543,94.23868312757202,0.6139770650744665,0.4392714329795093,0.6989139439341456,0.622338245763473,0.9299999999999999,0.9,-248,1.9708258692443223,1.9921718519856806,0.7571064223496101,0.8378538463180555,1.7300784039403911,1.711535836649514,False,False,False,b0271242195d9183d02b6dc980ccaa6847fcd69c5e71de0ad5e9e6e54f300f02,0.0,0.0,0.0,0.0,False,False,preflight
