run_id,opponent_archetype_id,side_a_odw,odw_posture_bias_k_effective,delta_first_contact_tick,delta_cut_tick,delta_pocket_tick,delta_first_deep_pursuit_tick_A,delta_precontact_ar_forward_p90_A,delta_precontact_wedge_ratio_p10_A,delta_precontact_split_separation_p90_A,delta_precontact_net_axis_push_mean,delta_precontact_net_axis_push_abs_p90,delta_mean_enemy_collapse_signal_A,delta_pct_ticks_deep_pursuit_A
ODW2_K0p25_reinhard,reinhard,2.0,0.25,0,0,-7,-14,-0.006458210608948356,0.05834198332416818,-0.007713003283042363,-0.003275455207524795,-0.0021687193809346635,-0.054278466730179664,-9.73754088382639
ODW2_K0p5_reinhard,reinhard,2.0,0.5,0,0,62,2,0.006544369549586815,0.09475004744711668,0.01195327069458485,-0.0039165521404747345,-0.0009156746936020586,-0.09072792311116076,-14.9911470934083
ODW2_K0p75_reinhard,reinhard,2.0,0.75,1,1,14,-33,-0.011134812985355236,0.13130584655137112,-0.003981341198423749,-0.005231079914056504,0.00010746920155209946,-0.05254041766343931,-8.666246366151798
ODW2_K1p0_reinhard,reinhard,2.0,1.0,0,0,-1,-21,0.0001998639096734145,0.06542952510440947,0.00030164503535012877,-0.004261550581240149,-0.0012363823156892112,-0.010642878486795793,-2.5626295528575653
ODW5_K0p25_reinhard,reinhard,5.0,0.25,-1,-1,10,-24,0.001624440768974722,-0.07306275113642768,-0.003980271866074192,-0.0009687534381815765,-0.0017646470256030443,-0.07577516759106684,-14.769722907932982
ODW5_K0p5_reinhard,reinhard,5.0,0.5,0,0,72,-7,-0.005571174721004546,-0.09705311950961215,0.011995367791703071,-0.0011641369425116435,-0.001936773609005443,-0.04776814943522767,-11.220936762888913
ODW5_K0p75_reinhard,reinhard,5.0,0.75,0,0,-5,-41,-0.012440082544369346,-0.06974991493145932,0.004950338059426462,-0.0014417122296526922,-0.001399807832919962,-0.0443800392833959,-7.944202448764356
ODW5_K1p0_reinhard,reinhard,5.0,1.0,0,0,31,26,-0.012539787900096577,-0.019616678077933658,0.001700738022546222,-0.0007705932649120849,-0.0014036702679805922,-0.06335999795337932,-8.655755938666877
ODW8_K0p25_reinhard,reinhard,8.0,0.25,0,0,48,9,-0.041815256480443264,-0.013213141651496452,0.005563735871327191,-0.0009915174335596564,-0.001881863395913781,-0.08841128807714418,-16.117771132589308
ODW8_K0p5_reinhard,reinhard,8.0,0.5,-1,-1,46,35,-0.015404562941405242,-0.08222038372034768,0.007100840620825721,-0.0014074839953075392,-0.0022065902978646345,-0.11041369998320039,-20.177061813204222
ODW8_K0p75_reinhard,reinhard,8.0,0.75,0,0,63,-32,-0.021551579070178573,-0.03761811629690626,0.006375705188123915,-0.0015932703569168038,-0.002685235070794637,-0.0009030539656053604,2.896055974139159
ODW8_K1p0_reinhard,reinhard,8.0,1.0,0,0,49,-20,-0.017322436559238596,-0.04880768162422111,-0.007909931388494718,0.00027747518157848067,-0.0005244222883860946,-0.09605597236853577,-17.13910862933664
ODW2_K0p25_kircheis,kircheis,2.0,0.25,1,1,25,-63,0.004942142194713117,0.09612751322754787,-0.020445676073816532,-0.0025225815205986574,-0.0026334256406647053,0.021585618004808127,5.322371570227142
ODW2_K0p5_kircheis,kircheis,2.0,0.5,1,1,-28,-28,0.013175640787862264,0.08011818277516336,-0.012051247606581272,-0.003440637318919134,-0.0030764305052960166,-0.02709844117497079,-4.38373958890502
ODW2_K0p75_kircheis,kircheis,2.0,0.75,1,1,-26,-80,0.0027925749195274463,0.13515320580981272,-0.019278239066868652,-0.003882070426603196,-0.00368087184456912,-0.0465790471686251,-3.818054689419279
ODW2_K1p0_kircheis,kircheis,2.0,1.0,0,0,1,-49,-0.006641454635732291,0.13919156580966552,-0.021699614378147825,-0.003990658884945446,-0.0039910354498000605,-0.016324244358860762,-3.4762887500091146
ODW5_K0p25_kircheis,kircheis,5.0,0.25,1,1,-20,46,-0.010614887624515124,-0.08972221490278687,-0.012807321461340004,-0.0006962528974725993,-0.00016176866002189788,0.0015788175753681521,0.26508984253310786
ODW5_K0p5_kircheis,kircheis,5.0,0.5,1,1,-20,46,-0.010614887624515124,-0.08972221490278687,-0.012807321461340004,-0.0006962528974725993,-0.00016176866002189788,0.0015788175753681521,0.26508984253310786
ODW5_K0p75_kircheis,kircheis,5.0,0.75,1,1,-20,46,-0.010614887624515124,-0.08972221490278687,-0.012807321461340004,-0.0006962528974725993,-0.00016176866002189788,0.0015788175753681521,0.26508984253310786
ODW5_K1p0_kircheis,kircheis,5.0,1.0,1,1,-20,46,-0.010614887624515124,-0.08972221490278687,-0.012807321461340004,-0.0006962528974725993,-0.00016176866002189788,0.0015788175753681521,0.26508984253310786
ODW8_K0p25_kircheis,kircheis,8.0,0.25,0,0,-25,18,-0.03658798089031334,-0.030540890992141745,-0.005137575318531429,-0.00022054886271622928,0.00028060296343753247,-0.03775839411043316,-5.28417172577776
ODW8_K0p5_kircheis,kircheis,8.0,0.5,0,0,18,-39,-0.00917190803067669,-0.05820733253093313,0.00949394041737972,-0.0008604261077140487,-0.0011485218149137923,0.03109581737579803,3.4465360247332466
ODW8_K0p75_kircheis,kircheis,8.0,0.75,0,0,18,-9,-0.03879096422133421,-0.05282469486690711,-0.0025368608119027414,-0.00027158341902860234,0.0011704835584357212,-0.03355582653304148,-3.264405638858767
ODW8_K1p0_kircheis,kircheis,8.0,1.0,0,0,13,45,-0.017883367074046586,-0.06568495214089409,-0.0055360711132739215,-0.0005814456910241458,-0.0007166459477583147,-0.07274168952330753,-4.7064368681240385
ODW2_K0p25_reuenthal,reuenthal,2.0,0.25,1,1,0,5,-0.0013223248663383202,0.0856754486026512,0.00782548740795841,-0.0022461672769453307,0.0015068631599041288,-0.0012009995603499135,-0.8255184571212908
ODW2_K0p5_reuenthal,reuenthal,2.0,0.5,0,0,0,-11,0.0016862326163504804,0.08252859281807445,-0.005848164252195476,-0.0035848904027487635,0.003398516583183575,-0.020352716857988562,-4.343578607570073
ODW2_K0p75_reuenthal,reuenthal,2.0,0.75,0,0,0,5,0.008558238729268641,0.1654779359817049,0.0003416541529641659,-0.0032848561844215744,0.0029085660742998263,-0.11202394524770137,-14.403503582974
