run_id,seed_profile_id,random_seed_effective,background_map_seed_effective,metatype_random_seed_effective,opponent_archetype_id,runtime_decision_source_requested,runtime_decision_source_effective,movement_model_requested,movement_model_effective,movement_v3a_experiment_effective,centroid_probe_scale_effective,odw_posture_bias_enabled_effective,odw_posture_bias_k_effective,side_a_odw,side_a_fixed_vector,opponent_vector,end_tick,remaining_units_A,remaining_units_B,first_contact_tick,first_kill_tick,cut_tick,pocket_tick,missing_cut,pocket_without_cut,event_order_anomaly,event_order_anomaly_label,first_deep_pursuit_tick_A,first_deep_pursuit_tick_B,pct_ticks_deep_pursuit_A,pct_ticks_deep_pursuit_B,mean_pursuit_intensity_A,mean_pursuit_intensity_B,mean_enemy_collapse_signal_A,mean_enemy_collapse_signal_B,p95_enemy_collapse_signal_A,p95_enemy_collapse_signal_B,precontact_ar_forward_p90_A,precontact_wedge_ratio_p10_A,precontact_split_separation_p90_A,precontact_net_axis_push_mean,precontact_net_axis_push_abs_mean,precontact_net_axis_push_abs_p90,precontact_net_axis_push_abs_max,precontact_c_conn_mean_A,precontact_rho_mean_A,precontact_c_scale_mean_A,determinism_digest
ODW2_K0p0_reinhard,SP01,1981813971,897304369,3095987153,reinhard,baseline,v3_test,baseline,v3a,exp_precontact_centroid_probe,0.5,False,0.0,2.0,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 5.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 2.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 9.0, ""formation_rigidity"": 6.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 7.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 7.0, ""risk_appetite"": 7.0, ""targeting_logic"": 9.0, ""time_preference"": 8.0}",614,3,0,107,115,126,143,False,False,False,,253,52,23.289902280130292,50.6514657980456,0.0731702906046746,0.17368435173214736,0.32295213240370774,0.3312222198759512,0.7333333333333334,0.6666666666666667,2.034318857070802,0.806293026983148,1.7277022137211764,0.0023174734368916453,0.0023226455618131333,0.0043930263349385,0.005383884505879522,0.8686,0.4344496064783207,1.0,fa6d5877b609e594f323a34a03bb53f45f63000c3f2171cabaf9449a3da387ad
ODW2_K0p25_reinhard,SP01,1981813971,897304369,3095987153,reinhard,baseline,v3_test,baseline,v3a,exp_precontact_centroid_probe,0.5,True,0.25,2.0,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 5.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 2.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 9.0, ""formation_rigidity"": 6.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 7.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 7.0, ""risk_appetite"": 7.0, ""targeting_logic"": 9.0, ""time_preference"": 8.0}",487,10,0,107,116,126,136,False,False,False,,239,40,13.552361396303901,59.13757700205339,0.04411480133646515,0.13034281447691473,0.2686736656735281,0.30943634489894906,0.6632183908045977,0.6071428571428572,2.027860646461854,0.8646350103073162,1.719989210438134,-0.0009579817706331501,0.0012681686295853013,0.0022243069540038365,0.0031771278329344455,0.8308000000000003,0.4363735242968882,1.0,621733125e9c11bf35eb8befa6354f366473a7b0aa9d67e9fb48559b7e9c88b9
ODW2_K0p5_reinhard,SP01,1981813971,897304369,3095987153,reinhard,baseline,v3_test,baseline,v3a,exp_precontact_centroid_probe,0.5,True,0.5,2.0,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 5.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 2.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 9.0, ""formation_rigidity"": 6.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 7.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 7.0, ""risk_appetite"": 7.0, ""targeting_logic"": 9.0, ""time_preference"": 8.0}",482,0,12,107,116,126,205,False,False,False,,255,30,8.298755186721992,51.86721991701245,0.01736996227713186,0.1388292947224699,0.23222420929254697,0.3109159672439208,0.5714285714285714,0.7,2.040863226620389,0.9010430744302647,1.7396554844157612,-0.0015990787035830888,0.0018423832586311416,0.0034773516413364415,0.005291640670544062,0.8206000000000003,0.4377601000031712,1.0,2a6ffd5186ec3a48affffc57b2d81e574c65b17df78ce67cf8bc1d21e8909912
ODW2_K0p75_reinhard,SP01,1981813971,897304369,3095987153,reinhard,baseline,v3_test,baseline,v3a,exp_precontact_centroid_probe,0.5,True,0.75,2.0,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 5.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 2.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 9.0, ""formation_rigidity"": 6.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 7.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 7.0, ""risk_appetite"": 7.0, ""targeting_logic"": 9.0, ""time_preference"": 8.0}",465,12,0,108,116,127,157,False,False,False,,220,36,14.623655913978494,54.83870967741935,0.04439950149549087,0.15603426285659355,0.2704117147402684,0.32969127895715006,0.625,0.6666666666666667,2.023184044085447,0.9375988735345191,1.7237208725227526,-0.002913606477164859,0.002943284330017123,0.0045004955364905995,0.005289697793070402,0.8326999999999998,0.438126184010672,1.0,25901dae01fe1aca1172ea64a669bfb106689dfab3a85bd0ecaabd111b61a2a0
ODW2_K1p0_reinhard,SP01,1981813971,897304369,3095987153,reinhard,baseline,v3_test,baseline,v3a,exp_precontact_centroid_probe,0.5,True,1.0,2.0,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 5.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 2.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 9.0, ""formation_rigidity"": 6.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 7.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 7.0, ""risk_appetite"": 7.0, ""targeting_logic"": 9.0, ""time_preference"": 8.0}",550,0,5,107,115,126,142,False,False,False,,232,37,20.727272727272727,68.72727272727273,0.0514631260485809,0.1819759102144909,0.31230925391691194,0.36038726424913026,0.6666666666666667,0.6666666666666667,2.0345187209804756,0.8717225520875574,1.7280038587565265,-0.0019440771443485039,0.0020075370543363646,0.003156644019249289,0.003921045061099982,0.8057999999999997,0.43778312029007255,1.0,fd6e3aff45176cf297a7e6abacd91d27255afb4e74cfda74d9be78a8009981f5
ODW5_K0p0_reinhard,SP01,1981813971,897304369,3095987153,reinhard,baseline,v3_test,baseline,v3a,exp_precontact_centroid_probe,0.5,False,0.0,5.0,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 5.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 9.0, ""formation_rigidity"": 6.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 7.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 7.0, ""risk_appetite"": 7.0, ""targeting_logic"": 9.0, ""time_preference"": 8.0}",614,3,0,107,115,126,143,False,False,False,,253,52,23.289902280130292,50.6514657980456,0.0731702906046746,0.17368435173214736,0.32295213240370774,0.3312222198759512,0.7333333333333334,0.6666666666666667,2.034318857070802,0.806293026983148,1.7277022137211764,0.0023174734368916453,0.0023226455618131333,0.0043930263349385,0.005383884505879522,0.8686,0.4344496064783207,1.0,fa6d5877b609e594f323a34a03bb53f45f63000c3f2171cabaf9449a3da387ad
ODW5_K0p25_reinhard,SP01,1981813971,897304369,3095987153,reinhard,baseline,v3_test,baseline,v3a,exp_precontact_centroid_probe,0.5,True,0.25,5.0,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 5.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 9.0, ""formation_rigidity"": 6.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 7.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 7.0, ""risk_appetite"": 7.0, ""targeting_logic"": 9.0, ""time_preference"": 8.0}",446,18,0,106,115,125,153,False,False,False,,229,47,8.52017937219731,30.044843049327355,0.03239353968716552,0.05487159543056332,0.2471769648126409,0.22146415955748075,0.5763888888888888,0.5,2.035943297839777,0.7332302758467203,1.7237219418551022,0.0013487199987100688,0.0013707437972136415,0.002628379309335456,0.0034650049282477723,0.8678,0.43524869783255277,1.0,99d4e2778eb907417fdfee84b4edb3d3b17510413e30050862a4c3f2d1868646
ODW5_K0p5_reinhard,SP01,1981813971,897304369,3095987153,reinhard,baseline,v3_test,baseline,v3a,exp_precontact_centroid_probe,0.5,True,0.5,5.0,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 5.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 9.0, ""formation_rigidity"": 6.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 7.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 7.0, ""risk_appetite"": 7.0, ""targeting_logic"": 9.0, ""time_preference"": 8.0}",464,14,0,107,115,126,215,False,False,False,,246,46,12.068965517241379,51.939655172413794,0.0476258670204301,0.12490528469490572,0.27518398296848007,0.29995076523868497,0.6666666666666667,0.6428571428571428,2.0287476823497976,0.7092399074735358,1.7396975815128795,0.0011533364943800018,0.0012224917467876617,0.002456252725933057,0.00298581403642304,0.8565,0.4350114148089508,1.0,4e6f7ae4651435a957642ed46940a13e08a1f196eba259cebc8d35e7d3594712
ODW5_K0p75_reinhard,SP01,1981813971,897304369,3095987153,reinhard,baseline,v3_test,baseline,v3a,exp_precontact_centroid_probe,0.5,True,0.75,5.0,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 5.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 9.0, ""formation_rigidity"": 6.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 7.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 7.0, ""risk_appetite"": 7.0, ""targeting_logic"": 9.0, ""time_preference"": 8.0}",593,3,0,107,115,126,138,False,False,False,,212,33,15.345699831365936,53.45699831365936,0.04144936331865876,0.16453188706016939,0.27857209312031184,0.33373425201523504,0.6484848484848478,0.6666666666666667,2.021878774526433,0.7365431120516887,1.7326525517806028,0.0008757612072389531,0.001263790021427083,0.002993218502018538,0.0036446036236039703,0.8438999999999999,0.4345031843306474,1.0,83d5f887d69f990d60ef37427089fa1b6428929b242bc53e5b36475140d530fb
ODW5_K1p0_reinhard,SP01,1981813971,897304369,3095987153,reinhard,baseline,v3_test,baseline,v3a,exp_precontact_centroid_probe,0.5,True,1.0,5.0,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 5.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 5.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 9.0, ""formation_rigidity"": 6.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 7.0, ""pursuit_drive"": 7.0, ""retreat_threshold"": 7.0, ""risk_appetite"": 7.0, ""targeting_logic"": 9.0, ""time_preference"": 8.0}",492,11,0,107,116,126,174,False,False,False,,279,43,14.634146341463415,37.19512195121951,0.04746734191171787,0.09527089673387161,0.2595921344503284,0.2569255312049964,0.6666666666666667,0.6363636363636364,2.0217790691707056,0.7866763489052143,1.7294029517437226,0.0015468801719795604,0.001770407926937806,0.002989356066957908,0.003927641661057102,0.8575,0.433802978674366,1.0,98e95a0a22ef782ff5872661833dae2dfb23271d1f9be7fa1a7afd8ef92c4fe3
