seed_profile_id,cell_FR,cell_MB,cell_PD,opponent_archetype_name,delta_first_contact_tick,delta_first_kill_tick,delta_cut_tick,delta_pocket_tick,delta_first_deep_pursuit_tick_A,delta_first_deep_pursuit_tick_B,delta_pct_ticks_deep_pursuit_A,delta_pct_ticks_deep_pursuit_B,delta_mean_pursuit_intensity_A,delta_mean_pursuit_intensity_B,delta_mean_enemy_collapse_signal_A,delta_mean_enemy_collapse_signal_B,delta_p95_enemy_collapse_signal_A,delta_p95_enemy_collapse_signal_B,delta_collapse_prediction_error,delta_ar_forward_p90_A,delta_ar_forward_p90_B,delta_wedge_ratio_p10_A,delta_wedge_ratio_p10_B,delta_split_separation_p90_A,delta_split_separation_p90_B,missing_cut_v2,missing_cut_v3_test,pocket_without_cut_v2,pocket_without_cut_v3_test,event_order_anomaly_v2,event_order_anomaly_v3_test,observable_runtime_difference
SP01,2,2,5,mittermeyer,-2.0,-2.0,-2.0,-1.0,55.0,102.0,-83.55706956445209,-59.6529284164859,-0.7498102251250742,-0.8257887066335904,-0.5472494834296475,-0.6707312871362654,-0.2983673033050048,-0.32527984507346375,56.0,-0.025058949678300024,-0.11667046258004143,-0.018308807956977313,-0.01902396878553303,-0.0027574945303954213,0.01756628959030815,False,False,False,False,False,False,True
SP01,2,2,5,muller,-1.0,-2.0,-1.0,-1.0,225.0,330.0,-97.51346824211146,-95.24423921408845,-0.6762939487210893,-0.7898458716822208,-0.7203225933547543,-0.6208524432622258,-0.6707104554226878,-0.32542650666932393,226.0,-0.034849417526349846,-0.021685490941614205,0.004818113802215862,-0.018235006964729572,-0.0060752019189611595,0.044242348961692546,False,False,False,False,False,False,True
SP01,2,2,5,reinhard,-2.0,-1.0,-2.0,5.0,313.0,40.0,-95.54843304843305,-63.657407407407405,-0.7239486327153365,-0.8391988431282273,-0.6878648287880926,-0.713890963008339,-0.48448832827210997,-0.432556057292911,35.0,-0.05334850277483394,-0.16722765027082942,0.01793067754689237,0.0205648610547966,-0.006562546403258374,0.015513246795139102,False,False,False,False,False,False,True
SP01,2,5,5,mittermeyer,-2.0,-1.0,-2.0,21.0,299.0,68.0,-89.39686128474531,-60.95890410958904,-0.7433832677477046,-0.82961551311288,-0.5949787341278181,-0.6687899096104242,-0.3522690387660814,-0.37544673493581393,47.0,-0.03471464417574577,-0.11542809827127787,-0.02686570816951739,-0.013040623738834634,-0.011525320895709124,0.015724659831071186,False,False,False,False,False,False,True
SP01,2,5,5,muller,-2.0,-2.0,-2.0,0.0,319.0,107.0,-97.4489131849538,-86.37468002950236,-0.6963833540761337,-0.7488158474250696,-0.7130828853279163,-0.5325043947384213,-0.5618278048465215,-0.16442630249056078,107.0,-0.04093276269957391,-0.011266676270994314,0.022655520745460178,-0.01865996107179091,-0.0019605343864799174,0.0294547391982376,False,False,False,False,False,False,True
SP01,2,5,5,reinhard,-2.0,-2.0,-2.0,2.0,230.0,42.0,-95.42775028984796,-38.25503355704698,-0.6663606838948798,-0.752605425933222,-0.6313646023795464,-0.5731199278024219,-0.46330003290572197,-0.31536262385307023,40.0,-0.03996156884964641,-0.15094051138872855,-0.03702967118274558,-0.010255412828951371,-0.00768856438022647,0.028464980912241256,False,False,False,False,False,False,True
SP01,2,8,5,mittermeyer,-2.0,-1.0,-2.0,2.0,62.0,21.0,-80.55535675946469,-28.23779193205945,-0.7345755190649731,-0.7146943713211282,-0.5157915718020452,-0.519990615755465,-0.239346521032746,-0.26836803058015113,19.0,-0.026959765296938,-0.14567317930861057,-0.0051157937504375806,-0.01911332194069837,-0.007514100497753029,0.020387487929405035,False,False,False,False,False,False,True
SP01,2,8,5,muller,-2.0,-2.0,-1.0,3.0,244.0,89.0,-94.48769049433776,-75.66712064606682,-0.6798043088714015,-0.732133618056814,-0.6629356701537019,-0.4358144052591172,-0.5161327208823396,-0.16503233673781859,86.0,-0.027778785625051317,-0.07455134827253751,-0.05528936156989728,-0.01557506749973081,-0.012114203406759172,0.02551981966553485,False,False,False,False,False,False,True
SP01,2,8,5,reinhard,-2.0,-2.0,1.0,-1.0,345.0,29.0,-92.16249643230901,-27.173913043478265,-0.7000577845572894,-0.6735507017834688,-0.5986958819475601,-0.48880540943242157,-0.38518393046120125,-0.23272277510716521,30.0,-0.022362996841327032,-0.17502753895499956,0.0880210344129626,-0.0027262312627968077,-0.01063277769847315,0.016498591572233545,False,False,False,False,False,False,True
SP01,5,2,5,mittermeyer,-3.0,-3.0,-40.0,23.0,54.0,127.0,-80.74127310061601,-81.0,-0.809291256089883,-0.8313744951011514,-0.53377978648164,-0.6768404041815933,-0.2897552131885074,-0.42319256528999705,31.0,-0.11625907105748068,-0.15389344289920226,-0.2860238048942648,-0.0026690310471411127,0.0076976460849356165,0.02207775953352087,False,False,False,False,True,False,True
